"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9809.csv",,,,,,,,,,,,,,,,,,,,,,,,,
"table 9.  Justice system expenditure of State governments by activity, character, and object, fiscal 1998",,,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  9/19/2001",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9.   Justice system expenditure of State governments by activity, character, and object, fiscal 1998",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"(Thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"                                     Total justice system",,,,,,"                                  Police protection",,,,,,"                                Judicial and Legal",,,,,,"                                                        Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,"                                     Direct expenditure",,,,,,"                               Direct expenditure",,,,,,"                              Direct expenditure",,,,,,"                                                Direct expenditure",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Inter-",,,,,,"Inter-",,,,,,"Inter-",,,,,"                       Capital outlay",,"Inter-",
,,,,,"govern-",,,,,,"govern-",,,,,,"govern-",,,,,,,"govern-",
,,"Total","Direct","Capital","mental",,,"Total","Direct","Capital","mental",,,"Total","Direct","Capital","mental",,,"Total","Direct",,"Construc-","mental",
"State","Total","direct","current","outlay","expenditure",,"Total","direct","current","outlay","expenditure",,"Total","direct","current","outlay","expenditure",,"Total","direct","current","Total","tion only","expenditure","State"
,,,,,,,,,,,,,,,,,,,,,,,,,
"Total",49453806,45995144,42591900,3403244,3458662,,7996298,7165258,6628956,536302,831040,,10858191,10150957,9678110,472847,707234,,30599317,28678929,26284834,2394095,1704320,1920388,"Total"
,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",513771,491200,472855,18345,22571,,102178,85114,80295,4819,17064,,154379,154379,152523,1856,0,,257214,251707,240037,11670,7232,5507,"Alabama"
"Alaska",344941,334024,325023,9001,10917,,57963,49814,49239,575,8149,,128169,128169,122384,5785,0,,158809,156041,153400,2641,1930,2768,"Alaska"
"Arizona",992456,902955,755678,147277,89501,,134528,124094,111513,12581,10434,,141423,119763,114857,4906,21660,,716505,659098,529308,129790,71492,57407,"Arizona"
"Arkansas",335222,322150,299110,23040,13072,,62213,62153,51597,10556,60,,67080,63562,61937,1625,3518,,205929,196435,185576,10859,6271,9494,"Arkansas"
"California",6110756,5852158,5700348,151810,258598,,1145727,1031900,988363,43537,113827,,1527205,1459689,1452595,7094,67516,,3437824,3360569,3259390,101179,65961,77255,"California"
,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado",840069,802394,627710,174684,37675,,62578,62392,58787,3605,186,,158014,158014,150793,7221,0,,619477,581988,418130,163858,156532,37489,"Colorado"
"Connecticut",903615,903556,842454,61102,59,,114216,114157,110447,3710,59,,308993,308993,263830,45163,0,,480406,480406,468177,12229,6970,0,"Connecticut"
"Delaware",272990,266330,255466,10864,6660,,54276,51810,49652,2158,2466,,76495,72302,71034,1268,4193,,142219,142218,134780,7438,6712,1,"Delaware"
"Florida",2841496,2830523,2676743,153780,10973,,337665,334976,310548,24428,2689,,571917,566060,549450,16610,5857,,1931914,1929487,1816745,112742,78728,2427,"Florida"
"Georgia",1131527,1093959,1028976,64983,37568,,150635,147372,135491,11881,3263,,123825,118938,117356,1582,4887,,857067,827649,776129,51520,37382,29418,"Georgia"
,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii",262771,257128,243347,13781,5643,,6660,4714,4357,357,1946,,135257,131560,127535,4025,3697,,120854,120854,111455,9399,7243,0,"Hawaii"
"Idaho",205286,202932,190523,12409,2354,,36034,33985,29565,4420,2049,,45399,45399,44609,790,0,,123853,123548,116349,7199,3949,305,"Idaho"
