"Bureau of Justice Statistics",,,,,,,,,,,,
"filename:  cjee9808.csv",,,,,,,,,,,,
"table 8.  Per capita justice expenditure (fiscal 1998) and full-time equivalent justice employment per",,,,,,,,,,,,
"10,000 population (March 1998) of State and local governments by activity and State",,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,
"date of version:  9/19/2001",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal 1998) and full-time equivalent justice employment per",,,,,,,,,,,,
"10,000 population (March 1998) of State and local governments by activity and State",,,,,,,,,,,,
,,,,,,,,,,,,
,,,"                              Per capita justice expenditure,",,,,,"                               Full-time equivalent justice employment",,,,
,,,"                                       (dollars) fiscal 1998",,,,,"                                  per 10,000 population, March 1998",,,,
,,,,,,,,,,,,
,"Population",,"Total",,,,,"Total","               Police protection",,,
,1998,,"justice","Police","Judicial",,,"justice",,,"Judicial",
"State","(thousands)",,"system","Protection","and legal","Corrections",,"system","Total","Sworn only","and legal","Corrections"
,,,,,,,,,,,,
"Total",270316,,431.10,186.73,87.21,157.17,,67.97,30.26,22.80,13.19,24.51
,,,,,,,,,,,,
"Alabama",4352,,275.96,139.98,54.13,81.85,,54.76,28.15,21.75,10.56,16.06
"Alaska",614,,747.49,266.00,225.52,255.97,,71.29,28.91,17.85,20.80,21.58
"Arizona",4669,,493.84,199.53,109.10,185.21,,72.39,28.20,20.30,19.23,24.97
"Arkansas",2538,,269.05,123.78,47.54,97.74,,54.84,27.42,20.69,7.77,19.66
"California",32667,,587.68,253.15,156.69,177.85,,64.73,28.64,20.11,12.82,23.27
,,,,,,,,,,,,
"Colorado",3971,,452.02,188.54,76.67,186.82,,63.62,29.91,21.63,13.20,20.51
"Connecticut",3274,,440.84,190.87,103.23,146.73,,68.12,30.31,23.63,11.63,26.17
"Delaware",744,,488.12,188.65,108.32,191.15,,78.41,28.53,20.42,20.95,28.92
