"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9813.csv",,,,,,,,,,,,,,,,,,,,,,,,
"table 13.  Justice system employment and payrolls of 68 large county",,,,,,,,,,,,,,,,,,,,,,,,
"governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,
"date of version: 10/12/2001",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 13.  Justice system employment and payrolls of 68 large county",,,,,,,,,,,,,,,,,,,,,,,,
"governments by activity, March 1998",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                       Total justice system",,,,,,"                                                      Police Protection",,,,,,"                                                     Judicial and Legal",,,,,,"                                                           Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"Average",,,,,,"Average",,,,,,"Average",,,,,,"Average",
,,"         Employment",,"March","earnings of",,"                                 Employment",,,"March","earnings of",,"                                 Employment",,,"March","earnings of",,"                                    Employment",,,"March","earnings of",
,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",,,,,"payrolls","full-time",
,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",,"Total","Full-time","Full-time","(thousands","employees",
"County","employees","employees","equivalent"," of dollars)","(dollars)",,"employees","employees","equivalent"," of dollars)","(dollars)",,"employees","employees","equivalent"," of dollars)","(dollars)",,"employees","employees","equivalent"," of dollars)","(dollars)","County"
,,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA",3331,3113,3261,14931,4637,,1342,1332,1333,6320,4742,,1300,1242,1278,6112,4791,,689,539,650,2500,4021,"Alameda, CA"
"Allegheny, PA",2648,2595,2628,6936,2656,,445,443,445,1385,3120,,1579,1546,1563,3962,2550,,624,606,620,1588,2590,"Allegheny, PA"
"Baltimore, MD",,,,,,,,,,,,,,,,,,,,,,,,"Baltimore, MD"
"Bergen, NJ",800,784,794,2436,3079,,189,181,186,457,2457,,311,303,308,1000,3267,,300,300,300,979,3263,"Bergen, NJ"
"Bexar, TX",3352,3294,3319,7406,2236,,495,486,489,1150,2355,,911,874,891,2197,2481,,1946,1934,1939,4059,2095,"Bexar, TX"
"Broward, FL",4387,4310,4322,13309,3083,,1698,1640,1646,5697,3469,,1108,1089,1095,3018,2760,,1581,1581,1581,4594,2906,"Broward, FL"
"Contra Costa, CA",2424,2112,2231,9903,4498,,908,732,785,3659,4735,,790,731,756,3119,4146,,726,649,690,3125,4625,"Contra Costa, CA"
,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, IL",13697,13665,13678,45358,3318,,785,753,766,2972,3928,,7934,7934,7934,24958,3146,,4978,4978,4978,17428,3501,"Cook, IL"
"Cuyahoga, OH",3665,3665,3665,9241,2522,,516,516,516,1233,2389,,2073,2073,2073,5408,2609,,1076,1076,1076,2600,2416,"Cuyahoga, OH"
"Dade, FL",8950,8360,8683,33142,3899,,4883,4375,4631,18329,4098,,1866,1789,1852,5679,3098,,2201,2196,2200,9134,4157,"Dade, FL"
"Dallas, TX",4429,4229,4319,11400,2639,,916,899,906,2304,2551,,1234,1154,1190,3537,2954,,2279,2176,2223,5559,2508,"Dallas, TX"
"Dekalb, GA/a",2416,2390,2404,7000,2918,,1143,1140,1141,3479,3050,,730,708,720,2101,2938,,543,542,543,1420,2616,"Dekalb, GA"
"Delaware, PA",984,984,1042,2423,2462,,0,0,58,0,0,,708,708,708,1678,2370,,276,276,276,745,2699,"Delaware, PA"
"Du Page, IL",1176,1141,1160,3817,3314,,540,530,535,1938,3636,,447,423,436,1328,3082,,189,188,189,551,2928,"Du Page, IL"
,,,,,,,,,,,,,,,,,,,,,,,,
"Erie, NY",1425,1309,1356,5568,4168,,326,283,295,1195,4123,,314,312,313,1310,4192,,785,714,748,3062,4176,"Erie, NY"
"Essex, MA",716,518,636,1861,3108,,0,0,0,0,0,,53,53,53,96,1811,,663,465,583,1766,3256,"Essex, MA"
"Essex, NJ",1715,1711,1915,6459,3773,,0,0,202,0,0,,800,800,800,3416,4270,,915,911,913,3043,3336,"Essex, NJ"
"Fairfax, VA",2534,2341,2503,9920,4149,,1419,1335,1408,6070,4489,,568,490,552,1924,3750,,547,516,543,1926,3648,"Fairfax, VA"
