"Bureau of Justice Statistics",,,,,,,,,,,,
"filename:  cjee9817.csv",,,,,,,,,,,,
"table 17.  Police protection sworn and nonsworn employment and payrolls and percent distribution",,,,,,,,,,,,
"of full-time equivalent employment of 49 large city governments, March 1998",,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,
"date of version:  10/12/2001",,,,,,,,,,,,
,,,,,,,,,,,,
"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution",,,,,,,,,,,,
"of full-time equivalent employment of 49 large city governments, March 1998",,,,,,,,,,,,
,,,,,,,,,,,,
"","                                                                                 Sworn",,,,,,,"                                                                 Nonsworn",,,,
"",,,"",,,,,"",,,,
"","                        Number of employees",,,"Percent of","","Average",,"                        Number of employees",,,"Percent of",""
"","","","","total police","March","earnings of",,"","","","total police","March"
"","","","","protection","payrolls","full-time",,"","","","protection","payrolls"
"","","Full-time","Full-time","full-time","(thousands","employees",,"","Full-time","Full-time","full-time","(thousands"
"City","Total","only","equivalent","equivalent","of dollars)","(dollars)",,"Total","only","equivalent","equivalent","of dollars)"
,,,,,,,,,,,,
"Albuquerque, NM",,,,,,,,,,,,
"Atlanta, GA",2001,1917,1937,90,5505,2856,,213,213,213,10,358
"Austin, TX",,,,,,,,,,,,
"Baltimore, MD",3111,3111,3111,76,10224,3287,,1187,801,1007,24,2845
"Baton Rouge, LA",855,855,855,72,2909,3403,,402,251,332,28,745
"Boston, MA",2196,2196,2196,77,8740,3980,,760,573,667,23,1581
,,,,,,,,,,,,
"Buffalo, NY",923,923,923,76,3238,3508,,403,212,289,24,843
"Charlotte, NC",1405,1405,1405,88,4611,3282,,252,160,183,12,504
"Chicago, IL",13750,13750,13750,80,76573,5569,,3416,3416,3416,20,13121
"Cincinnati, OH",,,,,,,,,,,,
"Cleveland, OH",1853,1841,1848,75,6863,3718,,975,511,600,25,1508
"Columbus, OH",1748,1748,1748,82,7240,4142,,386,386,386,18,1056
,,,,,,,,,,,,
"Dallas, TX",2818,2818,2818,78,11221,3982,,1105,750,790,22,2076
"Denver, CO",,,,,,,,,,,,
"Detroit, MI",4042,4042,4042,88,14314,3541,,541,541,541,12,1316
"El Paso, TX",,,,,,,,,,,,
"Fort Worth, TX",1191,1191,1191,76,4521,3796,,485,310,382,24,788
"Honolulu, HI",1921,1921,1921,78,8106,4220,,649,510,536,22,1567
,,,,,,,,,,,,
"Houston, TX",5400,5400,5400,72,16811,3113,,2068,2045,2056,28,4324
"Indianapolis, IN",1494,1494,1494,69,5896,3946,,720,658,666,31,1033
"Jacksonville, FL",1437,1437,1437,81,5842,4065,,341,341,341,19,1021
"Kansas City, MO",1243,1243,1243,64,4435,3568,,687,687,687,36,1615
"Long Beach, CA",927,926,927,70,5053,5455,,431,323,398,30,1165
"Los Angeles, CA",9616,9616,9616,77,51622,5368,,2941,2938,2939,23,10375
,,,,,,,,,,,,
"Memphis, TN",1769,1769,1769,74,5185,2931,,621,621,621,26,1822
"Miami, FL",983,983,983,68,4637,4718,,473,352,473,32,1169
"Milwaukee, WI",,,,,,,,,,,,
"Minneapolis, MN",,,,,,,,,,,,
"Nashville, TN",1231,1231,1231,66,3639,2956,,632,632,632,34,1104
"Newark, NJ",,,,,,,,,,,,
,,,,,,,,,,,,
"New Orleans, LA",1521,1521,1521,78,4574,3008,,545,368,437,22,665
"New York, NY",44838,42985,43263,92,172943,3998,,3793,3636,3660,8,14629
"Oakland, CA",733,729,731,66,4720,6468,,401,293,383,34,1265
"Oklahoma City, OK",1005,1005,1005,80,3951,3931,,349,244,255,20,641
"Omaha, NE",698,698,698,80,3008,4310,,182,166,176,20,443
"Philadelphia, PA",6896,6896,6896,84,25725,3730,,1945,953,1361,16,4470
,,,,,,,,,,,,
"Phoenix, AZ",2590,2588,2589,78,10576,4086,,783,695,740,22,2546
"Pittsburgh, PA",1077,1077,1077,87,4438,4121,,245,23,162,13,320
"Portland, OR",948,947,948,69,4629,4886,,430,406,417,31,1433
"St.Louis, MO",1576,1576,1576,69,5991,3802,,707,695,697,31,1559
"San Antonio, TX",1844,1844,1844,74,7361,3992,,799,527,656,26,1127
"San Diego, CA",1996,1990,1994,74,9835,4939,,702,675,689,26,2151
,,,,,,,,,,,,
"San Francisco, CA",2090,2090,2090,82,9575,4581,,447,447,447,18,1754
"San Jose, CA",1290,1290,1290,73,7592,5885,,596,430,477,27,1824
"Seattle, WA",1224,1224,1224,70,6222,5083,,527,514,523,30,1690
"Toledo, OH",715,715,715,88,3052,4269,,98,98,98,12,283
"Tucson, AZ",,,,,,,,,,,,
"Tulsa, OK",792,792,792,85,2966,3745,,138,128,137,15,304
"Washington, DC",3614,3612,3613,84,14692,4066,,721,605,663,16,1929
,,,,,,,,,,,,
"Note:  Payroll data shown here may not sum to equal police protection March payroll data in table 16 due to rounding.",,,,,,,,,,,,
"Jurisdictions without data did not report for 1998.",,,,,,,,,,,,
