"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9804.csv",,,,,,,,,,,,,,,,,,,,,,,,
"table 4.  Justice system expenditure by activity, character, and object, ",,,,,,,,,,,,,,,,,,,,,,,,
"State and level of government, fiscal 1998 ",,,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  9/19/2001",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 4.  Justice system expenditure by activity, character, and object, State and level of government, fiscal 1998",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"(Thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                     Total justice system",,,,,,"                                                      Police protection",,,,,,"                                                   Judicial and Legal ",,,,,,"                                                         Corrections",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,"                          Direct expenditure",,,"Intergov-",,,"                           Direct expenditure ",,,"Intergov-",,,"                         Direct expenditure",,,"Intergov-",,,"                            Direct expenditure",,,"Intergov-",
,,,,,"ernmental",,,,,,"ernmental",,,,,,"ernmental",,,,,,"ernmental",
"State and level",,"Total","Direct","Capital","expenditure",,,"Total","Direct","Capital","expenditure",,,"Total","Direct","Capital","expenditure",,,"Total","Direct","Capital","expenditure","State and level"
"of government","Total/a","direct","current","outlay","Total",,"Total/a","direct","current","outlay","Total",,"Total/a","direct","current","outlay","Total",,"Total/a","direct","current","outlay","Total","of government"
,,,,,,,,,,,,,,,,,,,,,,,,
"States-local, total",116534453,116534453,109398100,7136353,"-",,50475213,50475213,47889919,2585294,"-",,23573380,23573380,22587673,985707,"-",,42485860,42485860,38920508,3565352,"-","States-local, total"
"State",49453806,45995144,42591900,3403244,3458662,,7996298,7165258,6628956,536302,831040,,10858191,10150957,9678110,472847,707234,,30599317,28678929,26284834,2394095,1920388,"State"
"Local, total",70831438,70539309,66806200,3733109,292129,,43311939,43309955,41260963,2048992,1984,,13559129,13422423,12909563,512860,136706,,13960370,13806931,12635674,1171257,153439,"Local, total"
"Counties",33916286,33571243,31441360,2129883,345043,,12235307,12148768,11427759,721009,86539,,10326936,10202366,9790514,411852,124570,,11354043,11220109,10223087,997022,133934,"Counties"
"Municipalities",37585662,36968066,35364840,1603226,617596,,31627623,31161187,29833204,1327983,466436,,3249087,3220057,3119049,101008,29030,,2708952,2586822,2412587,174235,122130,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",1200989,1200989,1147700,53289,"-",,609208,609208,578695,30513,"-",,235577,235577,230811,4766,"-",,356204,356204,338194,18010,"-","Alabama"
