"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee9806.csv",,,,,,,,,,,,,
"table 6.  Percent distribution of justice system payrolls by State and level of government, March 1998",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1998, NCJ 190641",,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  9/19/2001",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by State and level of government, March 1998",,,,,,,,,,,,,
,,,,,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Total",,"          Total justice system",,,"               Police protection",,,"             Judicial and Legal",,,"                 Corrections",
,,,,,,,,,,,,,
,,,,,,,"Percent of",,,"Percent of",,,"Percent of"
,,,,"Percent of",,,"total justice ",,,"total justice ",,,"total justice "
"State and level","March",,"March","total March",,"March","March",,"March","March",,"March","March"
"of government","payrolls/a",,"payrolls","payrolls/b",,"payrolls","payrolls/b",,"payrolls","payrolls/b",,"payrolls","payrolls/b"
,,,,,,,,,,,,,
"States-local, total",41343111,,5797744,14.0,,2787506,48.1,,1145895,19.8,,1864343,32.2
"State",11845219,,2051111,17.3,,319000,15.6,,493309,24.1,,1238803,60.4
"Local, total",29497893,,3746633,12.7,,2468507,65.9,,652586,17.4,,625541,16.7
"Counties",6043758,,1626790,26.9,,621159,38.2,,502025,30.9,,503606,31.0
"Municipalities",8415103,,2119843,25.2,,1847348,87.1,,150561,7.1,,121934,5.8
,,,,,,,,,,,,,
"Alabama",581048,,59440,10.2,,31169,52.4,,12395,20.9,,15877,26.7
"State",203885,,23530,11.5,,4333,18.4,,8711,37.0,,10485,44.6
"Local, total",377162,,35910,9.5,,26835,74.7,,3684,10.3,,5392,15.0
"Counties",37189,,12751,34.3,,5752,45.1,,2184,17.1,,4815,37.8
"Municipalities",83525,,23160,27.7,,21083,91.0,,1500,6.5,,577,2.5
,,,,,,,,,,,,,
"Alaska",162607,,18669,11.5,,7987,42.8,,5321,28.5,,5362,28.7
"State",81433,,12134,14.9,,2028,16.7,,4882,40.2,,5224,43.1
"Local, total",81174,,6536,8.1,,5959,91.2,,439,6.7,,138,2.1
"Boroughs",30697,,586,1.9,,427,72.9,,117,20.0,,42,7.1
"Municipalities",49726,,5949,12.0,,5531,93.0,,322,5.4,,96,1.6
,,,,,,,,,,,,,
"Arizona",605317,,100874,16.7,,44550,44.2,,26928,26.7,,29396,29.1
"State",169375,,30929,18.3,,5568,18.0,,4741,15.3,,20621,66.7
"Local, total",435943,,69945,16.0,,38983,55.7,,22187,31.7,,8776,12.5
"Counties",60253,,30616,50.8,,4686,15.3,,17176,56.1,,8753,28.6
"Municipalities",113604,,39329,34.6,,34296,87.2,,5011,12.7,,22,0.1
,,,,,,,,,,,,,
"Arkansas",309819,,29802,9.6,,15187,51.0,,5015,16.8,,9600,32.2
"State",125027,,11652,9.3,,2789,23.9,,1809,15.5,,7055,60.5
"Local, total",184792,,18149,9.8,,12399,68.3,,3206,17.7,,2545,14.0
"Counties",22603,,7462,33.0,,2884,38.7,,2130,28.5,,2448,32.8
"Municipalities",38349,,10687,27.9,,9514,89.0,,1076,10.1,,97,0.9
,,,,,,,,,,,,,
"California",5503673,,876679,15.9,,422729,48.2,,174161,19.9,,279790,31.9
"State",1264415,,234608,18.6,,47093,20.1,,14869,6.3,,172645,73.6
"Local, total",4239257,,642071,15.1,,375635,58.5,,159291,24.8,,107145,16.7
"Counties",1057467,,369369,34.9,,126165,34.2,,141303,38.3,,101902,27.6
"Municipalities",893324,,272702,30.5,,249470,91.5,,17989,6.6,,5243,1.9
,,,,,,,,,,,,,
"Colorado",645406,,83795,13.0,,40853,48.8,,18159,21.7,,24783,29.6
"State",210094,,30227,14.4,,4433,14.7,,10757,35.6,,15037,49.7
"Local, total",435312,,53568,12.3,,36421,68.0,,7402,13.8,,9746,18.2
"Counties",58252,,18804,32.3,,8398,44.7,,3409,18.1,,6997,37.2
"Municipalities",125981,,34764,27.6,,28023,80.6,,3993,11.5,,2748,7.9
,,,,,,,,,,,,,
"Connecticut",578202,,80309,13.9,,39705,49.4,,12405,15.4,,28199,35.1
"State",218099,,46653,21.4,,6739,14.4,,11715,25.1,,28199,60.4
"Local, total",360103,,33656,9.3,,32966,97.9,,691,2.1,,0,0.0
"Municipalities",336134,,33656,10.0,,32966,97.9,,691,2.1,,0,0.0
,,,,,,,,,,,,,
"Delaware",118978,,17664,14.8,,7402,41.9,,4467,25.3,,5795,32.8
"State",62444,,12870,20.6,,3032,23.6,,4042,31.4,,5795,45.0
"Local, total",56534,,4794,8.5,,4370,91.2,,424,8.8,,0,0.0
"Counties",6047,,1740,28.8,,1530,87.9,,210,12.1,,0,0.0
"Municipalities",7477,,3054,40.8,,2840,93.0,,214,7.0,,0,0.0
,,,,,,,,,,,,,
"District of Columbia",156299,,29212,18.7,,16621,56.9,,1376,4.7,,11215,38.4
"Local, total",156299,,29212,18.7,,16621,56.9,,1376,4.7,,11215,38.4
"Municipality",120583,,29212,24.2,,16621,56.9,,1376,4.7,,11215,38.4
,,,,,,,,,,,,,
"Florida",1917301,,385635,20.1,,168482,43.7,,81915,21.2,,135238,35.1
"State",495118,,157157,31.7,,11430,7.3,,51624,32.8,,94103,59.9
"Local, total",1422183,,228478,16.1,,157052,68.7,,30291,13.3,,41135,18.0
"Counties",364340,,143133,39.3,,75972,53.1,,28187,19.7,,38974,27.2
"Municipalities",271049,,85345,31.5,,81080,95.0,,2104,2.5,,2161,2.5
,,,,,,,,,,,,,
"Georgia",1066132,,135619,12.7,,55154,40.7,,24949,18.4,,55516,40.9
"State",294531,,51152,17.4,,6102,11.9,,5364,10.5,,39686,77.6
"Local, total",771601,,84467,10.9,,49052,58.1,,19585,23.2,,15829,18.7
"Counties",125605,,53213,42.4,,23032,43.3,,16860,31.7,,13321,25.0
"Municipalities",90970,,31254,34.4,,26020,83.3,,2725,8.7,,2508,8.0
,,,,,,,,,,,,,
"Hawaii",190657,,27869,14.6,,13470,48.3,,8889,31.9,,5509,19.8
"State",143750,,12355,8.6,,0,0.0,,6845,55.4,,5509,44.6
"Local, total",46908,,15514,33.1,,13470,86.8,,2043,13.2,,0,0.0
"Counties",15130,,4620,30.5,,3797,82.2,,822,17.8,,0,0.0
"Municipalities",31445,,10894,34.6,,9673,88.8,,1221,11.2,,0,0.0
,,,,,,,,,,,,,
"Idaho",166229,,17654,10.6,,7872,44.6,,3884,22.0,,5898,33.4
"State",59662,,7145,12.0,,1263,17.7,,1817,25.4,,4064,56.9
"Local, total",106567,,10509,9.9,,6609,62.9,,2067,19.7,,1834,17.4
"Counties",18692,,6112,32.7,,2519,41.2,,1759,28.8,,1834,30.0
"Municipalities",15559,,4397,28.3,,4090,93.0,,308,7.0,,0,0.0
,,,,,,,,,,,,,
"Illinois",1861021,,307573,16.5,,182883,59.5,,53115,17.3,,71575,23.3
"State",422754,,76381,18.1,,15654,20.5,,14788,19.4,,45938,60.1
"Local, total",1438267,,231193,16.1,,167229,72.3,,38327,16.6,,25637,11.1
"Counties",158551,,77815,49.1,,16706,21.5,,35547,45.7,,25562,32.9
"Municipalities",378677,,153377,40.5,,150523,98.1,,2780,1.8,,75,0.0
,,,,,,,,,,,,,
"Indiana",764160,,76257,10.0,,40349,52.9,,13689,18.0,,22220,29.1
"State",219547,,24148,11.0,,6156,25.5,,3947,16.3,,14045,58.2
"Local, total",544613,,52109,9.6,,34192,65.6,,9742,18.7,,8175,15.7
"Counties",89806,,22109,24.6,,7899,35.7,,6899,31.2,,7311,33.1
"Municipalities",107765,,29999,27.8,,26293,87.6,,2843,9.5,,864,2.9
,,,,,,,,,,,,,
