Bureau of Justice Statistics,,,,,,,,,,,,
Filename:  cjee0710.csv,,,,,,,,,,,,
"Table 10.   Detail of direct expenditure for correctional activities of state governments by character and object, fiscal year 2007",,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,
Date of version:  9/14/2010,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 10.   Detail of direct expenditure for correctional activities of state governments by character and object, fiscal year 2007",,,,,,,,,,,,
(Dollar amounts in thousands.),,,,,,,,,,,,
,,,,,,,,,,,,
State,,Institutions,,Capital outlay,,,,Other corrections,,,,
,Total corrections direct expenditure,Total,Direct current,Construction,Other,Percent of total corrections direct expenditure,,Total,Direct current,Capital outlay,Percent of total corrections direct expenditure,
,,,,,,,,,,,,
Total,"$44,021,189 ","$36,476,211 ","$34,719,815 ","$1,464,443 ","$291,953 ",82.9,%,"$7,544,978 ","$7,427,111 ","$117,867 ",17.1,%
,,,,,,,,,,,,
Alabama,"$487,175 ","$389,658 ","$382,258 ","$2,049 ","$5,351 ",80,,"$97,517 ","$97,194 ",$323 ,20,
Alaska,"$237,144 ","$198,915 ","$197,311 ","$1,493 ",$111 ,83.9,,"$38,229 ","$38,100 ",$129 ,16.1,
Arizona,"$898,226 ","$802,790 ","$794,793 ",$737 ,"$7,260 ",89.4,,"$95,436 ","$92,447 ","$2,989 ",10.6,
Arkansas,"$331,214 ","$287,178 ","$260,609 ","$26,569 ",$0 ,86.7,,"$44,036 ","$44,036 ",$0 ,13.3,
California,"$7,786,971 ","$6,719,911 ","$6,584,054 ","$103,263 ","$32,594 ",86.3,,"$1,067,060 ","$1,061,381 ","$5,679 ",13.7,
,,,,,,,,,,,,
Colorado,"$747,689 ","$526,189 ","$508,287 ","$13,646 ","$4,256 ",70.4,,"$221,500 ","$215,198 ","$6,302 ",29.6,
Connecticut,"$659,966 ","$646,293 ","$628,430 ","$14,692 ","$3,171 ",97.9,,"$13,673 ","$13,272 ",$401 ,2.1,
Delaware,"$265,937 ","$199,575 ","$198,186 ",$25 ,"$1,364 ",75,,"$66,362 ","$65,676 ",$686 ,25,
Florida,"$2,542,387 ","$1,872,432 ","$1,805,918 ","$56,657 ","$9,857 ",73.6,,"$669,955 ","$666,559 ","$3,396 ",26.4,
Georgia,"$1,422,381 ","$1,095,088 ","$1,048,413 ","$42,857 ","$3,818 ",77,,"$327,293 ","$318,102 ","$9,191 ",23,
,,,,,,,,,,,,
Hawaii,"$197,273 ","$184,010 ","$178,074 ","$4,707 ","$1,229 ",93.3,,"$13,263 ","$13,126 ",$137 ,6.7,
Idaho,"$201,857 ","$173,103 ","$163,315 ","$8,721 ","$1,067 ",85.8,,"$28,754 ","$28,496 ",$258 ,14.2,
Illinois,"$1,198,667 ","$997,734 ","$975,890 ","$18,806 ","$3,038 ",83.2,,"$200,933 ","$199,586 ","$1,347 ",16.8,
Indiana,"$603,969 ","$559,228 ","$550,452 ","$5,479 ","$3,297 ",92.6,,"$44,741 ","$44,409 ",$332 ,7.4,
Iowa,"$255,707 ","$243,527 ","$237,107 ","$3,341 ","$3,079 ",95.2,,"$12,180 ","$11,680 ",$500 ,4.8,
,,,,,,,,,,,,
Kansas,"$271,551 ","$241,694 ","$238,315 ","$2,496 ",$883 ,89,,"$29,857 ","$29,657 ",$200 ,11,
Kentucky,"$451,475 ","$406,044 ","$402,902 ",$0 ,"$3,142 ",89.9,,"$45,431 ","$45,164 ",$267 ,10.1,
Louisiana,"$521,879 ","$401,569 ","$383,272 ","$15,937 ","$2,360 ",76.9,,"$120,310 ","$118,347 ","$1,963 ",23.1,
Maine,"$130,051 ","$91,572 ","$91,030 ",$13 ,$529 ,70.4,,"$38,479 ","$38,042 ",$437 ,29.6,
Maryland,"$1,347,424 ","$1,057,993 ","$993,974 ","$51,045 ","$12,974 ",78.5,,"$289,431 ","$287,054 ","$2,377 ",21.5,
,,,,,,,,,,,,
Massachusetts,"$1,010,277 ","$815,579 ","$771,502 ","$34,770 ","$9,307 ",80.7,,"$194,698 ","$192,345 ","$2,353 ",19.3,
Michigan,"$1,766,440 ","$1,512,894 ","$1,511,482 ",$804 ,$608 ,85.6,,"$253,546 ","$253,535 ",$11 ,14.4,
Minnesota,"$469,256 ","$313,368 ","$240,423 ","$66,801 ","$6,144 ",66.8,,"$155,888 ","$152,952 ","$2,936 ",33.2,
Mississippi,"$301,308 ","$273,226 ","$270,785 ",$86 ,"$2,355 ",90.7,,"$28,082 ","$27,430 ",$652 ,9.3,
Missouri,"$625,123 ","$557,731 ","$533,845 ","$16,219 ","$7,667 ",89.2,,"$67,392 ","$63,582 ","$3,810 ",10.8,
,,,,,,,,,,,,
Montana,"$146,574 ","$111,722 ","$110,237 ",$969 ,$516 ,76.2,,"$34,852 ","$34,653 ",$199 ,23.8,
Nebraska,"$212,510 ","$89,862 ","$87,340 ","$2,479 ",$43 ,42.3,,"$122,648 ","$120,649 ","$1,999 ",57.7,
Nevada,"$292,821 ","$240,859 ","$228,037 ","$10,282 ","$2,540 ",82.3,,"$51,962 ","$50,929 ","$1,033 ",17.7,
New Hampshire,"$109,320 ","$79,804 ","$75,478 ","$3,225 ","$1,101 ",73,,"$29,516 ","$29,158 ",$358 ,27,
New Jersey,"$1,423,034 ","$1,083,649 ","$1,073,798 ","$6,316 ","$3,535 ",76.2,,"$339,385 ","$337,789 ","$1,596 ",23.8,
,,,,,,,,,,,,
New Mexico,"$341,179 ","$243,824 ","$239,706 ",$815 ,"$3,303 ",71.5,,"$97,355 ","$96,255 ","$1,100 ",28.5,
New York,"$3,016,304 ","$2,677,996 ","$2,428,642 ","$207,773 ","$41,581 ",88.8,,"$338,308 ","$331,303 ","$7,005 ",11.2,
North Carolina,"$1,267,815 ","$1,082,070 ","$994,830 ","$79,329 ","$7,911 ",85.3,,"$185,745 ","$178,840 ","$6,905 ",14.7,
North Dakota,"$53,596 ","$52,077 ","$51,222 ",$575 ,$280 ,97.2,,"$1,519 ","$1,327 ",$192 ,2.8,
Ohio,"$1,176,364 ","$836,053 ","$803,638 ","$28,760 ","$3,655 ",71.1,,"$340,311 ","$330,822 ","$9,489 ",28.9,
,,,,,,,,,,,,
Oklahoma,"$568,943 ","$427,845 ","$421,441 ","$3,439 ","$2,965 ",75.2,,"$141,098 ","$130,204 ","$10,894 ",24.8,
Oregon,"$597,477 ","$480,398 ","$365,220 ","$113,503 ","$1,675 ",80.4,,"$117,079 ","$114,227 ","$2,852 ",19.6,
Pennsylvania,"$1,665,077 ","$1,584,176 ","$1,384,382 ","$188,027 ","$11,767 ",95.1,,"$80,901 ","$79,787 ","$1,114 ",4.9,
Rhode Island,"$178,364 ","$138,832 ","$134,082 ","$4,462 ",$288 ,77.8,,"$39,532 ","$33,137 ","$6,395 ",22.2,
South Carolina,"$465,885 ","$413,301 ","$397,531 ","$8,702 ","$7,068 ",88.7,,"$52,584 ","$51,962 ",$622 ,11.3,
,,,,,,,,,,,,
South Dakota,"$102,081 ","$89,682 ","$88,190 ","$1,194 ",$298 ,87.9,,"$12,399 ","$11,583 ",$816 ,12.1,
Tennessee,"$594,538 ","$507,469 ","$415,082 ","$91,487 ",$900 ,85.4,,"$87,069 ","$86,821 ",$248 ,14.6,
Texas,"$3,177,347 ","$2,869,754 ","$2,793,338 ","$23,692 ","$52,724 ",90.3,,"$307,593 ","$306,931 ",$662 ,9.7,
Utah,"$310,334 ","$188,846 ","$186,378 ",$0 ,"$2,468 ",60.9,,"$121,488 ","$120,263 ","$1,225 ",39.1,
Vermont,"$113,487 ","$50,605 ","$50,321 ",$28 ,$256 ,44.6,,"$62,882 ","$62,623 ",$259 ,55.4,
,,,,,,,,,,,,
Virginia,"$1,106,136 ","$802,142 ","$794,961 ",$264 ,"$6,917 ",72.5,,"$303,994 ","$294,140 ","$9,854 ",27.5,
Washington,"$1,089,670 ","$791,267 ","$614,781 ","$169,850 ","$6,636 ",72.6,,"$298,403 ","$293,747 ","$4,656 ",27.4,
West Virginia,"$233,280 ","$213,914 ","$211,406 ",$809 ,"$1,699 ",91.7,,"$19,366 ","$19,059 ",$307 ,8.3,
Wisconsin,"$930,537 ","$764,835 ","$742,396 ","$17,455 ","$4,984 ",82.2,,"$165,702 ","$164,347 ","$1,355 ",17.8,
Wyoming,"$117,169 ","$87,928 ","$76,751 ","$9,795 ","$1,382 ",75,,"$29,241 ","$29,185 ",$56 ,25,
