Bureau of Justice Statistics,,,,,,,,,,,,,
Filename:  cjee0717.csv,,,,,,,,,,,,,
"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2007",,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,
Date of version:  9/14/2010,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2007",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars.),,,,,,,,,,,,,
,,,,,,,,,,,,,
,Sworn,,,,,,,Nonsworn,,,,,
,Number of employees,,Fulltime equivalent employment,,,,,Number of employees,,Fulltime equivalent employment,,,
City,Total,Fulltime only,Number,Percent of total police protection fulltime equivalent,,March payrolls,Average earnings of fulltime employees,Total,Fulltime only,Number,Percent of total police protection fulltime equivalent,,March payrolls
,,,,,,,,,,,,,
"Albuquerque, NM","1,084","1,084","1,084",68.6,%,"$3,356 ","$3,096 ",607,346,496,31.4,%,"$1,071 "
"Atlanta, GA","2,415","2,204","2,255",80,,"$9,707 ","$4,341 ",563,563,563,20,,"$2,037 "
"Austin, TX","1,471","1,469","1,470",66.4,,"$10,206 ","$6,944 ",855,715,743,33.6,,"$2,440 "
"Baltimore, MD","3,421","3,421","3,421",82.3,,"$19,428 ","$5,679 ","1,044",557,736,17.7,,"$3,484 "
"Baton Rouge, LA",894,894,894,68.1,,"$2,987 ","$3,341 ",497,332,418,31.9,,"$1,182 "
"Boston, MA","2,138","2,138","2,138",75,,"$12,726 ","$5,952 ",837,617,713,25,,"$2,637 "
,,,,,,,,,,,,,
"Buffalo, NY",760,760,760,78.2,,"$4,669 ","$6,144 ",300,139,212,21.8,,$625 
"Charlotte, NC","1,562","1,548","1,555",77.4,,"$7,272 ","$4,683 ",491,432,455,22.6,,"$1,979 "
"Chicago, IL","15,893","15,893","15,893",86.4,,"$59,306 ","$3,732 ","2,996","1,943","2,494",13.6,,"$9,174 "
"Cincinnati, OH","1,096","1,096","1,096",80.8,,"$5,411 ","$4,937 ",323,205,260,19.2,,$899 
"Cleveland, OH","1,540","1,540","1,540",83,,"$7,634 ","$4,957 ",315,315,315,17,,$790 
"Columbus, OH","1,858","1,858","1,858",83.6,,"$10,763 ","$5,793 ",377,354,365,16.4,,"$1,419 "
,,,,,,,,,,,,,
"Dallas, TX","3,056","3,056","3,056",79.5,,"$18,754 ","$6,137 ",971,621,787,20.5,,"$2,312 "
"Denver, CO","1,592","1,592","1,592",81.8,,"$9,769 ","$6,137 ",359,349,355,18.2,,"$1,546 "
"Detroit, MI","3,185","3,185","3,185",90,,"$15,126 ","$4,749 ",355,355,355,10,,"$1,219 "
"El Paso, TX","1,079","1,079","1,079",72.2,,"$4,492 ","$4,163 ",417,413,415,27.8,,"$1,034 "
"Fort Worth, TX","1,450","1,450","1,450",76.5,,"$7,661 ","$5,284 ",606,366,446,23.5,,"$1,436 "
"Honolulu, HI","2,034","2,034","2,034",78.6,,"$10,786 ","$5,303 ",626,535,554,21.4,,"$2,093 "
,,,,,,,,,,,,,
"Houston, TX","4,877","4,877","4,877",79.3,,"$23,667 ","$4,853 ","1,276","1,276","1,276",20.7,,"$3,651 "
"Indianapolis, IN","2,001","1,965","1,965",60,,"$9,349 ","$4,757 ","1,525","1,269","1,311",40,,"$3,476 "
"Jacksonville, FL","1,605","1,604","1,604",70.4,,"$7,245 ","$4,516 ",770,596,674,29.6,,"$2,780 "
