Bureau of Justice Statistics,,,,,,,,,,,,,
Filename:  cjee0707.csv,,,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2007",,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,
Date of version:  9/14/2010,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2007",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Sworn,,,,,,Nonsworn,,,,,
,,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment,,,
,,,,,,,,,,,,,
State and type of government,Total police protection full-time equivalent employment,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls
,,,,,,,,,,,,,
"States-local, total","932,995","714,921","677,190","691,838",74.2,%,"$3,549,259 ","282,047","215,721","241,157",25.8,%,"$854,023 "
State,"106,595","67,709","66,996","67,159",63,,"$367,683 ","40,938","38,466","39,436",37,,"$144,970 "
"Local, total","826,400","647,212","610,194","624,679",75.6,,"$3,181,577 ","241,109","177,255","201,721",24.4,,"$709,052 "
Counties,"251,762","176,862","170,769","173,221",68.8,,"$842,943 ","87,132","72,351","78,541",31.2,,"$282,392 "
Municipalities,"574,638","470,350","439,425","451,458",78.6,,"$2,338,634 ","153,977","104,904","123,180",21.4,,"$426,661 "
,,,,,,,,,,,,,
Alabama,"13,556","10,637","10,190","10,361",76.4,,"$38,011 ","3,609","2,920","3,195",23.6,,"$8,553 "
State,"1,560",794,794,794,50.9,,"$3,687 ",766,766,766,49.1,,"$2,383 "
"Local, total","11,996","9,843","9,396","9,567",79.8,,"$34,324 ","2,843","2,154","2,429",20.2,,"$6,169 "
Counties,"3,018","2,417","2,311","2,356",78.1,,"$8,611 ",737,609,662,21.9,,"$1,623 "
Municipalities,"8,978","7,426","7,085","7,211",80.3,,"$25,714 ","2,106","1,545","1,767",19.7,,"$4,546 "
,,,,,,,,,,,,,
Alaska,"1,683","1,117","1,071","1,093",64.9,,"$6,465 ",664,560,590,35.1,,"$2,367 "
State,403,263,263,263,65.3,,"$1,656 ",193,127,140,34.7,,$459 
"Local, total","1,280",854,808,830,64.8,,"$4,808 ",471,433,450,35.2,,"$1,908 "
Boroughs,90,60,58,58,64.4,,$340 ,35,32,32,35.6,,$143 
Municipalities,"1,190",794,750,772,64.9,,"$4,468 ",436,401,418,35.1,,"$1,765 "
,,,,,,,,,,,,,
Arizona,"20,809","15,559","15,480","15,504",74.5,,"$92,609 ","5,467","5,114","5,305",25.5,,"$23,355 "
State,"2,002","1,155","1,155","1,155",57.7,,"$5,612 ",894,811,847,42.3,,"$3,478 "
"Local, total","18,807","14,404","14,325","14,349",76.3,,"$86,997 ","4,573","4,303","4,458",23.7,,"$19,877 "
Counties,"5,817","5,058","5,006","5,023",86.4,,"$25,865 ",815,766,794,13.6,,"$2,799 "
Municipalities,"12,990","9,346","9,319","9,326",71.8,,"$61,131 ","3,758","3,537","3,664",28.2,,"$17,078 "
,,,,,,,,,,,,,
Arkansas,"8,040","6,334","5,934","6,067",75.5,,"$18,731 ","2,088","1,908","1,973",24.5,,"$4,727 "
State,"1,193",580,580,580,48.6,,"$2,172 ",613,613,613,51.4,,"$1,656 "
"Local, total","6,847","5,754","5,354","5,487",80.1,,"$16,559 ","1,475","1,295","1,360",19.9,,"$3,072 "
Counties,"1,952","1,595","1,489","1,524",78.1,,"$3,895 ",461,412,428,21.9,,$870 
Municipalities,"4,895","4,159","3,865","3,963",81,,"$12,664 ","1,014",883,932,19,,"$2,202 "
,,,,,,,,,,,,,
California,"105,490","71,465","69,694","70,222",66.6,,"$534,856 ","38,931","32,447","35,268",33.4,,"$167,593 "
State,"13,283","8,006","7,550","7,627",57.4,,"$50,934 ","6,239","5,451","5,656",42.6,,"$21,552 "
"Local, total","92,207","63,459","62,144","62,595",67.9,,"$483,922 ","32,692","26,996","29,612",32.1,,"$146,042 "
Counties,"33,860","22,652","21,874","22,125",65.3,,"$152,195 ","12,129","11,446","11,735",34.7,,"$59,811 "
Municipalities,"58,347","40,807","40,270","40,470",69.4,,"$331,728 ","20,563","15,550","17,877",30.6,,"$86,230 "
,,,,,,,,,,,,,
Colorado,"13,973","10,373","10,203","10,251",73.4,,"$54,583 ","3,934","3,556","3,722",26.6,,"$13,858 "
State,"1,181",798,798,798,67.6,,"$4,346 ",394,373,383,32.4,,"$1,395 "
"Local, total","12,792","9,575","9,405","9,453",73.9,,"$50,237 ","3,540","3,183","3,339",26.1,,"$12,463 "
Counties,"3,642","2,593","2,550","2,568",70.5,,"$11,867 ","1,140","1,025","1,074",29.5,,"$3,896 "
Municipalities,"9,150","6,982","6,855","6,885",75.2,,"$38,370 ","2,400","2,158","2,265",24.8,,"$8,568 "
,,,,,,,,,,,,,
Connecticut,"10,703","8,410","8,207","8,267",77.2,,"$48,022 ","3,246","2,059","2,436",22.8,,"$9,268 "
State,"2,102","1,499","1,498","1,499",71.3,,"$8,340 ",622,577,603,28.7,,"$2,823 "
"Local, total","8,601","6,911","6,709","6,768",78.7,,"$39,682 ","2,624","1,482","1,833",21.3,,"$6,446 "
Municipalities,"8,601","6,911","6,709","6,768",78.7,,"$39,682 ","2,624","1,482","1,833",21.3,,"$6,446 "
,,,,,,,,,,,,,
Delaware,…,…,…,…,…,,…,…,…,…,…,,…
State,…,…,…,…,…,,…,…,…,…,…,,…
"Local, total",…,…,…,…,…,,…,…,…,…,…,,…
Counties,…,…,…,…,…,,…,…,…,…,…,,…
Municipalities,…,…,…,…,…,,…,…,…,…,…,,…
,,,,,,,,,,,,,
District of Columbia,"4,028","3,381","3,380","3,381",83.9,,"$22,990 ",712,582,647,16.1,,"$3,158 "
"Local, total","4,028","3,381","3,380","3,381",83.9,,"$22,990 ",712,582,647,16.1,,"$3,158 "
Municipality,"4,028","3,381","3,380","3,381",83.9,,"$22,990 ",712,582,647,16.1,,"$3,158 "
,,,,,,,,,,,,,
Florida,"65,408","41,914","41,173","41,486",63.4,,"$220,226 ","26,920","22,019","23,922",36.6,,"$85,722 "
State,"4,441","2,418","2,339","2,362",53.2,,"$9,747 ","2,141","2,037","2,079",46.8,,"$6,968 "
"Local, total","60,967","39,496","38,834","39,124",64.2,,"$210,479 ","24,779","19,982","21,843",35.8,,"$78,754 "
Counties,"33,780","19,640","19,434","19,516",57.8,,"$109,175 ","16,130","13,170","14,264",42.2,,"$52,655 "
Municipalities,"27,187","19,856","19,400","19,608",72.1,,"$101,304 ","8,649","6,812","7,579",27.9,,"$26,099 "
,,,,,,,,,,,,,
Georgia,"27,645","22,135","21,334","21,596",78.1,,"$78,628 ","6,825","5,611","6,049",21.9,,"$17,074 "
State,"2,036","1,040","1,040","1,040",51.1,,"$3,841 ","1,001",991,996,48.9,,"$3,349 "
"Local, total","25,609","21,095","20,294","20,556",80.3,,"$74,787 ","5,824","4,620","5,053",19.7,,"$13,725 "
Counties,"11,895","9,440","9,206","9,301",78.2,,"$34,734 ","2,921","2,363","2,594",21.8,,"$6,909 "
Municipalities,"13,714","11,655","11,088","11,255",82.1,,"$40,053 ","2,903","2,257","2,459",17.9,,"$6,816 "
,,,,,,,,,,,,,
Hawaii,"3,736","2,935","2,906","2,913",78,,"$15,652 ",927,792,823,22,,"$3,073 "
State,0,0,0,0,0,,$0 ,0,0,0,0,,$0 
"Local, total","3,736","2,935","2,906","2,913",78,,"$15,652 ",927,792,823,22,,"$3,073 "
Counties,"1,148",901,872,879,76.6,,"$4,866 ",301,257,269,23.4,,$980 
Municipalities,"2,588","2,034","2,034","2,034",78.6,,"$10,786 ",626,535,554,21.4,,"$2,093 "
,,,,,,,,,,,,,
Idaho,"4,023","2,902","2,827","2,843",70.7,,"$11,821 ","1,286","1,102","1,180",29.3,,"$3,429 "
State,487,275,275,275,56.5,,"$1,122 ",222,199,212,43.5,,$681 
"Local, total","3,536","2,627","2,552","2,568",72.6,,"$10,699 ","1,064",903,968,27.4,,"$2,748 "
Counties,"1,723","1,169","1,125","1,137",66,,"$4,245 ",642,548,586,34,,"$1,586 "
Municipalities,"1,813","1,458","1,427","1,431",78.9,,"$6,453 ",422,355,382,21.1,,"$1,162 "
,,,,,,,,,,,,,
Illinois,"48,713","39,785","37,296","38,056",78.1,,"$172,261 ","13,487","8,983","10,657",21.9,,"$39,521 "
State,"3,953","2,281","2,281","2,281",57.7,,"$14,150 ","1,672","1,671","1,672",42.3,,"$7,759 "
"Local, total","44,760","37,504","35,015","35,775",79.9,,"$158,112 ","11,815","7,312","8,985",20.1,,"$31,762 "
Counties,"5,942","4,422","4,202","4,287",72.1,,"$19,685 ","1,842","1,539","1,655",27.9,,"$6,021 "
Municipalities,"38,818","33,082","30,813","31,488",81.1,,"$138,427 ","9,973","5,773","7,330",18.9,,"$25,741 "
,,,,,,,,,,,,,
Indiana,"17,110","12,279","11,722","11,880",69.4,,"$48,630 ","6,343","4,792","5,230",30.6,,"$13,753 "
State,"1,882","1,114","1,114","1,114",59.2,,"$4,617 ",768,767,768,40.8,,"$2,185 "
"Local, total","15,228","11,165","10,608","10,766",70.7,,"$44,013 ","5,575","4,025","4,462",29.3,,"$11,568 "
Counties,"3,896","2,514","2,420","2,448",62.8,,"$8,846 ","1,631","1,340","1,448",37.2,,"$3,599 "
