Bureau of Justice Statistics,,,,,,,,,
Filename:  cjee0702.csv,,,,,,,,,
"Table 2.   Percent distribution of employment and payrolls for the justice system by level of government, March 2007",,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version:  9/14/2010,,,,,,,,,
,,,,,,,,,
"Table 2.   Percent distribution of employment and payrolls for the justice system by level of government, March 2007",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
,,,,,Percent distribution,,,,
Activity ,All governments,Federal government,State governments,Local governments,Federal government,,State governments,,Local governments
,,,,,,,,,
Total justice system:,,,,,,,,,
Total employees,2450195,263840,761201,1425154,10.8,%,31.1,%,58.2
Full time employees,-,-,737394,1277392,-,,36.6,,63.4
Full-time eqivalent employment,-,-,750080,1335479,-,,36,,64
March payrolls,10672431,1565711,3144489,5962231,14.7,,29.5,,55.9
,,,,,,,,,
Police protection:,,,,,,,,,
Total employees,1163412,166444,108647,888321,14.3,,9.3,,76.4
Full time employees,-,-,105462,787449,-,,11.8,,88.2
Full-time equivalent employment,-,-,106595,826400,-,,11.4,,88.6
March payrolls,5346492,943210,512653,3890629,17.6,,9.6,,72.8
,,,,,,,,,
Judicial and legal:,,,,,,,,,
Total employees,508985,60742,177530,270713,11.9,,34.9,,53.2
Full time employees,-,-,167530,238491,-,,41.3,,58.7
Full-time equivalent employment,-,-,173021,250407,-,,40.9,,59.1
March payrolls,2331658,434013,823435,1074210,18.6,,35.3,,46.1
,,,,,,,,,
Corrections:,,,,,,,,,
Total employees,777798,36654,475024,266120,4.7,,61.1,,34.2
Full time employees,-,-,464402,251452,-,,64.9,,35.1
Full-time equivalent employment,-,-,470464,258672,-,,64.5,,35.5
March payrolls,2994280,188488,1808401,997392,6.3,,60.4,,33.3
,,,,,,,,,
Notes:  Local government data are estimates subject to sampling variability.,,,,,,,,,
The federal budget source provides only total employment for the federal government; that figure is included in the denominator used to compute the percent distribution of full time employees and full time equivalent employment for state and local governments.,,,,,,,,,
