Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cjee0314.csv,,,,,,,,,,,,,
"table #:  14 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2003",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,,
data source:  Criminal Justice Expenditures and Employment Extracts Program (CJEE),,,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,,

"Table 14.  Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 68 large county governments, March 2003",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,

,Sworn,,,,,,,Nonsworn,,,,,
,No. employees,,Full-time equiv. employment,,,,,No. employees,,Full-time equiv. employment,,,
County,Total,Full-time only,Number,Percent of total police protection full-time equiv.,,March payrolls,Average earnings of full-time employees($),Total,Full-time only,Number,Percent of total police protection full-time equiv.,,March payrolls

"Alameda, CA",366,366,366,38.4,%,"$2,894 ","$7,906 ",587,587,587,61.6,%,"$2,433 "
"Allegheny, PA",275,275,275,47.7,,"$1,222 ","$4,442 ",301,298,301,52.3,,"$1,045 "
"Baltimore, MD","1,805","1,805","1,805",77.6,,"$8,155 ","$4,518 ",735,423,520,22.4,,"$1,778 "
"Bergen, NJ",113,113,113,58.5,,$861 ,"$7,619 ",85,77,80,41.5,,$324 
"Bexar, TX",398,396,396,64.1,,"$1,380 ","$3,483 ",224,220,222,35.9,,$548 
"Broward, FL","1,518","1,518","1,518",49.5,,"$8,232 ","$5,423 ","1,601","1,485","1,551",50.5,,"$5,335 "
"Clark, NV","1,965","1,965","1,965",61.2,,"$11,316 ","$5,759 ","1,660","1,104","1,246",38.8,,"$5,875 "

"Contra Costa, CA",700,550,575,71,,"$4,172 ","$7,358 ",235,235,235,29,,$999 
"Cook, IL",535,535,535,65.6,,"$2,518 ","$4,707 ",301,269,281,34.4,,"$1,179 "
"Cuyahoga, OH",172,172,172,33.3,,$638 ,"$3,712 ",344,344,344,66.7,,"$1,020 "
"Dade, FL","3,154","3,154","3,154",64,,"$18,494 ","$5,864 ","2,069","1,446","1,775",36,,"$6,118 "
"Dallas, TX",338,338,338,38.9,,"$1,458 ","$4,314 ",531,531,531,61.1,,"$2,053 "
"Dekalb, GA","1,000","1,000","1,000",81.8,,"$4,085 ","$4,085 ",316,178,222,18.2,,$672 
"Delaware, PA",50,50,50,74.6,,$158 ,"$3,154 ",17,17,17,25.4,,$46 

"Du Page, IL",75,73,74,24.7,,$360 ,"$4,897 ",226,224,225,75.3,,"$1,092 "
"Erie, NY",187,177,178,59.5,,$881 ,"$4,952 ",134,110,121,40.5,,$461 
