Bureau of Justice Statistics,,,,,,,,,,,,
filename:  cjee0306.csv,,,,,,,,,,,,
"table #:  6 Percent distribution of justice system payrolls by State and type of government, March 2003",,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,

"Table 6.   Percent distribution of justice system payrolls by State and type of government, March 2003",,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,


,Total,Total justice system,,,Police protection,,,Judicial and Legal,,,Corrections,
State and type of government,March payrolls/a,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b

"States-local, total","$54,522,019 ","$7,761,595 ",14.2,%,"$3,784,638 ",48.8,%,"$1,615,880 ",20.8,%,"$2,361,077 ",30.4,%
State,"$15,116,407 ","$2,639,081 ",17.5,,"$438,074 ",16.6,,"$681,953 ",25.8,,"$1,519,054 ",57.6,
"Local, total","$39,405,612 ","$5,122,513 ",13,,"$3,346,565 ",65.3,,"$933,926 ",18.2,,"$842,023 ",16.4,
Counties,"$8,285,014 ","$2,265,837 ",27.3,,"$870,997 ",38.4,,"$716,641 ",31.6,,"$678,198 ",29.9,
Municipalities,"$11,331,962 ","$2,856,677 ",25.2,,"$2,475,567 ",86.7,,"$217,285 ",7.6,,"$163,825 ",5.7,

Alabama,"$758,999 ","$79,224 ",10.4,,"$39,193 ",49.5,,"$17,364 ",21.9,,"$22,667 ",28.6,
State,"$278,925 ","$32,310 ",11.6,,"$4,249 ",13.1,,"$12,711 ",39.3,,"$15,350 ",47.5,
"Local, total","$480,074 ","$46,914 ",9.8,,"$34,944 ",74.5,,"$4,652 ",9.9,,"$7,317 ",15.6,
Counties,"$51,180 ","$16,387 ",32,,"$7,743 ",47.2,,"$2,351 ",14.3,,"$6,294 ",38.4,
Municipalities,"$107,024 ","$30,527 ",28.5,,"$27,202 ",89.1,,"$2,301 ",7.5,,"$1,024 ",3.4,

Alaska,"$197,564 ","$22,572 ",11.4,,"$9,318 ",41.3,,"$5,876 ",26,,"$7,378 ",32.7,
State,"$98,227 ","$14,681 ",14.9,,"$2,173 ",14.8,,"$5,361 ",36.5,,"$7,147 ",48.7,
"Local, total","$99,336 ","$7,892 ",7.9,,"$7,145 ",90.5,,$516 ,6.5,,$231 ,2.9,
Boroughs,"$33,306 ","$1,632 ",4.9,,"$1,459 ",89.4,,$125 ,7.7,,$48 ,2.9,
Municipalities,"$63,986 ","$6,260 ",9.8,,"$5,686 ",90.8,,$391 ,6.2,,$184 ,2.9

Arizona,"$856,632 ","$150,241 ",17.5,,"$73,029 ",48.6,,"$33,993 ",22.6,,"$43,219 ",28.8
State,"$210,725 ","$42,473 ",20.2,,"$7,712 ",18.2,,"$5,761 ",13.6,,"$29,000 ",68.3
"Local, total","$645,907 ","$107,768 ",16.7,,"$65,317 ",60.6,,"$28,232 ",26.2,,"$14,218 ",13.2
Counties,"$98,631 ","$49,294 ",50,,"$14,112 ",28.6,,"$21,005 ",42.6,,"$14,176 ",28.8
Municipalities,"$168,400 ","$58,474 ",34.7,,"$51,205 ",87.6,,"$7,227 ",12.4,,$42 ,0.1

Arkansas,"$394,037 ","$43,091 ",10.9,,"$20,775 ",48.2,,"$8,773 ",20.4,,"$13,542 ",31.4
State,"$159,143 ","$17,879 ",11.2,,"$3,069 ",17.2,,"$4,868 ",27.2,,"$9,942 ",55.6
"Local, total","$234,894 ","$25,212 ",10.7,,"$17,707 ",70.2,,"$3,905 ",15.5,,"$3,600 ",14.3
Counties,"$24,709 ","$10,008 ",40.5,,"$4,313 ",43.1,,"$2,176 ",21.7,,"$3,520 ",35.2
Municipalities,"$49,646 ","$15,203 ",30.6,,"$13,394 ",88.1,,"$1,730 ",11.4,,$80 ,0.5

California,"$7,996,219 ","$1,226,939 ",15.3,,"$572,270 ",46.6,,"$280,492 ",22.9,,"$374,177 ",30.5
State,"$1,826,238 ","$324,991 ",17.8,,"$71,073 ",21.9,,"$24,002 ",7.4,,"$229,916 ",70.7
"Local, total","$6,169,981 ","$901,947 ",14.6,,"$501,197 ",55.6,,"$256,490 ",28.4,,"$144,260 ",16
Counties,"$1,547,879 ","$530,929 ",34.3,,"$165,055 ",31.1,,"$229,814 ",43.3,,"$136,061 ",25.6
Municipalities,"$1,272,485 ","$371,018 ",29.2,,"$336,142 ",90.6,,"$26,676 ",7.2,,"$8,199 ",2.2

Colorado,"$887,996 ","$122,683 ",13.8,,"$60,044 ",48.9,,"$25,282 ",20.6,,"$37,357 ",30.4
State,"$269,919 ","$47,508 ",17.6,,"$6,228 ",13.1,,"$15,370 ",32.4,,"$25,910 ",54.5
"Local, total","$618,078 ","$75,176 ",12.2,,"$53,816 ",71.6,,"$9,912 ",13.2,,"$11,447 ",15.2
Counties,"$85,244 ","$27,073 ",31.8,,"$14,704 ",54.3,,"$4,427 ",16.4,,"$7,942 ",29.3
Municipalities,"$173,550 ","$48,103 ",27.7,,"$39,112 ",81.3,,"$5,486 ",11.4,,"$3,505 ",7.3

Connecticut,"$725,918 ","$98,554 ",13.6,,"$50,164 ",50.9,,"$17,915 ",18.2,,"$30,475 ",30.9
State,"$264,425 ","$56,060 ",21.2,,"$8,535 ",15.2,,"$17,051 ",30.4,,"$30,475 ",54.4
"Local, total","$461,493 ","$42,494 ",9.2,,"$41,630 ",98,,$864 ,2,, $-   ,0
Municipalities,"$419,863 ","$42,494 ",10.1,,"$41,630 ",98,,$864 ,2,, $-   ,0

Delaware,"$160,657 ","$24,578 ",15.3,,"$10,271 ",41.8,,"$5,355 ",21.8,,"$8,952 ",36.4
State,"$85,027 ","$17,817 ",21,,"$3,913 ",22,,"$4,952 ",27.8,,"$8,952 ",50.2
"Local, total","$75,629 ","$6,761 ",8.9,,"$6,357 ",94,,$404 ,6,, $-   ,0
Counties,"$8,794 ","$2,538 ",28.9,,"$2,266 ",89.3,,$272 ,10.7,, $-   ,0
Municipalities,"$10,460 ","$4,223 ",40.4,,"$4,091 ",96.9,,$132 ,3.1,, $-   ,0

District of Columbia,"$204,227 ","$37,344 ",18.3,,"$24,853 ",66.6,,"$7,835 ",21,,"$4,656 ",12.5
"Local, total","$204,227 ","$37,344 ",18.3,,"$24,853 ",66.6,,"$7,835 ",21,,"$4,656 ",12.5
Municipality,"$156,882 ","$37,344 ",23.8,,"$24,853 ",66.6,,"$7,835 ",21,,"$4,656 ",12.5

Florida,"$2,590,947 ","$476,231 ",18.4,,"$237,379 ",49.8,,"$112,915 ",23.7,,"$125,936 ",26.4
State,"$604,300 ","$154,243 ",25.5,,"$14,868 ",9.6,,"$66,340 ",43,,"$73,035 ",47.4
"Local, total","$1,986,648 ","$321,988 ",16.2,,"$222,511 ",69.1,,"$46,575 ",14.5,,"$52,901 ",16.4
Counties,"$562,745 ","$209,285 ",37.2,,"$115,852 ",55.4,,"$42,836 ",20.5,,"$50,597 ",24.2
Municipalities,"$368,101 ","$112,702 ",30.6,,"$106,659 ",94.6,,"$3,740 ",3.3,,"$2,304 ",2

Georgia,"$1,413,734 ","$190,040 ",13.4,,"$77,891 ",41,,"$41,257 ",21.7,,"$70,892 ",37.3
State,"$383,624 ","$67,826 ",17.7,,"$7,576 ",11.2,,"$11,327 ",16.7,,"$48,923 ",72.1
"Local, total","$1,030,110 ","$122,214 ",11.9,,"$70,315 ",57.5,,"$29,929 ",24.5,,"$21,969 ",18
Counties,"$175,577 ","$77,434 ",44.1,,"$33,062 ",42.7,,"$25,502 ",32.9,,"$18,871 ",24.4
Municipalities,"$126,338 ","$44,779 ",35.4,,"$37,254 ",83.2,,"$4,428 ",9.9,,"$3,098 ",6.9

Hawaii,"$238,675 ","$34,027 ",14.3,,"$15,001 ",44.1,,"$10,777 ",31.7,,"$8,249 ",24.2
State,"$186,680 ","$16,733 ",9,, $-   ,0,,"$8,485 ",50.7,,"$8,249 ",49.3
"Local, total","$51,995 ","$17,293 ",33.3,,"$15,001 ",86.7,,"$2,293 ",13.3,, $-   ,0
Counties,"$18,160 ","$5,469 ",30.1,,"$4,496 ",82.2,,$973 ,17.8,, $-   ,0
Municipalities,"$33,451 ","$11,825 ",35.4,,"$10,505 ",88.8,,"$1,320 ",11.2,, $-   ,0

Idaho,"$217,151 ","$25,260 ",11.6,,"$12,215 ",48.4,,"$5,441 ",21.5,,"$7,603 ",30.1
State,"$68,972 ","$8,339 ",12.1,,"$1,643 ",19.7,,"$2,038 ",24.4,,"$4,658 ",55.9
"Local, total","$148,179 ","$16,921 ",11.4,,"$10,572 ",62.5,,"$3,403 ",20.1,,"$2,946 ",17.4
Counties,"$32,270 ","$10,844 ",33.6,,"$4,845 ",44.7,,"$3,054 ",28.2,,"$2,946 ",27.2
Municipalities,"$20,893 ","$6,077 ",29.1,,"$5,728 ",94.3,,$349 ,5.7,, $-   ,0

Illinois,"$2,253,948 ","$329,631 ",14.6,,"$176,405 ",53.5,,"$69,220 ",21,,"$84,006 ",25.5
State,"$485,670 ","$90,640 ",18.7,,"$19,169 ",21.1,,"$19,141 ",21.1,,"$52,330 ",57.7
"Local, total","$1,768,279 ","$238,990 ",13.5,,"$157,236 ",65.8,,"$50,079 ",21,,"$31,676 ",13.3
Counties,"$211,228 ","$97,509 ",46.2,,"$19,444 ",19.9,,"$46,390 ",47.6,,"$31,676 ",32.5
Municipalities,"$420,469 ","$141,481 ",33.6,,"$137,792 ",97.4,,"$3,689 ",2.6,, $-   ,0

