Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0315.csv,,,,,,,,,,,,,,,,,,,,,,,
"table #:  15 Justice system expenditure of 49 large city governments by activity and character and object, fiscal 2003",,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,,,,,,,,,,,,

"Table 15.  Justice system expenditure of 49 large city governments by activity and character and object, fiscal 2003",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars.),,,,,,,,,,,,,,,,,,,,,,,


,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,,
,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
City,Fiscal year ends in month of--,Total  ,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total ,Total,Direct current,Capital outlay,Intergovernmental expenditure total,Total ,Total,Direct current,Total capital outlay,Construction only,Intergovernmental expenditure total,City

"Albuquerque, NM",6,"$139,703 ","$139,703 ","$135,791 ","$3,912 ", $-   ,"$94,352 ","$94,352 ","$90,440 ","$3,912 ", $-   ,"$3,876 ","$3,876 ","$3,876 ", $-   , $-   ,"$41,475 ","$41,475 ","$41,475 ", $-   , $-   , $-   ,"Albuquerque, NM"
"Atlanta, GA",12,"$185,964 ","$185,964 ","$180,618 ","$5,346 ", $-   ,"$119,700 ","$119,700 ","$116,010 ","$3,690 ", $-   ,"$33,855 ","$33,855 ","$32,316 ","$1,539 ", $-   ,"$32,409 ","$32,409 ","$32,292 ",$117 , $-   , $-   ,"Atlanta, GA"
"Austin, TX",9,"$180,135 ","$180,135 ","$160,344 ","$19,791 ", $-   ,"$159,441 ","$159,441 ","$139,757 ","$19,684 ", $-   ,"$20,694 ","$20,694 ","$20,587 ",$107 , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,"Austin, TX"
