Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cjee0317.csv,,,,,,,,,,,,,
"table #:  17 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2003",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,,

"Table 17. Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment of 49 large city governments, March 2003",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars.),,,,,,,,,,,,,

,Sworn,,,,,,,Nonsworn,,,,,
,Number of employees,,Fulltime equivalent employment,,,,,,,,,,
City,Total,Fulltime only,Number,Percent of total police protection fulltime equivalent,,March payrolls ,Average earnings of fulltime employee (dollars),Total,Fulltime only ,Number,Percent of total police protection fulltime equivalent,,March payrolls

"Albuquerque, NM",665,665,665,73.3,%,"$2,528 ","$3,801 ",318,174,242,26.7,%,$619 
"Atlanta, GA","1,761","1,685","1,702",79.8,,"$6,591 ","$3,891 ",430,430,430,20.2,,"$1,396 "
"Austin, TX","1,290","1,290","1,290",67.8,,"$7,278 ","$5,642 ",768,581,614,32.2,,"$1,920 "
"Baltimore, MD","3,308","3,308","3,308",80.7,,"$14,983 ","$4,529 ",952,577,791,19.3,,"$2,927 "
"Baton Rouge, LA",919,919,919,70.9,,"$3,203 ","$3,485 ",461,316,378,29.1,,$987 
"Boston, MA","2,124","2,124","2,124",75,,"$10,782 ","$5,076 ",828,615,708,25,,"$2,478 "

"Buffalo, NY",946,946,946,76.2,,"$3,727 ","$3,939 ",409,220,296,23.8,,$971 
"Charlotte, NC","1,427","1,418","1,422",78.2,,"$5,983 ","$4,213 ",471,390,397,21.8,,"$1,592 "
"Chicago, IL","14,297","14,297","14,297",87.1,,"$46,220 ","$3,233 ","2,811","1,658","2,112",12.9,,"$6,006 "
"Cincinnati, OH","1,051","1,051","1,051",78.5,,"$5,077 ","$4,831 ",288,287,288,21.5,,$863 
"Cleveland, OH","1,870","1,870","1,870",78,,"$7,685 ","$4,109 ",852,454,527,22,,"$1,365 "
"Columbus, OH","1,808","1,808","1,808",83.1,,"$8,916 ","$4,931 ",372,362,368,16.9,,"$1,224 "

"Dallas, TX","2,937","2,937","2,937",79.6,,"$15,189 ","$5,172 ",940,561,752,20.4,,"$2,012 "
"Denver, CO","1,460","1,460","1,460",81.5,,"$7,935 ","$5,435 ",332,332,332,18.5,,"$1,224 "
"Detroit, MI","4,001","4,001","4,001",87.2,,"$17,858 ","$4,463 ",587,587,587,12.8,,"$1,891 "
"El Paso, TX","1,126","1,126","1,126",76,,"$4,004 ","$3,556 ",357,353,355,24,,$827 
"Fort Worth, TX","1,307","1,307","1,307",77.2,,"$6,077 ","$4,649 ",443,334,387,22.8,,"$1,038 "
"Honolulu, HI","1,937","1,937","1,937",77.2,,"$8,605 ","$4,443 ",679,543,571,22.8,,"$1,899 "

"Houston, TX","5,386","5,386","5,386",76.5,,"$21,264 ","$3,948 ","1,671","1,623","1,657",23.5,,"$3,754 "
"Indianapolis, IN","1,992","1,974","1,974",60.4,,"$7,827 ","$3,965 ","1,403","1,274","1,292",39.6,,"$2,866 "
"Jacksonville, FL","1,569","1,569","1,569",66.5,,"$6,539 ","$4,168 ",825,536,791,33.5,,"$1,859 "
"Kansas City, MO","1,285","1,285","1,285",65.6,,"$6,001 ","$4,670 ",675,674,675,34.4,,"$2,207 "
"Long Beach, CA",916,911,914,63.8,,"$6,087 ","$6,668 ",563,413,519,36.2,,"$1,858 "
"Los Angeles, CA","9,044","9,044","9,044",75,,"$65,900 ","$7,287 ","3,036","2,996","3,016",25,,"$13,781 "

"Memphis, TN","2,013","2,013","2,013",74.7,,"$7,971 ","$3,960 ",916,519,682,25.3,,"$2,334 "
"Miami, FL","1,143","1,143","1,143",74,,"$6,835 ","$5,980 ",427,345,401,26,,"$1,347 "
"Milwaukee, WI","2,078","2,078","2,078",79.5,,"$9,469 ","$4,557 ",642,505,536,20.5,,"$1,592 "
"Minneapolis, MN",874,874,874,76.5,,"$4,646 ","$5,315 ",268,268,268,23.5,,"$1,029 "
"Nashville, TN","1,321","1,321","1,321",71.9,,"$5,308 ","$4,018 ",650,430,516,28.1,,"$1,490 "
"Newark, NJ","1,538","1,538","1,538",89.5,,"$10,590 ","$6,886 ",368,49,180,10.5,,$428 

"New Orleans, LA","1,652","1,652","1,652",80.2,,"$3,286 ","$1,989 ",540,387,407,19.8,,$900 
"New York, NY","49,249","42,687","46,498",92.3,,"$314,953 ","$6,988 ","4,113","3,562","3,891",7.7,,"$26,323 "
"Oakland, CA",761,761,761,59.5,,"$5,761 ","$7,570 ",518,518,518,40.5,,"$2,885 "
"Oklahoma City, OK","1,038","1,038","1,038",79.7,,"$5,236 ","$5,044 ",353,246,265,20.3,,$835 
"Omaha, NE",719,705,712,80.7,,"$2,999 ","$4,226 ",174,165,170,19.3,,$554 
"Philadelphia, PA","6,988","6,988","6,988",85.5,,"$36,078 ","$5,163 ","1,917",931,"1,182",14.5,,"$4,091 "

"Phoenix, AZ","2,851","2,847","2,849",76.5,,"$15,280 ","$5,365 ",910,828,877,23.5,,"$3,646 "
"Pittsburgh, PA","1,071","1,071","1,071",82.3,,"$4,739 ","$4,425 ",279,72,230,17.7,,$481 
"Portland, OR",972,971,971,72.2,,"$5,272 ","$5,429 ",376,371,373,27.8,,"$1,539 "
"St.Louis, MO","1,503","1,503","1,503",72.9,,"$5,977 ","$3,977 ",564,557,559,27.1,,"$1,935 "
"San Antonio, TX","1,994","1,994","1,994",74.6,,"$9,646 ","$4,838 ",818,577,680,25.4,,"$1,523 "
"San Diego, CA","2,073","2,073","2,073",74.8,,"$12,051 ","$5,813 ",767,653,700,25.2,,"$2,990 "

"San Francisco, CA","2,242","2,242","2,242",84.2,,"$17,314 ","$7,723 ",422,422,422,15.8,,"$2,221 "
"San Jose, CA","1,414","1,414","1,414",75.8,,"$11,753 ","$8,312 ",586,395,452,24.2,,"$2,382 "
"Seattle, WA","1,295","1,295","1,295",70.3,,"$7,820 ","$6,039 ",626,508,548,29.7,,"$2,146 "
"Toledo, OH",694,694,694,84.6,,"$3,355 ","$4,834 ",126,126,126,15.4,,$382 
"Tucson, AZ",971,971,971,75.1,,"$4,955 ","$5,103 ",323,318,322,24.9,,"$1,105 "
"Tulsa, OK",782,782,782,82.1,,"$3,416 ","$4,368 ",217,150,171,17.9,,$434 
"Washington, DC","3,592","3,591","3,592",82.9,,"$21,731 ","$6,051 ",806,672,739,17.1,,"$3,122 "

Note:  Payroll data shown here may not sum to equal police protection March payroll data in table 16 due to rounding. Jurisdictions without data did not report for 2003.,,,,,,,,,,,,,
