Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0316.csv,,,,,,,,,,,,,,,,,,,,,
"table #:  16 Justice system employment and payrolls of 49 large city governments by activity, March 2003",,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,,,,,,,,,,

"Table 16. Justice system employment and payrolls of 49 large city governments by activity, March 2003",,,,,,,,,,,,,,,,,,,,,
(Payroll amounts in thousands of dollars.),,,,,,,,,,,,,,,,,,,,,

,,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
,Total justice system employment,,,,,Employment,,,,,Employment,,,,,Employment,,,,,
City,Total justice system employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees(dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees(dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees(dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees(dollars),City

"Albuquerque, NM","1,462","1,318","1,386","$4,815 ","$3,550 ",983,839,907,"$3,147 ","$3,588 ",28,28,28,$126 ,"$4,489 ",451,451,451,"$1,543 ","$3,421 ","Albuquerque, NM"
"Atlanta, GA","3,107","2,992","3,030","$11,076 ","$3,659 ","2,191","2,115","2,132","$7,987 ","$3,760 ",498,459,480,"$1,698 ","$3,494 ",418,418,418,"$1,391 ","$3,327 ","Atlanta, GA"
"Austin, TX","2,310","2,104","2,142","$10,069 ","$4,752 ","2,058","1,871","1,904","$9,198 ","$4,889 ",252,233,238,$870 ,"$3,658 ",0,0,0, $-   , $-   ,"Austin, TX"
"Baltimore, MD","5,054","4,679","4,893","$20,913 ","$4,409 ","4,260","3,885","4,099","$17,911 ","$4,537 ",794,794,794,"$3,003 ","$3,782 ",0,0,0, $-   , $-   ,"Baltimore, MD"
"Baton Rouge, LA","2,488","2,122","2,246","$6,748 ","$3,086 ","1,380","1,235","1,297","$4,190 ","$3,328 ",642,498,543,"$1,439 ","$2,710 ",466,389,406,"$1,119 ","$2,797 ","Baton Rouge, LA"
"Boston, MA","4,059","3,846","3,939","$18,048 ","$4,647 ","2,952","2,739","2,832","$13,261 ","$4,778 ",45,45,45,$206 ,"$4,581 ","1,062","1,062","1,062","$4,581 ","$4,314 ","Boston, MA"

"Buffalo, NY","1,397","1,204","1,281","$4,855 ","$3,944 ","1,355","1,166","1,242","$4,698 ","$3,939 ",42,38,39,$157 ,"$4,097 ",0,0,0, $-   , $-   ,"Buffalo, NY"
"Charlotte, NC","1,920","1,830","1,841","$7,687 ","$4,156 ","1,898","1,808","1,819","$7,575 ","$4,145 ",22,22,22,$112 ,"$5,105 ",0,0,0, $-   , $-   ,"Charlotte, NC"
"Chicago, IL","17,564","16,411","16,865","$54,649 ","$3,277 ","17,108","15,955","16,409","$52,226 ","$3,219 ",456,456,456,"$2,423 ","$5,314 ",0,0,0, $-   , $-   ,"Chicago, IL"
"Cincinnati, OH","1,420","1,417","1,419","$6,611 ","$4,662 ","1,339","1,338","1,339","$5,940 ","$4,439 ",81,79,80,$671 ,"$8,447 ",0,0,0, $-   , $-   ,"Cincinnati, OH"
