Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0312.csv,,,,,,,,,,,,,,,,,,,,,,,
"table #:  12 Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2003",,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,,,,,,,,,,,,

"Table 12.   Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2003",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,

,,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,Direct expenditure,,,,,
County,Fiscal year ends in month of --,Total,Total,Direct current,Capital outlay,Intergovenrmental expenditure Total,Total,Total,Direct current,Capital outlay,Intergovenrmental expenditure Total,Total,Total,Direct current,Capital outlay,Intergovenrmental expenditure Total,Total,Total,Direct current,Total,Constrcution only ,Intergovenrmental expenditure Total,County

"Alameda, CA",6,"$469,691 ","$469,691 ","$468,653 ","$1,038 ", $-   ,"$77,973 ","$77,973 ","$77,152 ",$821 , $-   ,"$206,029 ","$206,029 ","$205,934 ",$95 , $-   ,"$185,689 ","$185,689 ","$185,567 ",$122 , $-   , $-   ,"Alameda, CA"
"Allegheny, PA",12,"$190,884 ","$190,884 ","$190,162 ",$722 , $-   ,"$39,298 ","$39,298 ","$39,171 ",$127 , $-   ,"$87,997 ","$87,997 ","$87,531 ",$466 , $-   ,"$63,589 ","$63,589 ","$63,460 ",$129 , $-   , $-   ,"Allegheny, PA"
"Baltimore, MD",6,"$174,221 ","$174,221 ","$159,576 ","$14,645 ", $-   ,"$135,788 ","$135,788 ","$131,525 ","$4,263 ", $-   ,"$13,961 ","$13,961 ","$13,908 ",$53 , $-   ,"$24,472 ","$24,472 ","$14,143 ","$10,329 ","$10,295 ", $-   ,"Baltimore, MD"
"Bergen, NJ",6,"$86,046 ","$86,046 ","$78,896 ","$7,150 ", $-   ,"$16,221 ","$16,221 ","$14,821 ","$1,400 ", $-   ,"$36,016 ","$36,016 ","$33,566 ","$2,450 ", $-   ,"$33,809 ","$33,809 ","$30,509 ","$3,300 ","$3,000 ", $-   ,"Bergen, NJ"
"Bexar, TX",9,"$164,785 ","$164,785 ","$164,758 ",$27 , $-   ,"$30,601 ","$30,601 ","$30,596 ",$5 , $-   ,"$57,601 ","$57,601 ","$57,590 ",$11 , $-   ,"$76,583 ","$76,583 ","$76,572 ",$11 , $-   , $-   ,"Bexar, TX"
"Broward, FL",9,"$489,686 ","$485,908 ","$467,841 ","$18,067 ","$3,778 ","$249,943 ","$249,943 ","$234,423 ","$15,520 ", $-   ,"$67,618 ","$67,618 ","$66,512 ","$1,106 ", $-   ,"$172,125 ","$168,347 ","$166,906 ","$1,441 ", $-   ,"$3,778 ","Broward, FL"
"Clark, NV",6,"$649,431 ","$649,431 ","$607,700 ","$41,731 ", $-   ,"$352,198 ","$352,198 ","$334,288 ","$17,910 ", $-   ,"$138,263 ","$138,263 ","$119,266 ","$18,997 ", $-   ,"$158,970 ","$158,970 ","$154,146 ","$4,824 ","$2,526 ", $-   ,"Clark, NV"

"Contra Costa, CA",6,"$276,288 ","$276,288 ","$270,564 ","$5,724 ", $-   ,"$82,606 ","$82,606 ","$79,030 ","$3,576 ", $-   ,"$94,331 ","$94,331 ","$92,527 ","$1,804 ", $-   ,"$99,351 ","$99,351 ","$99,007 ",$344 ,$220 , $-   ,"Contra Costa, CA"
"Cook, IL",11,"$969,367 ","$969,367 ","$956,241 ","$13,126 ", $-   ,"$91,254 ","$91,254 ","$91,254 ", $-   , $-   ,"$505,489 ","$505,489 ","$493,048 ","$12,441 ", $-   ,"$372,624 ","$372,624 ","$371,939 ",$685 ,$685 , $-   ,"Cook, IL"
"Cuyahoga, OH",12,"$299,021 ","$296,194 ","$294,197 ","$1,997 ","$2,827 ","$23,326 ","$23,326 ","$23,259 ",$67 , $-   ,"$185,606 ","$183,530 ","$181,652 ","$1,878 ","$2,076 ","$90,089 ","$89,338 ","$89,286 ",$52 ,$13 ,$751 ,"Cuyahoga, OH"
"Dade, FL",9,"$721,360 ","$721,342 ","$682,130 ","$39,212 ",$18 ,"$382,401 ","$382,401 ","$369,167 ","$13,234 ", $-   ,"$159,915 ","$159,897 ","$139,001 ","$20,896 ",$18 ,"$179,044 ","$179,044 ","$173,962 ","$5,082 ","$2,023 ", $-   ,"Dade, FL"
"Dallas, TX",9,"$235,135 ","$235,135 ","$233,860 ","$1,275 ", $-   ,"$24,796 ","$24,796 ","$24,239 ",$557 , $-   ,"$77,784 ","$77,784 ","$77,747 ",$37 , $-   ,"$132,555 ","$132,555 ","$131,874 ",$681 , $-   , $-   ,"Dallas, TX"
"Dekalb, GA",12,"$172,313 ","$172,313 ","$167,494 ","$4,819 ", $-   ,"$90,298 ","$90,298 ","$86,568 ","$3,730 ", $-   ,"$43,662 ","$43,662 ","$43,031 ",$631 , $-   ,"$38,353 ","$38,353 ","$37,895 ",$458 ,$395 , $-   ,"Dekalb, GA"
"Delaware, PA",12,"$74,474 ","$74,474 ","$74,474 ", $-   , $-   ,"$3,903 ","$3,903 ","$3,903 ", $-   , $-   ,"$35,320 ","$35,320 ","$35,320 ", $-   , $-   ,"$35,251 ","$35,251 ","$35,251 ", $-   , $-   , $-   ,"Delaware, PA"

"Du Page, IL",11,"$76,727 ","$76,727 ","$75,174 ","$1,553 ", $-   ,"$22,537 ","$22,537 ","$21,914 ",$623 , $-   ,"$24,022 ","$24,022 ","$24,022 ", $-   , $-   ,"$30,168 ","$30,168 ","$29,238 ",$930 ,$930 , $-   ,"Du Page, IL"
"Erie, NY",12,"$129,739 ","$127,581 ","$125,473 ","$2,108 ","$2,158 ","$37,066 ","$37,066 ","$35,148 ","$1,918 ", $-   ,"$20,940 ","$20,940 ","$20,901 ",$39 , $-   ,"$71,733 ","$69,575 ","$69,424 ",$151 , $-   ,"$2,158 ","Erie, NY"
"Essex, NJ",6,"$137,911 ","$137,911 ","$137,911 ", $-   , $-   ,"$35,531 ","$35,531 ","$35,531 ", $-   , $-   ,"$32,150 ","$32,150 ","$32,150 ", $-   , $-   ,"$70,230 ","$70,230 ","$70,230 ", $-   , $-   , $-   ,"Essex, NJ"
"Fairfax, VA",6,"$222,547 ","$222,547 ","$222,135 ",$412 , $-   ,"$154,754 ","$154,754 ","$154,754 ", $-   , $-   ,"$35,957 ","$35,957 ","$35,545 ",$412 , $-   ,"$31,836 ","$31,836 ","$31,836 ", $-   , $-   , $-   ,"Fairfax, VA"
