Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cjee0307.csv,,,,,,,,,,,,,
"table #:  7 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2003",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,,

"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2003",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,

,,Sworn,,,,,,Nonsworn,,,,,
,,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment,,,
State and type of government,Total police protection full-time equivalent employment,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls,Total,Full-time only,Number,Percent of total police protetion full-time equivalent,,March payrolls

"States-local, total","894,956","689,377","649,598","665,826",74.4,%,"$3,056,535 ","272,952","204,433","229,130",25.6,%,"$728,103 "
State,"104,127","63,499","62,801","62,934",60.4,,"$294,371 ","42,434","40,351","41,193",39.6,,"$143,703 "
"Local, total","790,829","625,878","586,797","602,892",76.2,,"$2,762,165 ","230,518","164,082","187,937",23.8,,"$584,400 "
Counties,"229,100","164,825","157,895","160,374",70,,"$656,013 ","77,514","63,382","68,726",30,,"$214,984 "
Municipalities,"561,729","461,053","428,902","442,518",78.8,,"$2,106,151 ","153,004","100,700","119,211",21.2,,"$369,416 "

Alabama,"13,279","10,153","9,732","9,944",74.9,,"$31,533 ","3,713","3,020","3,335",25.1,,"$7,661 "
State,"1,199",614,614,614,51.2,,"$2,613 ",585,585,585,48.8,,"$1,636 "
"Local, total","12,080","9,539","9,118","9,330",77.2,,"$28,919 ","3,128","2,435","2,750",22.8,,"$6,025 "
Counties,"2,701","2,155","2,118","2,145",79.4,,"$6,556 ",614,514,556,20.6,,"$1,186 "
Municipalities,"9,379","7,384","7,000","7,185",76.6,,"$22,363 ","2,514","1,921","2,194",23.4,,"$4,839 "

Alaska,"2,046","1,290","1,240","1,280",62.6,,"$6,670 ",896,737,766,37.4,,"$2,648 "
State,460,255,255,255,55.4,,"$1,508 ",265,195,205,44.6,,$665 
"Local, total","1,586","1,035",985,"1,025",64.6,,"$5,162 ",631,542,561,35.4,,"$1,983 "
Boroughs,405,208,208,208,51.4,,$903 ,197,197,197,48.6,,$556 
Municipalities,"1,181",827,777,817,69.2,,"$4,259 ",434,345,364,30.8,,"$1,427 "

Arizona,"17,497","12,923","12,844","12,862",73.5,,"$56,632 ","4,790","4,460","4,635",26.5,,"$16,397 "
State,"2,012","1,122","1,122","1,122",55.8,,"$4,442 ",890,889,890,44.2,,"$3,270 "
"Local, total","15,485","11,801","11,722","11,740",75.8,,"$52,190 ","3,900","3,571","3,745",24.2,,"$13,127 "
Counties,"4,253","3,730","3,658","3,673",86.4,,"$12,501 ",595,558,580,13.6,,"$1,611 "
Municipalities,"11,232","8,071","8,064","8,067",71.8,,"$39,688 ","3,305","3,013","3,165",28.2,,"$11,516 "

Arkansas,"7,960","6,487","5,792","6,051",76,,"$16,648 ","2,280","1,837","1,909",24,,"$4,128 "
State,"1,057",517,517,517,48.9,,"$1,698 ",541,537,540,51.1,,"$1,371 "
"Local, total","6,903","5,970","5,275","5,534",80.2,,"$14,950 ","1,739","1,300","1,369",19.8,,"$2,757 "
Counties,"1,960","1,647","1,501","1,535",78.3,,"$3,579 ",587,393,425,21.7,,$733 
Municipalities,"4,943","4,323","3,774","3,999",80.9,,"$11,371 ","1,152",907,944,19.1,,"$2,023 "

California,"101,739","69,478","67,326","67,789",66.6,,"$434,446 ","37,391","30,966","33,950",33.4,,"$137,824 "
State,"13,459","8,467","7,924","7,987",59.3,,"$50,591 ","5,982","5,231","5,472",40.7,,"$20,482 "
"Local, total","88,280","61,011","59,402","59,802",67.7,,"$383,854 ","31,409","25,735","28,478",32.3,,"$117,342 "
Counties,"31,635","21,751","20,441","20,789",65.7,,"$118,808 ","11,127","10,622","10,846",34.3,,"$46,246 "
Municipalities,"56,645","39,260","38,961","39,013",68.9,,"$265,046 ","20,282","15,113","17,632",31.1,,"$71,096 "

Colorado,"13,294","9,755","9,509","9,652",72.6,,"$47,171 ","3,906","3,509","3,642",27.4,,"$12,874 "
State,"1,187",767,760,764,64.4,,"$4,444 ",424,423,423,35.6,,"$1,784 "
