Bureau of Justice Statistics,,,,,,,,,,,
Filename:  jeeus0907.csv,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2009 (final)",,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,
,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by state and type of government, March 2009 (revised)",,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,
,,,,,,,,,,,
,,Sworn,,,,,Nonsworn,,,,
,,,,,,,,,,,
,,Number of,,Full-time equivalent,,,Number of,,Full-time equivalent,,
,,employees,,employment,,,employees,,employment,,
,,,,,,,,,,,
,Total police,,,,Percent of,,,,,Percent of,
,protection,,,,total police,,,,,total police,
,full-time,,,,protection,,,,,protection,
State and type,equivalent,,Full-time,,full-time,March,,Full-time,,full-time,March
of government,employment,Total,only,Number,equivalent,payrolls,Total,only,Number,equivalent,payrolls
,,,,,,,,,,,
"States-local, total",893451,673031,652184,662830,74.2,3612700,277715,209353,230621,25.8,872971
State,106267,68014,67439,67613,63.6,395541,39819,37521,38654,36.4,148144
"Local, total",787184,605017,584745,595217,75.6,3217159,237896,171832,191967,24.4,724828
Counties,267117,188335,180712,184421,69,949840,93232,76278,82696,31,317004
Municipalities,520067,416682,404033,410796,79,2267319,144664,95554,109271,21,407824
,,,,,,,,,,,
Alabama,13623,10306,10082,10232,75.1,38830,4024,3015,3391,24.9,9255
State,1693,858,858,858,50.7,3954,835,835,835,49.3,2552
"Local, total",11930,9448,9224,9374,78.6,34876,3189,2180,2556,21.4,6703
Counties,3580,2886,2738,2818,78.7,10350,894,662,762,21.3,2003
Municipalities,8350,6562,6486,6556,78.5,24526,2295,1518,1794,21.5,4700
,,,,,,,,,,,
Alaska,1681,1049,1017,1041,61.9,7185,725,617,640,38.1,2961
State,459,259,259,259,56.4,1895,257,190,200,43.6,753
"Local, total",1222,790,758,782,64,5290,468,427,440,36,2208
Boroughs,63,55,49,51,81,317,12,12,12,19,62
Municipalities,1159,735,709,731,63.1,4973,456,415,428,36.9,2146
,,,,,,,,,,,
Arizona,20919,15452,15397,15420,73.7,83756,5749,5347,5499,26.3,23723
State,2146,1246,1246,1246,58.1,7409,914,888,900,41.9,4124
"Local, total",18773,14206,14151,14174,75.5,76347,4835,4459,4599,24.5,19599
Counties,5901,5192,5150,5162,87.5,22693,750,719,739,12.5,2617
Municipalities,12872,9014,9001,9012,70,53654,4085,3740,3860,30,16982
,,,,,,,,,,,
Arkansas,8661,6573,6333,6438,74.3,21058,2456,2107,2223,25.7,5860
State,1236,562,562,562,45.5,2357,683,667,674,54.5,2054
"Local, total",7425,6011,5771,5876,79.1,18701,1773,1440,1549,20.9,3806
Counties,2240,1892,1720,1774,79.2,4434,564,416,466,20.8,1005
Municipalities,5185,4119,4051,4102,79.1,14267,1209,1024,1083,20.9,2801
,,,,,,,,,,,
California,102865,74042,71723,72917,70.9,588148,32633,27897,29948,29.1,154817
State,12094,7795,7795,7795,64.5,61040,4330,4265,4299,35.5,16600
"Local, total",90771,66247,63928,65122,71.7,527107,28303,23632,25649,28.3,138217
Counties,39428,28537,27367,27948,70.9,202883,11906,11145,11480,29.1,63589
Municipalities,51343,37710,36561,37174,72.4,324224,16397,12487,14169,27.6,74628
,,,,,,,,,,,
Colorado,14601,10682,10651,10668,73.1,62102,4246,3747,3933,26.9,15826
State,1264,868,868,868,68.7,5096,410,386,396,31.3,1504
"Local, total",13337,9814,9783,9800,73.5,57005,3836,3361,3537,26.5,14322
Counties,4463,3366,3349,3357,75.2,17455,1202,1058,1106,24.8,4662
Municipalities,8874,6448,6434,6443,72.6,39550,2634,2303,2431,27.4,9660
,,,,,,,,,,,
Connecticut,7474,5670,5633,5665,75.8,34553,2339,1533,1809,24.2,8071
State,2081,1465,1464,1465,70.4,8149,642,600,616,29.6,3278
"Local, total",5393,4205,4169,4200,77.9,26404,1697,933,1193,22.1,4793
Municipalities,5393,4205,4169,4200,77.9,26404,1697,933,1193,22.1,4793
,,,,,,,,,,,
Delaware,2620,2026,2019,2016,76.9,12131,684,500,604,23.1,2021
State,1022,711,711,711,69.6,4844,315,304,311,30.4,1188
"Local, total",1598,1315,1308,1305,81.7,7287,369,196,293,18.3,833
Counties,548,420,420,418,76.3,2628,188,42,130,23.7,385
Municipalities,1050,895,888,887,84.5,4658,181,154,163,15.5,448
,,,,,,,,,,,
District of Columbia,4677,4065,4065,4065,86.9,24775,697,564,612,13.1,2463
"Local, total",4677,4065,4065,4065,86.9,24775,697,564,612,13.1,2463
Municipality,4677,4065,4065,4065,86.9,24775,697,564,612,13.1,2463
,,,,,,,,,,,
Florida,64396,40365,39950,40116,62.3,230194,27041,22285,24280,37.7,89368
State,4356,2321,2272,2281,52.4,9886,2112,2013,2075,47.6,6877
"Local, total",60040,38044,37678,37835,63,220308,24929,20272,22205,37,82490
Counties,36426,21158,21022,21068,57.8,121293,17288,14042,15358,42.2,56657
Municipalities,23614,16886,16656,16767,71,99014,7641,6230,6847,29,25834
,,,,,,,,,,,
Georgia,25859,20102,19868,20049,77.5,74432,6548,5351,5810,22.5,17562
State,2077,1103,1102,1103,53.1,4685,989,952,974,46.9,3356
"Local, total",23782,18999,18766,18946,79.7,69748,5559,4399,4836,20.3,14206
Counties,12165,9819,9653,9767,80.3,36299,2736,2153,2398,19.7,6854
Municipalities,11617,9180,9113,9179,79,33449,2823,2246,2438,21,7352
,,,,,,,,,,,
Hawaii,3933,3088,3058,3065,77.9,18334,979,819,868,22.1,3455
State,0,0,0,0,0,0,0,0,0,0,0
"Local, total",3933,3088,3058,3065,77.9,18334,979,819,868,22.1,3455
Counties,1271,1013,983,990,77.9,6362,319,269,281,22.1,1198
Municipalities,2662,2075,2075,2075,77.9,11972,660,550,587,22.1,2257
,,,,,,,,,,,
Idaho,4399,3005,2941,2965,67.4,13611,1560,1363,1434,32.6,4456
State,504,270,270,270,53.6,1382,242,218,234,46.4,876
"Local, total",3895,2735,2671,2695,69.2,12230,1318,1145,1200,30.8,3580
Counties,1780,1110,1066,1082,60.8,4328,763,664,698,39.2,2067
Municipalities,2115,1625,1605,1613,76.3,7902,555,481,502,23.7,1513
,,,,,,,,,,,
Illinois,45923,37203,36282,37109,80.8,170094,14354,7528,8814,19.2,34344
State,3791,2254,2254,2254,59.5,14865,1544,1532,1537,40.5,7916
"Local, total",42132,34949,34028,34855,82.7,155229,12810,5996,7277,17.3,26428
Counties,5461,4018,3756,3905,71.5,19041,1833,1446,1556,28.5,6161
Municipalities,36671,30931,30272,30950,84.4,136188,10977,4550,5721,15.6,20266
,,,,,,,,,,,
Indiana,17604,13096,12904,13033,74,53222,5919,4096,4571,26,12952
