Bureau of Justice Statistics,,,,,,,,,
Filename:  jeeus0906.csv,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by state and type of government, March 2009 (final)",,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version:  ,,,,,,,,,
,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by state and type of government, March 2009 (revised)",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
,,Total justice system,,Police protection,,Judicial and Legal,,Corrections,
,,,,,,,,,
,Total,,Percent of,,Percent of,,Percent of,,Percent of
State and type,March,March,total March,March,total March,March,total March,March,total March
of government,payrolls/a,payrolls,payrolls/b,payrolls,payrolls/b,payrolls,payrolls/b,payrolls,payrolls/b
,,,,,,,,,
"States-local, total",70250210,9694179,13.8,4485672,46.3,2061988,21.3,3146520,32.5
State,19424841,3395586,17.5,543685,16,875235,25.8,1976666,58.2
"Local, total",50825369,6298594,12.4,3941987,62.6,1186753,18.8,1169854,18.6
Counties,12743133,3189760,25,1266844,39.7,935439,29.3,987477,31
Municipalities,14754902,3108834,21.1,2675143,86,251314,8.1,182377,5.9
,,,,,,,,,
Alabama,987634,92614,9.4,48084,51.9,15962,17.2,28567,30.8
State,353235,34687,9.8,6505,18.8,10841,31.3,17341,50
"Local, total",634399,57927,9.1,41579,71.8,5121,8.8,11226,19.4
Counties,81694,25586,31.3,12353,48.3,2891,11.3,10342,40.4
Municipalities,146842,32341,22,29226,90.4,2231,6.9,884,2.7
,,,,,,,,,
Alaska,262899,29253,11.1,10147,34.7,8326,28.5,10780,36.9
State,129449,20811,16.1,2649,12.7,7626,36.6,10536,50.6
"Local, total",133450,8441,6.3,7498,88.8,699,8.3,244,2.9
Boroughs,44847,644,1.4,379,58.8,223,34.6,42,6.5
Municipalities,79298,7797,9.8,7119,91.3,476,6.1,202,2.6
,,,,,,,,,
Arizona,1184120,219297,18.5,107479,49,48907,22.3,62911,28.7
State,278908,60549,21.7,11534,19,8930,14.7,40085,66.2
"Local, total",905212,158748,17.5,95946,60.4,39977,25.2,22826,14.4
Counties,145012,78520,54.1,25309,32.2,30662,39,22549,28.7
Municipalities,250927,80228,32,70637,88,9315,11.6,276,0.3
,,,,,,,,,
Arkansas,551363,56153,10.2,26918,47.9,9273,16.5,19962,35.5
State,219299,23705,10.8,4411,18.6,4850,20.5,14445,60.9
"Local, total",332064,32447,9.8,22507,69.4,4423,13.6,5517,17
Counties,48361,13417,27.7,5439,40.5,2575,19.2,5404,40.3
Municipalities,99904,19030,19,17068,89.7,1848,9.7,113,0.6
,,,,,,,,,
California,9768933,1693875,17.3,742964,43.9,357689,21.1,593222,35
State,2249832,509237,22.6,77640,15.2,41187,8.1,390409,76.7
"Local, total",7519101,1184638,15.8,665324,56.2,316501,26.7,202813,17.1
Counties,2309256,744950,32.3,266472,35.8,287102,38.5,191375,25.7
Municipalities,1585059,439689,27.7,398852,90.7,29399,6.7,11438,2.6
,,,,,,,,,
Colorado,1166686,161982,13.9,77928,48.1,34023,21,50031,30.9
State,344631,58437,17,6601,11.3,19835,33.9,32001,54.8
"Local, total",822055,103546,12.6,71327,68.9,14188,13.7,18030,17.4
Counties,122378,40446,33,22117,54.7,6632,16.4,11697,28.9
Municipalities,228174,63100,27.7,49210,78,7557,12,6333,10
,,,,,,,,,
Connecticut,974856,119293,12.2,42624,35.7,28806,24.1,47864,40.1
State,371750,87151,23.4,11427,13.1,27861,32,47863,54.9
"Local, total",603105,32142,5.3,31196,97.1,944,2.9,1,0
Municipalities,279717,32142,11.5,31196,97.1,944,2.9,1,0
,,,,,,,,,
Delaware,207716,33229,16,14152,42.6,7971,24,11106,33.4
State,110567,24743,22.4,6032,24.4,7606,30.7,11105,44.9
"Local, total",97149,8486,8.7,8120,95.7,365,4.3,1,0
Counties,16434,3344,20.3,3013,90.1,330,9.9,0,0
Municipalities,17236,5142,29.8,5107,99.3,34,0.7,1,0
,,,,,,,,,
District of Columbia,256499,44042,17.2,27238,61.8,12032,27.3,4771,10.8
"Local, total",256499,44042,17.2,27238,61.8,12032,27.3,4771,10.8
Municipality,166681,44042,26.4,27238,61.8,12032,27.3,4771,10.8
,,,,,,,,,
Florida,3494979,625485,17.9,319561,51.1,133689,21.4,172234,27.5
State,709474,185631,26.2,16764,9,77167,41.6,91700,49.4
"Local, total",2785505,439854,15.8,302798,68.8,56522,12.9,80535,18.3
Counties,845545,307813,36.4,177950,57.8,52635,17.1,77228,25.1
Municipalities,404046,132041,32.7,124848,94.6,3886,2.9,3306,2.5
,,,,,,,,,
Georgia,1800817,237208,13.2,91994,38.8,58411,24.6,86804,36.6
State,466076,74510,16,8040,10.8,16156,21.7,50314,67.5
"Local, total",1334741,162698,12.2,83954,51.6,42255,26,36490,22.4
Counties,254114,111964,44.1,43153,38.5,37316,33.3,31495,28.1
Municipalities,163365,50735,31.1,40801,80.4,4939,9.7,4995,9.8
,,,,,,,,,
Hawaii,328759,47303,14.4,21788,46.1,14530,30.7,10985,23.2
State,253441,22506,8.9,0,0,11522,51.2,10985,48.8
"Local, total",75318,24797,32.9,21788,87.9,3008,12.1,0,0
Counties,28525,8950,31.4,7559,84.5,1391,15.5,0,0
Municipalities,46310,15846,34.2,14229,89.8,1618,10.2,0,0
,,,,,,,,,
Idaho,274662,39922,14.5,18067,45.3,8905,22.3,12950,32.4
State,92183,13452,14.6,2257,16.8,3390,25.2,7805,58
"Local, total",182479,26470,14.5,15810,59.7,5515,20.8,5145,19.4
Counties,38476,16460,42.8,6395,38.9,4920,29.9,5145,31.3
Municipalities,40112,10010,25,9415,94.1,595,5.9,0,0
,,,,,,,,,
Illinois,2930262,394116,13.4,204439,51.9,81242,20.6,108435,27.5
State,634744,106275,16.7,22782,21.4,21459,20.2,62034,58.4
"Local, total",2295519,287841,12.5,181657,63.1,59783,20.8,46402,16.1
Counties,306429,126516,41.3,25202,19.9,54912,43.4,46402,36.7
Municipalities,610983,161325,26.4,156455,97,4870,3,0,0
,,,,,,,,,
Indiana,1235661,134337,10.9,66174,49.3,29386,21.9,38777,28.9
State,357158,42224,11.8,8624,20.4,9464,22.4,24137,57.2
"Local, total",878503,92112,10.5,57551,62.5,19922,21.6,14640,15.9
Counties,226013,41723,18.5,14322,34.3,13952,33.4,13450,32.2
Municipalities,235898,50389,21.4,43229,85.8,5970,11.8,1190,2.4
,,,,,,,,,
