Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee16t15.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2016",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2016",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars.),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
City,Fiscal year ends in month of,Total justice system total expenditure ,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure ,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure ,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections total capital outlay ,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Albuquerque, NM",6,"168,310","168,310","168,310",-,-,"163,143","163,143","163,143",-,-,"5,167","5,167","5,167",-,-,-,-,-,-,-,-
"Anaheim, CA",6,"144,256","144,256","143,162","1,094",-,"136,510","136,510","135,532",978,-,"7,746","7,746","7,630",116,-,-,-,-,-,-,-
"Arlington, TX",9,"100,535","100,535","100,535",-,-,"92,524","92,524","92,524",-,-,"8,011","8,011","8,011",-,-,-,-,-,-,-,-
"Atlanta, GA",6,"246,764","246,764","245,304","1,460",-,"184,108","184,108","182,670","1,438",-,"29,375","29,375","29,353",22,-,"33,281","33,281","33,281",-,-,-
"Aurora, CO",12,"131,080","131,080","109,228","21,852",-,"121,293","121,293","99,441","21,852",-,"9,787","9,787","9,787",-,-,-,-,-,-,-,-
"Austin, TX",9,"359,076","359,076","357,840","1,236",-,"323,735","323,735","322,517","1,218",-,"35,341","35,341","35,323",18,-,-,-,-,-,-,-
"Bakersfield, CA",6,"85,516","85,516","85,351",165,-,"85,516","85,516","85,351",165,-,-,-,-,-,-,-,-,-,-,-,-
"Baltimore, MD",6,"544,659","544,659","544,659",-,-,"493,182","493,182","493,182",-,-,"51,477","51,477","51,477",-,-,-,-,-,-,-,-
"Baton Rouge, LA",12,"265,224","249,218","245,642","3,576","16,006","147,075","147,075","145,043","2,032",-,"61,093","45,087","44,731",356,"16,006","57,056","57,056","55,868","1,188","1,188",-
"Boston, MA",6,"380,538","380,538","374,675","5,863",-,"374,745","374,745","368,887","5,858",-,"5,793","5,793","5,788",5,-,-,-,-,-,-,-
"Buffalo, NY",6,"90,634","90,634","88,573","2,061",-,"86,847","86,847","84,786","2,061",-,"3,787","3,787","3,787",-,-,-,-,-,-,-,-
"Charlotte, NC",6,"253,933","253,501","243,671","9,830",432,"251,132","250,700","240,870","9,830",432,"2,801","2,801","2,801",-,-,-,-,-,-,-,-
"Chicago, IL",12,"1,427,959","1,427,959","1,414,220","13,739",-,"1,397,790","1,397,790","1,384,051","13,739",-,"30,169","30,169","30,169",-,-,-,-,-,-,-,-
"Cleveland, OH",6,"237,992","237,731","237,334",397,261,"183,239","183,239","182,842",397,-,"42,775","42,775","42,775",-,-,"11,978","11,717","11,717",-,-,261
"Cincinnati, OH",12,"154,312","154,312","153,410",902,-,"148,622","148,622","147,720",902,-,"5,690","5,690","5,690",-,-,-,-,-,-,-,-
"Colorado Springs, CO",12,"105,269","105,269","104,841",428,-,"96,343","96,343","95,915",428,-,"8,926","8,926","8,926",-,-,-,-,-,-,-,-
"Columbus, OH",12,"365,146","363,786","359,387","4,399","1,360","317,718","317,718","313,385","4,333",-,"42,816","42,816","42,750",66,-,"4,612","3,252","3,252",-,-,"1,360"
"Corpus Christi, TX",9,"91,603","91,569","91,032",537,34,"83,495","83,470","82,933",537,25,"6,590","6,581","6,581",-,9,"1,518","1,518","1,518",-,-,-
"Dallas, TX",9,"426,633","418,650","409,071","9,579","7,983","387,960","387,960","379,850","8,110",-,"29,438","29,438","27,969","1,469",-,"9,235","1,252","1,252",-,-,"7,983"
"Denver, CO",12,"401,071","401,071","400,980",91,-,"231,281","231,281","231,240",41,-,"74,687","74,687","74,687",-,-,"95,103","95,103","95,053",50,-,-
"Detroit, MI",6,"312,552","312,552","305,793","6,759",-,"268,090","268,090","263,286","4,804",-,"44,462","44,462","42,507","1,955",-,-,-,-,-,-,-
"El Paso, TX",8,"137,617","137,617","136,836",781,-,"129,964","129,964","129,964",-,-,"7,653","7,653","6,872",781,-,-,-,-,-,-,-
"Fort Worth, TX",9,"288,458","288,458","280,249","8,209",-,"265,845","265,845","257,636","8,209",-,"22,613","22,613","22,613",-,-,-,-,-,-,-,-
"Fresno, CA",6,"152,808","152,344","147,127","5,217",464,"148,225","148,225","143,008","5,217",-,"4,583","4,119","4,119",-,464,-,-,-,-,-,-
"Honolulu, HI",6,"303,982","303,982","290,283","13,699",-,"275,458","275,458","261,953","13,505",-,"28,524","28,524","28,330",194,-,-,-,-,-,-,-
"Houston, TX",6,"735,910","735,910","718,650","17,260",-,"682,613","682,613","665,613","17,000",-,"53,297","53,297","53,037",260,-,-,-,-,-,-,-
"Indianapolis, IN",12,"421,018","421,018","413,598","7,420",-,"200,306","200,306","193,706","6,600",-,"104,343","104,343","103,523",820,-,"116,369","116,369","116,369",-,-,-
"Jacksonville, FL",9,"436,439","436,439","433,340","3,099",-,"349,742","349,742","346,775","2,967",-,"32,369","32,369","32,239",130,-,"54,328","54,328","54,326",2,-,-
"Kansas City, MO",4,"237,774","237,774","236,556","1,218",-,"219,822","219,822","218,604","1,218",-,"17,952","17,952","17,952",-,-,-,-,-,-,-,-
"Las Vegas, NV",6,"235,866","99,301","95,436","3,865","136,565","146,541","9,976","9,973",3,"136,565","31,134","31,134","31,134",-,-,"58,191","58,191","54,329","3,862","3,566",-
"Long Beach, CA",9,"204,575","204,575","197,065","7,510",-,"204,575","204,575","197,065","7,510",-,-,-,-,-,-,-,-,-,-,-,-
"Los Angeles, CA",6,"2,371,191","2,371,191","2,274,327","96,864",-,"2,238,504","2,238,504","2,141,640","96,864",-,"132,687","132,687","132,687",-,-,-,-,-,-,-,-
"Louisville - Jefferson, KY",6,"244,890","244,890","244,078",812,-,"173,267","173,267","173,066",201,-,"8,075","8,075","8,075",-,-,"63,548","63,548","62,937",611,-,-
"Memphis, TN",6,"262,842","262,842","253,310","9,532",-,"243,879","243,879","234,370","9,509",-,"18,963","18,963","18,940",23,-,-,-,-,-,-,-
"Mesa, AZ",6,"208,614","208,614","180,647","27,967",-,"195,748","195,748","167,781","27,967",-,"12,866","12,866","12,866",-,-,-,-,-,-,-,-
"Miami, FL",9,"206,405","206,405","202,786","3,619",-,"199,687","199,687","196,069","3,618",-,"6,718","6,718","6,717",1,-,-,-,-,-,-,-
"Milwaukee, WI",12,"341,869","341,869","337,420","4,449",-,"314,027","314,027","309,578","4,449",-,"22,992","22,992","22,992",-,-,"4,850","4,850","4,850",-,-,-
"Minneapolis, MN",12,"176,824","176,824","176,824",-,-,"168,310","168,310","168,310",-,-,"8,514","8,514","8,514",-,-,-,-,-,-,-,-
"Nashville, TN",6,"382,584","382,584","367,997","14,587",-,"201,647","201,647","197,651","3,996",-,"99,664","99,664","89,508","10,156",-,"81,273","81,273","80,838",435,-,-
"New Orleans, LA",12,"254,783","254,783","240,904","13,879",-,"136,574","136,574","136,574",-,-,"33,216","33,216","33,178",38,-,"84,993","84,993","71,152","13,841","8,426",-
"New York, NY",6,"7,987,047","7,987,047","7,564,682","422,365",-,"5,450,812","5,450,812","5,165,387","285,425",-,"746,493","746,493","704,860","41,633",-,"1,789,742","1,789,742","1,694,435","95,307","67,316",-
"Newark, NJ",12,"147,720","147,720","147,720",-,-,"137,397","137,397","137,397",-,-,"10,323","10,323","10,323",-,-,-,-,-,-,-,-
"Oakland, CA",6,"272,414","272,414","270,913","1,501",-,"272,414","272,414","270,913","1,501",-,-,-,-,-,-,-,-,-,-,-,-
"Oklahoma City, OK",6,"201,302","201,302","193,140","8,162",-,"179,656","179,656","173,441","6,215",-,"21,416","21,416","19,699","1,717",-,230,230,-,230,230,-
"Omaha, NE",12,"143,449","135,204","130,703","4,501","8,245","135,941","131,111","126,682","4,429","4,830","4,093","4,093","4,021",72,-,"3,415",-,-,-,-,"3,415"
"Philadelphia, PA",6,"1,344,796","1,344,796","1,342,339","2,457",-,"644,646","644,646","642,189","2,457",-,"329,925","329,925","329,925",-,-,"370,225","370,225","370,225",-,-,-
"Phoenix, AZ",6,"500,449","491,170","479,567","11,603","9,279","449,370","449,370","438,281","11,089",-,"41,800","41,800","41,286",514,-,"9,279",-,-,-,-,"9,279"
"Pittsburgh, PA",12,"78,778","78,778","78,778",-,-,"74,324","74,324","74,324",-,-,"4,454","4,454","4,454",-,-,-,-,-,-,-,-
"Portland, OR",6,"207,137","207,137","196,138","10,999",-,"196,369","196,369","185,370","10,999",-,"10,768","10,768","10,768",-,-,-,-,-,-,-,-
"Raleigh, NC",6,"136,274","136,274","104,906","31,368",-,"133,128","133,128","101,760","31,368",-,"3,146","3,146","3,146",-,-,-,-,-,-,-,-
"Riverside, CA",6,"106,316","106,316","101,521","4,795",-,"101,743","101,743","96,948","4,795",-,"4,573","4,573","4,573",-,-,-,-,-,-,-,-
"Sacramento, CA",6,"153,335","153,335","152,245","1,090",-,"153,335","153,335","152,245","1,090",-,-,-,-,-,-,-,-,-,-,-,-
"San Antonio, TX",9,"394,233","394,233","393,228","1,005",-,"368,329","368,329","367,431",898,-,"25,904","25,904","25,797",107,-,-,-,-,-,-,-
"San Diego, CA",6,"375,062","375,062","373,538","1,524",-,"327,627","327,627","326,103","1,524",-,"47,435","47,435","47,435",-,-,-,-,-,-,-,-
"San Francisco, CA",6,"726,202","726,202","720,731","5,471",-,"432,620","432,620","428,090","4,530",-,"89,403","89,403","89,110",293,-,"204,179","204,179","203,531",648,570,-
"San Jose, CA",6,"242,751","242,751","236,675","6,076",-,"242,751","242,751","236,675","6,076",-,-,-,-,-,-,-,-,-,-,-,-
"Santa Ana, CA",6,"122,243","122,243","117,359","4,884",-,"122,243","122,243","117,359","4,884",-,-,-,-,-,-,-,-,-,-,-,-
"Seattle, WA",12,"275,947","251,698","248,627","3,071","24,249","196,595","195,747","192,676","3,071",848,"61,994","55,951","55,951",-,"6,043","17,358",-,-,-,-,"17,358"
"St. Louis, MO",6,"278,208","278,208","278,208",-,-,"183,337","183,337","183,337",-,-,"42,075","42,075","42,075",-,-,"52,796","52,796","52,796",-,-,-
"Tampa, FL",9,"157,620","157,620","155,385","2,235",-,"152,955","152,955","150,720","2,235",-,"4,665","4,665","4,665",-,-,-,-,-,-,-,-
"Toledo, OH",12,"105,102","92,321","92,318",3,"12,781","81,489","81,489","81,489",-,-,"10,832","10,832","10,829",3,-,"12,781",-,-,-,-,"12,781"
"Tucson, AZ",6,"178,737","178,737","178,737",-,-,"155,897","155,897","155,897",-,-,"22,840","22,840","22,840",-,-,-,-,-,-,-,-
"Tulsa, OK",6,"108,343","108,343","105,612","2,731",-,"103,263","103,263","100,532","2,731",-,"5,080","5,080","5,080",-,-,-,-,-,-,-,-
"Virginia Beach, VA",6,"162,331","162,331","162,331",-,-,"95,179","95,179","95,179",-,-,"19,061","19,061","19,061",-,-,"48,091","48,091","48,091",-,-,-
"Washington, DC",9,"870,775","870,775","847,765","23,010",-,"593,345","593,345","575,909","17,436",-,"132,515","132,515","131,686",829,-,"144,915","144,915","140,170","4,745","2,718",-
"Wichita, KS",12,"87,211","87,211","87,211",-,-,"78,495","78,495","78,495",-,-,"8,716","8,716","8,716",-,-,-,-,-,-,-,-
"Note: Fiscal years ended in months between July 2015 and June 2016, except for Washington, DC, whose fiscal year ended on September 30, 2016.",,,,,,,,,,,,,,,,,,,,,,
