Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename:  cjee0605.csv,,,,,,,,,,,,,,,,,,,,,,
"Table #:  5 Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2006",,,,,,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,,,,,,,,,,,,,


"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2006",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
,,Number of employees,,,,,Number of employees,,,,,Number of employees,,,,,Number of employees,,,,,

State and type of government,Total full-time equivalent employment/a,Total,Full-time-only,Full-time equivalent employment,Percent of total full-time equivalent employment/b,,Total,Full-time-only,Full-time equivalent employment,Percent of total full-time equivalent employment/b,,Total,Full-time-only,Full-time equivalent employment,Percent of total full-time equivalent employment/b,,Total,Full-time-only,Full-time equivalent employment,Percent of total full-time equivalent employment/b,,State and type of government

"States-local, total","15,965,682","2,171,640","1,981,932","2,056,471",12.9,%,"993,180","878,010","919,274",44.7,%,"448,890","400,580","420,149",20.4,%,"729,570","703,342","717,048",34.9,%,"States-local, total"
State,"4,250,554","752,799","729,845","742,436",17.5,,"106,377","103,446","104,524",14.1,,"174,675","164,827","170,416",23,,"471,747","461,572","467,496",63,,State
"Local, total","11,715,128","1,418,841","1,252,087","1,314,035",11.2,,"886,803","774,564","814,750",62,,"274,215","235,753","249,733",19,,"257,823","241,770","249,552",19,,"Local, total"
Counties,"2,595,959","687,466","629,516","654,658",25.2,,"258,655","235,837","244,985",37.4,,"205,473","185,459","194,104",29.6,,"223,338","208,220","215,569",32.9,,Counties
Municipalities,"2,955,854","731,375","622,571","659,377",22.3,,"628,148","538,727","569,765",86.4,,"68,742","50,294","55,629",8.4,,"34,485","33,550","33,983",5.2,,Municipalities

Alabama,"273,572","28,286","25,986","26,808",9.8,,"14,488","13,191","13,737",51.2,,"5,625","4,910","5,070",18.9,,"8,173","7,885","8,001",29.8,,Alabama
