Bureau of Justice Statistics,,,,,,,,,,,
Filename:  cjee0610.csv,,,,,,,,,,,
"Table #:  10 Detail of direct expenditure for correctional activities of State governments by character and object, fiscal year 2006",,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,,

"Table 10.   Detail of direct expenditure for correctional activities of State governments by character and object, fiscal year 2006",,,,,,,,,,,
(Dollar amounts in thousands.),,,,,,,,,,,


State,Total correction direct expenditure,Institutions,,Capital outlay,,,,Other corrections,,,
,,Total,Direct current,Construction,Other,Percent of total corrections direct expenditure,,Total,Direct current,Capital outlay,Percent of total correction direct expenditure

Total,"$40,413,017 ","$33,393,720 ","$32,098,403 ","$1,039,811 ","$255,506 ",82.6,%,"$7,019,297 ","$6,872,713 ","$146,584 ",17.4,%

Alabama,"$444,035 ","$342,463 ","$338,740 ",$510 ,"$3,213 ",77.1,,"$101,572 ","$99,358 ","$2,214 ",22.9,
Alaska,"$210,204 ","$173,512 ","$171,867 ","$1,483 ",$162 ,82.5,,"$36,692 ","$36,494 ",$198 ,17.5,
Arizona,"$826,193 ","$738,489 ","$729,460 ",$217 ,"$8,812 ",89.4,,"$87,704 ","$84,577 ","$3,127 ",10.6,
Arkansas,"$394,550 ","$349,349 ","$321,845 ","$27,503 ",$1 ,88.5,,"$45,201 ","$45,189 ",$12 ,11.5,
California,"$6,466,958 ","$5,535,959 ","$5,439,114 ","$76,181 ","$20,664 ",85.6,,"$930,999 ","$929,113 ","$1,886 ",14.4,

Colorado,"$689,346 ","$488,000 ","$473,782 ","$10,984 ","$3,234 ",70.8,,"$201,346 ","$199,456 ","$1,890 ",29.2,
Connecticut,"$617,988 ","$609,459 ","$602,555 ","$3,366 ","$3,538 ",98.6,,"$8,529 ","$8,054 ",$475 ,1.4,
Delaware,"$244,736 ","$182,438 ","$181,217 ",$0 ,"$1,221 ",74.5,,"$62,298 ","$61,564 ",$734 ,25.5,
Florida,"$2,440,853 ","$1,808,846 ","$1,725,978 ","$72,886 ","$9,982 ",74.1,,"$632,007 ","$626,736 ","$5,271 ",25.9,
Georgia,"$1,332,364 ","$1,096,871 ","$1,058,690 ","$31,883 ","$6,298 ",82.3,,"$235,493 ","$226,920 ","$8,573 ",17.7,

Hawaii,"$179,322 ","$168,863 ","$166,938 ",$887 ,"$1,038 ",94.2,,"$10,459 ","$10,341 ",$118 ,5.8,
Idaho,"$190,791 ","$164,024 ","$156,392 ","$7,202 ",$430 ,86,,"$26,767 ","$26,654 ",$113 ,14,
