Bureau of Justice Statistics,,,,,,
Filename:  cjee0620.csv,,,,,,
Table #:  20 Supplemental data for 49 large city governments,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,
Author:  Steven W. Perry,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version:  08/29/2008,,,,,,

Table 20.  Supplemental data for 49 large city governments,,,,,,


,,"Expenditures, fiscal 2006 (thousands of dollars) All functions",,,"Full-time equivalent employment, March 2006",

City,Population 2006/a,Total (direct and intergovernmental),Direct expenditure only,Total general expenditure/b,All functions,General functions only/c

"Albuquerque, NM","504,949","$842,601 ","$842,601 ","$759,777 ","6,873","5,913"
"Atlanta, GA","486,411","$2,024,667 ","$1,978,768 ","$1,552,004 ","7,767","7,403"
"Austin, TX","709,893","$2,304,405 ","$2,304,405 ","$1,158,874 ","11,975","10,092"
"Baltimore, MD","631,366","$3,289,344 ","$3,212,331 ","$2,929,897 ","26,471","25,651"
"Baton Rouge, LA","229,553","$776,581 ","$776,581 ","$696,281 ","6,247","6,070"
"Boston, MA","590,763","$3,341,054 ","$3,038,144 ","$2,812,801 ","21,084","20,847"

"Buffalo, NY","276,059","$1,250,977 ","$1,248,873 ","$1,235,737 ","9,658","9,526"
"Charlotte, NC","630,478","$1,448,463 ","$1,436,281 ","$1,019,287 ","6,088","5,318"
"Chicago, IL","2,833,321","$7,621,606 ","$7,544,221 ","$6,033,076 ","42,059","40,420"
"Cincinnati, OH","332,252","$984,518 ","$940,858 ","$730,003 ","5,937","5,330"
"Cleveland, OH","444,313","$1,349,673 ","$1,345,560 ","$924,154 ","7,656","6,131"
"Columbus, OH","733,203","$1,152,348 ","$1,144,273 ","$1,012,029 ","8,210","7,598"

"Dallas, TX","1,232,940","$2,712,975 ","$2,704,353 ","$2,194,072 ","14,407","13,175"
"Denver, CO","566,974","$2,414,706 ","$2,357,350 ","$2,109,793 ","12,732","11,551"
"Detroit, MI","871,121","$3,349,156 ","$3,247,981 ","$2,167,675 ","14,648","11,310"
"El Paso, TX","609,415","$724,785 ","$724,785 ","$476,353 ","5,731","4,481"
"Fort Worth, TX","653,320","$1,046,849 ","$1,046,849 ","$766,179 ","6,205","5,683"
"Honolulu, HI","909,863","$1,473,182 ","$1,473,182 ","$1,227,669 ","9,061","8,483"

"Houston, TX","2,144,491","$3,982,080 ","$3,953,441 ","$3,294,853 ","20,947","20,141"
"Indianapolis, IN","785,597","$3,411,552 ","$3,397,608 ","$2,591,757 ","16,154","14,626"
"Jacksonville, FL","794,555","$3,473,761 ","$3,342,612 ","$1,846,977 ","9,769","7,859"
"Kansas City, MO","447,306","$1,284,345 ","$1,235,943 ","$1,089,506 ","6,631","6,104"
"Long Beach, CA","472,494","$1,447,720 ","$1,447,720 ","$1,214,039 ","5,468","4,337"
