Bureau of Justice Statistics,,,,,,,,,,,,
Filename:  cjee0606.csv,,,,,,,,,,,,
"Table #:  6 Percent distribution of justice system payrolls by State and type of government, March 2006",,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,,,

"Table 6.   Percent distribution of justice system payrolls by State and type of government, March 2006",,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,


,,Total justice system,,,Police protection,,,Judicial and Legal,,,Corrections,

State and type of government,Total March payrolls/a,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b,,March payrolls,Percent of total March payrolls/b

"States-local, total","$58,831,145 ","$8,629,475 ",14.7,%,"$4,190,091 ",48.6,%,"$1,815,653 ",21,%,"$2,623,731 ",30.4,%
State,"$16,769,428 ","$2,958,349 ",17.6,,"$482,249 ",16.3,,"$783,830 ",26.5,,"$1,692,270 ",57.2,
"Local, total","$42,061,717 ","$5,671,126 ",13.5,,"$3,707,842 ",65.4,,"$1,031,823 ",18.2,,"$931,460 ",16.4,
Counties,"$9,503,204 ","$2,626,771 ",27.6,,"$1,041,256 ",39.6,,"$798,529 ",30.4,,"$786,985 ",30,
Municipalities,"$12,269,712 ","$3,044,355 ",24.8,,"$2,666,586 ",87.6,,"$233,294 ",7.7,,"$144,475 ",4.7,

Alabama,"$810,104 ","$86,833 ",10.7,,"$44,166 ",50.9,,"$18,808 ",21.7,,"$23,859 ",27.5,
State,"$304,167 ","$34,443 ",11.3,,"$5,506 ",16,,"$13,628 ",39.6,,"$15,310 ",44.4,
"Local, total","$505,936 ","$52,390 ",10.4,,"$38,660 ",73.8,,"$5,181 ",9.9,,"$8,549 ",16.3,
Counties,"$56,773 ","$19,854 ",35,,"$9,547 ",48.1,,"$2,710 ",13.6,,"$7,596 ",38.3,
Municipalities,"$114,616 ","$32,536 ",28.4,,"$29,113 ",89.5,,"$2,471 ",7.6,,$953 ,2.9,

Alaska,"$216,091 ","$23,335 ",10.8,,"$8,826 ",37.8,,"$6,653 ",28.5,,"$7,857 ",33.7,
State,"$107,534 ","$15,924 ",14.8,,"$2,253 ",14.1,,"$6,076 ",38.2,,"$7,595 ",47.7,
"Local, total","$108,556 ","$7,411 ",6.8,,"$6,573 ",88.7,,$577 ,7.8,,$261 ,3.5,
Boroughs,"$36,692 ",$571 ,1.6,,$373 ,65.3,,$159 ,27.9,,$39 ,6.8
Municipalities,"$72,569 ","$6,840 ",9.4,,"$6,199 ",90.6,,$417 ,6.1,,$223 ,3.3

Arizona,"$991,379 ","$187,984 ",19,,"$96,601 ",51.4,,"$44,345 ",23.6,,"$47,038 ",25
State,"$240,739 ","$47,670 ",19.8,,"$9,122 ",19.1,,"$9,185 ",19.3,,"$29,363 ",61.6
"Local, total","$750,640 ","$140,314 ",18.7,,"$87,479 ",62.3,,"$35,160 ",25.1,,"$17,675 ",12.6
Counties,"$110,125 ","$62,935 ",57.1,,"$19,731 ",31.4,,"$25,711 ",40.9,,"$17,493 ",27.8
Municipalities,"$231,423 ","$77,379 ",33.4,,"$67,748 ",87.6,,"$9,449 ",12.2,,$182 ,0.2

