Bureau of Justice Statistics,,,,,,,,,,,,,
Filename:  cjee0607.csv,,,,,,,,,,,,,
"Table #:  7 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2006",,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Statistical Extracts 2006, NCJ 224394",,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
Author:  Steven W. Perry,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,
Date of version:  08/29/2008,,,,,,,,,,,,,

"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2006",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,

,,Sworn,,,,,,Nonsworn,,,,,
,,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment,,,

State and type of government,Total police protection full-time equivalent employment,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls

"States-local, total","919,274","714,577","669,207","685,611",74.6,%,"$3,379,735 ","278,603","208,803","233,663",25.4,%,"$810,356 "
State,"104,524","65,665","65,066","65,201",62.4,,"$342,360 ","40,712","38,380","39,323",37.6,,"$139,889 "
"Local, total","814,750","648,912","604,141","620,410",76.1,,"$3,037,375 ","237,891","170,423","194,340",23.9,,"$670,467 "
Counties,"244,985","174,180","167,110","169,796",69.3,,"$780,628 ","84,475","68,727","75,189",30.7,,"$260,628 "
Municipalities,"569,765","474,732","437,031","450,614",79.1,,"$2,256,747 ","153,416","101,696","119,151",20.9,,"$409,838 "

Alabama,"13,737","10,836","10,204","10,480",76.3,,"$36,213 ","3,652","2,987","3,257",23.7,,"$7,953 "
State,"1,432",755,755,755,52.7,,"$3,573 ",677,677,677,47.3,,"$1,933 "
"Local, total","12,305","10,081","9,449","9,725",79,,"$32,639 ","2,975","2,310","2,580",21,,"$6,021 "
Counties,"3,043","2,375","2,276","2,323",76.3,,"$7,933 ",774,680,720,23.7,,"$1,614 "
Municipalities,"9,262","7,706","7,173","7,402",79.9,,"$24,706 ","2,201","1,630","1,860",20.1,,"$4,406 "

Alaska,"1,682","1,158","1,101","1,124",66.8,,"$6,612 ",661,538,558,33.2,,"$2,214 "
State,444,278,278,278,62.6,,"$1,686 ",221,156,166,37.4,,$567 
"Local, total","1,238",880,823,846,68.3,,"$4,925 ",440,382,392,31.7,,"$1,647 "
Boroughs,71,40,40,40,56.3,,$253 ,33,27,31,43.7,,$120 
Municipalities,"1,167",840,783,806,69.1,,"$4,673 ",407,355,361,30.9,,"$1,527 "

Arizona,"20,662","15,664","15,531","15,547",75.2,,"$76,537 ","5,219","4,984","5,115",24.8,,"$20,064 "
State,"2,013","1,174","1,174","1,174",58.3,,"$5,688 ",863,825,839,41.7,,"$3,434 "
"Local, total","18,649","14,490","14,357","14,373",77.1,,"$70,849 ","4,356","4,159","4,276",22.9,,"$16,630 "
Counties,"5,215","4,580","4,541","4,550",87.2,,"$17,654 ",673,649,665,12.8,,"$2,077 "
Municipalities,"13,434","9,910","9,816","9,823",73.1,,"$53,195 ","3,683","3,510","3,611",26.9,,"$14,553 "

Arkansas,"8,493","6,914","6,173","6,321",74.4,,"$19,056 ","2,294","2,099","2,172",25.6,,"$5,107 "
State,"1,178",573,569,573,48.6,,"$2,125 ",605,605,605,51.4,,"$1,609 "
"Local, total","7,315","6,341","5,604","5,748",78.6,,"$16,931 ","1,689","1,494","1,567",21.4,,"$3,498 "
Counties,"2,096","1,727","1,553","1,591",75.9,,"$4,066 ",552,492,505,24.1,,"$1,078 "
Municipalities,"5,219","4,614","4,051","4,157",79.7,,"$12,865 ","1,137","1,002","1,062",20.3,,"$2,420 "

California,"101,004","68,576","66,813","67,455",66.8,,"$490,086 ","36,921","31,002","33,549",33.2,,"$157,700 "
State,"12,600","7,843","7,387","7,464",59.2,,"$47,152 ","5,720","4,929","5,136",40.8,,"$19,619 "
"Local, total","88,404","60,733","59,426","59,991",67.9,,"$442,934 ","31,201","26,073","28,413",32.1,,"$138,081 "
Counties,"31,462","21,073","20,168","20,554",65.3,,"$140,609 ","11,247","10,620","10,908",34.7,,"$56,566 "
Municipalities,"56,942","39,660","39,258","39,437",69.3,,"$302,325 ","19,954","15,453","17,505",30.7,,"$81,515 "

Colorado,"13,874","9,957","9,833","9,941",71.7,,"$52,139 ","4,059","3,805","3,933",28.3,,"$14,437 "
State,"1,170",761,761,761,65,,"$4,579 ",418,399,409,35,,"$1,791 "
