Bureau of Justice Statistics,,,,,,,
Filename:  jeeus1002.csv,,,,,,,
"Table 2.   Percent distribution of employment and payrolls for the justice system by level of government, March 2010 (final)",,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,
Author: Tracey Kyckelhahn,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version:  ,,,,,,,
,,,,,,,
"Table 2.   Percent distribution of employment and payrolls for the justice system by level of government, March 2010 (final)",,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,
,,,,,,,
,,,,,Percent distribution,,
,,,,,,,
Activity,,Federal,State,Local,Federal,State,Local
,All governments,Government,governments,governments,Government,governments,governments
,,,,,,,
Total justice system:,,,,,,,
Total employees,2449551,283321,766474,1399756,11.6,31.3,57.1
Full time employees,-,-,743972,1268486,-,37,63
Full-time eqivalent employment,-,-,755666,1319537,-,36.4,63.6
March payrolls,11690688,1880558,3376509,6433621,16.1,28.9,55
,,,,,,,
Police protection:,,,,,,,
Total employees,1127375,182573,108740,836062,16.2,9.6,74.2
Full time employees,-,-,105608,751500,-,12.3,87.7
Full-time equivalent employment,-,-,106864,780858,-,12,88
March payrolls,5855431,1220407,560646,4074379,20.8,9.6,69.6
,,,,,,,
Judicial and legal:,,,,,,,
Total employees,520410,63159,181138,276113,12.1,34.8,53.1
Full time employees,-,-,171364,246751,-,41,59
Full-time equivalent employment,-,-,176496,259210,-,40.5,59.5
March payrolls,2545996,443813,901239,1200944,17.4,35.4,47.2
,,,,,,,
Corrections:,,,,,,,
Total employees,801766,37589,476596,287581,4.7,59.4,35.9
Full time employees,-,-,467000,270235,-,63.3,36.7
Full-time equivalent employment,-,-,472306,279469,-,62.8,37.2
March payrolls,3289261,216339,1914624,1158298,6.6,58.2,35.2
,,,,,,,
Notes:  Local government data are estimates subject to sampling variability.,,,,,,,
The Federal Budget source provides only total employment for the Federal Government; that figure is included in the denominator used to compute the percent distribution of full time employees and full time equivalent employment for state and local governments.,,,,,,,
