Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,
Filename:  jeeus1012.csv,,,,,,,,,,,,,,,,,,,,,,,
"Table 12.   Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2010 (final)",,,,,,,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,,,,,,,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 12.   Justice system expenditures of 68 large county governments by activity and character and object, fiscal 2010 (final)",,,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,Total justice system,,,,,Police Protection,,,,,Judicial and Legal,,,,,Corrections,,,,,
,,,Direct expenditure,,,Inter-,,Direct expenditure,,,Inter-,,Direct expenditure,,,Inter-,,Direct expenditure,,,,Inter-,
,Fiscal,,,,,govern-,,,,,govern-,,,,,govern-,,,,,,govern-,
,year,,,,,mental,,,,,mental,,,,,mental,,,,Capital outlay,,mental,
,ends in,,,,,expendi-,,,,,expendi-,,,,,expendi-,,,,,,expendi-,
,month,,,Direct,Capital,ture,,,Direct,Capital,ture,,,Direct,Capital,ture,,,Direct,,Construc-,ture,
County,of --,Total,Total,current,outlay,Total,Total,Total,current,outlay,Total,Total,Total,current,outlay,Total,Total,Total,current,Total,tion only,Total,County
,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA",6,493982,493982,484987,8995,0,101903,101903,100112,1791,0,175098,175098,170429,4669,0,216981,216981,214446,2535,0,0,"Alameda, CA"
"Allegheny, PA",12,220102,220102,219780,322,0,50616,50616,50523,93,0,86266,86266,86178,88,0,83220,83220,83079,141,0,0,"Allegheny, PA"
"Baltimore, MD",6,251454,251454,251409,45,0,196614,196614,196614,0,0,20523,20523,20499,24,0,34317,34317,34296,21,0,0,"Baltimore, MD"
"Bergen, NJ",6,115330,115330,107539,7791,0,41221,41221,35505,5716,0,34834,34834,34274,560,0,39275,39275,37760,1515,1515,0,"Bergen, NJ"
"Bexar, TX",9,308193,308193,255626,52567,0,70000,70000,67940,2060,0,112467,112467,81823,30644,0,125726,125726,105863,19863,15217,0,"Bexar, TX"
"Broward, FL",9,714725,714725,691430,23295,0,415857,415857,397662,18195,0,66530,66530,65434,1096,0,232338,232338,228334,4004,821,0,"Broward, FL"
"Clark, NV",6,1018205,1018205,992219,25986,0,626979,626979,603954,23025,0,193716,193716,192732,984,0,197510,197510,195533,1977,0,0,"Clark, NV"
,,,,,,,,,,,,,,,,,,,,,,,
"Contra Costa, CA",6,311723,311723,311112,611,0,91185,91185,90633,552,0,98439,98439,98409,30,0,122099,122099,122070,29,0,0,"Contra Costa, CA"
"Cook, IL",11,1118939,1118939,1111543,7396,0,92859,92859,92859,0,0,624813,624813,617778,7035,0,401267,401267,400906,361,361,0,"Cook, IL"
"Cuyahoga, OH",12,328067,326589,324029,2560,1478,34951,34951,34387,564,0,205118,205118,203334,1784,0,87998,86520,86308,212,197,1478,"Cuyahoga, OH"
"Dade, FL",9,993443,993440,972803,20637,3,519209,519209,505996,13213,0,163950,163947,159674,4273,3,310284,310284,307133,3151,1725,0,"Dade, FL"
"Dallas, TX",9,277449,277449,275968,1481,0,45136,45136,44342,794,0,113658,113658,113615,43,0,118655,118655,118011,644,50,0,"Dallas, TX"
"Dekalb, GA",12,233984,233984,229363,4621,0,122487,122487,118079,4408,0,58074,58074,57863,211,0,53423,53423,53421,2,0,0,"Dekalb, GA"
"Delaware, PA",12,118128,118128,118128,0,0,11217,11217,11217,0,0,56903,56903,56903,0,0,50008,50008,50008,0,0,0,"Delaware, PA"
,,,,,,,,,,,,,,,,,,,,,,,
"Du Page, IL",11,87177,87177,86505,672,0,41916,41916,41244,672,0,30684,30684,30684,0,0,14577,14577,14577,0,0,0,"Du Page, IL"
"Erie, NY",12,148800,148800,142461,6339,0,34991,34991,29033,5958,0,26794,26794,26570,224,0,87015,87015,86858,157,0,0,"Erie, NY"
"Essex, NJ",6,172005,172005,171118,887,0,42046,42046,41287,759,0,35777,35777,35649,128,0,94182,94182,94182,0,0,0,"Essex, NJ"
"Fairfax, VA",6,308880,308880,282778,26102,0,203200,203200,181380,21820,0,43896,43896,39614,4282,0,61784,61784,61784,0,0,0,"Fairfax, VA"
