Bureau of Justice Statistics,,,,,,,,,
Filename:  jeeus1006.csv,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by state and type of government, March 2010 (final)",,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,
Date of version:  ,,,,,,,,,
,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by state and type of government, March 2010 (final)",,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,
,,,,,,,,,
,,Total justice system,,Police protection,,Judicial and Legal,,Corrections,
,,,,,,,,,
,Total,,Percent of,,Percent of,,Percent of,,Percent of
State and type,March,March,total March,March,total March,March,total March,March,total March
of government,payrolls/a,payrolls,payrolls/b,payrolls,payrolls/b,payrolls,payrolls/b,payrolls,payrolls/b
,,,,,,,,,
"States-local, total",70404589,9810130,13.9,4635025,47.2,2102183,21.4,3072923,31.3
State,19579220,3376509,17.2,560646,16.6,901239,26.7,1914624,56.7
"Local, total",50825369,6433621,12.7,4074379,63.3,1200944,18.7,1158298,18
Counties,12823999,3181733,24.8,1274866,40.1,935406,29.4,971461,30.5
Municipalities,14975129,3251888,21.7,2799513,86.1,265539,8.2,186837,5.7
,,,,,,,,,
Alabama,991486,98127,9.9,49145,50.1,20245,20.6,28738,29.3
State,357087,38997,10.9,6277,16.1,15004,38.5,17716,45.4
"Local, total",634399,59130,9.3,42868,72.5,5241,8.9,11022,18.6
Counties,78136,24861,31.8,12156,48.9,2643,10.6,10062,40.5
Municipalities,152305,34269,22.5,30711,89.6,2598,7.6,960,2.8
,,,,,,,,,
Alaska,267655,29714,11.1,11379,38.3,8812,29.7,9522,32
State,134205,21294,15.9,3928,18.4,8165,38.3,9201,43.2
"Local, total",133450,8420,6.3,7452,88.5,646,7.7,322,3.8
Boroughs,46939,668,1.4,402,60.2,220,33,45,6.8
Municipalities,83239,7752,9.3,7050,90.9,426,5.5,277,3.6
,,,,,,,,,
Arizona,1182750,216078,18.3,109371,50.6,48691,22.5,58016,26.8
State,277539,55920,20.1,10557,18.9,9087,16.2,36276,64.9
"Local, total",905212,160158,17.7,98813,61.7,39604,24.7,21740,13.6
Counties,143482,77025,53.7,24828,32.2,30639,39.8,21558,28
Municipalities,242733,83132,34.2,73985,89,8965,10.8,182,0.2
,,,,,,,,,
Arkansas,564781,59401,10.5,27799,46.8,10072,17,21530,36.2
State,232717,25743,11.1,4461,17.3,5540,21.5,15741,61.1
"Local, total",332064,33658,10.1,23337,69.3,4532,13.5,5789,17.2
Counties,49977,13931,27.9,5524,39.7,2724,19.6,5683,40.8
Municipalities,102100,19727,19.3,17813,90.3,1808,9.2,106,0.5
,,,,,,,,,
California,9766915,1641450,16.8,730451,44.5,355726,21.7,555273,33.8
State,2247814,482372,21.5,78388,16.3,41849,8.7,362135,75.1
"Local, total",7519101,1159078,15.4,652063,56.3,313877,27.1,193138,16.7
Counties,2290773,723452,31.6,261947,36.2,279887,38.7,181618,25.1
Municipalities,1572182,435625,27.7,390116,89.6,33989,7.8,11520,2.6
,,,,,,,,,
Colorado,1169714,165412,14.1,80934,48.9,36401,22,48078,29.1
State,347659,60605,17.4,8091,13.4,21175,34.9,31340,51.7
"Local, total",822055,104807,12.7,72843,69.5,15226,14.5,16738,16
Counties,120595,40734,33.8,22586,55.4,7705,18.9,10443,25.6
Municipalities,235274,64073,27.2,50257,78.4,7521,11.7,6295,9.8
,,,,,,,,,
Connecticut,944643,104686,11.1,43791,41.8,24603,23.5,36292,34.7
State,341537,70663,20.7,10745,15.2,23626,33.4,36292,51.4
"Local, total",603105,34023,5.6,33046,97.1,977,2.9,0,0
Municipalities,285295,34023,11.9,33046,97.1,977,2.9,0,0
,,,,,,,,,
Delaware,202396,31962,15.8,13537,42.4,7869,24.6,10557,33
State,105247,23807,22.6,5736,24.1,7514,31.6,10557,44.3
"Local, total",97149,8155,8.4,7801,95.6,355,4.4,0,0
Counties,15888,3125,19.7,2799,89.6,326,10.4,0,0
Municipalities,17322,5031,29,5002,99.4,29,0.6,0,0
,,,,,,,,,
District of Columbia,256499,54239,21.1,32240,59.4,14361,26.5,7639,14.1
"Local, total",256499,54239,21.1,32240,59.4,14361,26.5,7639,14.1
Municipality,197845,54239,27.4,32240,59.4,14361,26.5,7639,14.1
,,,,,,,,,
Florida,3491351,625267,17.9,318644,51,133398,21.3,173224,27.7
State,705846,189534,26.9,17030,9,78831,41.6,93674,49.4
"Local, total",2785505,435733,15.6,301614,69.2,54568,12.5,79551,18.3
Counties,838871,302877,36.1,176068,58.1,50706,16.7,76103,25.1
Municipalities,401944,132856,33.1,125546,94.5,3862,2.9,3447,2.6
,,,,,,,,,
Georgia,1795187,229994,12.8,95566,41.6,54689,23.8,79739,34.7
State,460445,71301,15.5,7725,10.8,15692,22,47885,67.2
"Local, total",1334741,158692,11.9,87842,55.4,38996,24.6,31854,20.1
Counties,236127,107158,45.4,45260,42.2,34580,32.3,27318,25.5
Municipalities,162329,51535,31.7,42582,82.6,4416,8.6,4536,8.8
,,,,,,,,,
Hawaii,304525,46685,15.3,23976,51.4,13196,28.3,9514,20.4
State,229207,19735,8.6,0,0,10221,51.8,9514,48.2
"Local, total",75318,26950,35.8,23976,89,2974,11,0,0
Counties,28753,9114,31.7,7793,85.5,1321,14.5,0,0
Municipalities,45915,17836,38.8,16183,90.7,1653,9.3,0,0
,,,,,,,,,
Idaho,271395,39329,14.5,16924,43,9173,23.3,13232,33.6
State,88917,13281,14.9,1685,12.7,3685,27.7,7910,59.6
"Local, total",182479,26048,14.3,15239,58.5,5488,21.1,5322,20.4
Counties,38180,16310,42.7,6087,37.3,4901,30,5322,32.6
Municipalities,40507,9738,24,9151,94,587,6,0,0
,,,,,,,,,
Illinois,2942253,438759,14.9,241675,55.1,86713,19.8,110372,25.2
State,646734,107762,16.7,24463,22.7,22294,20.7,61005,56.6
"Local, total",2295519,330997,14.4,217212,65.6,64418,19.5,49367,14.9
Counties,321820,133374,41.4,24746,18.6,59261,44.4,49367,37
Municipalities,648401,197623,30.5,192466,97.4,5157,2.6,0,0
,,,,,,,,,
Indiana,1217636,130977,10.8,64853,49.5,28474,21.7,37650,28.7
State,339133,37913,11.2,8040,21.2,9228,24.3,20644,54.5
"Local, total",878503,93064,10.6,56813,61,19246,20.7,17006,18.3
Counties,213592,39577,18.5,12016,30.4,13402,33.9,14159,35.8
Municipalities,243276,53487,22,44796,83.8,5844,10.9,2847,5.3
,,,,,,,,,
Iowa,719139,67125,9.3,32280,48.1,14837,22.1,20007,29.8
State,255180,30845,12.1,6317,20.5,10445,33.9,14083,45.7
"Local, total",463959,36279,7.8,25963,71.6,4392,12.1,5924,16.3
Counties,109099,17862,16.4,8189,45.8,3749,21,5924,33.2
Municipalities,108030,18417,17,17774,96.5,643,3.5,0,0
,,,,,,,,,
Kansas,695095,73722,10.6,36814,49.9,15555,21.1,21354,29
State,177786,23969,13.5,4776,19.9,8842,36.9,10351,43.2
"Local, total",517309,49753,9.6,32038,64.4,6713,13.5,11002,22.1
Counties,113051,22907,20.3,9064,39.6,3907,17.1,9936,43.4
Municipalities,143707,26846,18.7,22974,85.6,2806,10.5,1067,4
,,,,,,,,,
Kentucky,802449,82388,10.3,40281,48.9,21531,26.1,20577,25
State,309681,38762,12.5,8993,23.2,18547,47.8,11222,29
"Local, total",492767,43626,8.9,31288,71.7,2984,6.8,9355,21.4
Counties,59099,11126,18.8,5111,45.9,1178,10.6,4838,43.5
Municipalities,139670,32501,23.3,26178,80.5,1806,5.6,4517,13.9
,,,,,,,,,
Louisiana,990737,138583,14,63253,45.6,27449,19.8,47881,34.6
State,368080,43518,11.8,9151,21,7227,16.6,27140,62.4
"Local, total",622657,95064,15.3,54102,56.9,20222,21.3,20741,21.8
Parishes,173798,52317,30.1,25653,49,12997,24.8,13667,26.1
Municipalities,133910,42748,31.9,28449,66.6,7225,16.9,7074,16.5
,,,,,,,,,
Maine,259153,20089,7.8,8892,44.3,3649,18.2,7548,37.6
State,84683,10828,12.8,2708,25,3107,28.7,5013,46.3
"Local, total",174470,9262,5.3,6184,66.8,542,5.9,2536,27.4
Counties,6176,4233,68.5,1229,29,468,11.1,2536,59.9
Municipalities,64275,5029,7.8,4955,98.5,74,1.5,0,0
,,,,,,,,,
Maryland,1484423,217443,14.6,103724,47.7,44346,20.4,69373,31.9
State,410955,90349,22,12194,13.5,26928,29.8,51227,56.7
"Local, total",1073468,127093,11.8,91530,72,17418,13.7,18146,14.3
Counties,923720,94941,10.3,64076,67.5,12719,13.4,18146,19.1
Municipalities,147329,32152,21.8,27454,85.4,4698,14.6,0,0
,,,,,,,,,
Massachusetts,1554116,197619,12.7,117292,59.4,49562,25.1,30765,15.6
State,466624,112347,24.1,34111,30.4,47471,42.3,30765,27.4
"Local, total",1087492,85272,7.8,83181,97.5,2091,2.5,0,0
Counties,4716,100,2.1,93,93.3,7,6.7,0,0
Municipalities,714450,85173,11.9,83088,97.6,2084,2.4,0,0
,,,,,,,,,
Michigan,2128503,258596,12.1,98592,38.1,52116,20.2,107889,41.7
State,704751,103977,14.8,11637,11.2,9861,9.5,82480,79.3
"Local, total",1423751,154619,10.9,86955,56.2,42255,27.3,25409,16.4
Counties,281270,81105,28.8,21296,26.3,34670,42.7,25140,31
Municipalities,316144,73514,23.3,65660,89.3,7585,10.3,269,0.4
,,,,,,,,,
Minnesota,1237917,138120,11.2,63940,46.3,32474,23.5,41706,30.2
State,404158,40658,10.1,4811,11.8,17742,43.6,18105,44.5
"Local, total",833759,97462,11.7,59128,60.7,14733,15.1,23601,24.2
Counties,206084,51815,25.1,15461,29.8,12753,24.6,23601,45.5
Municipalities,230361,45647,19.8,43668,95.7,1980,4.3,0,0
,,,,,,,,,
Mississippi,602328,52474,8.7,27501,52.4,10902,20.8,14071,26.8
State,195955,17013,8.7,3893,22.9,4213,24.8,8907,52.4
"Local, total",406373,35461,8.7,23608,66.6,6690,18.9,5163,14.6
Counties,121120,19177,15.8,9053,47.2,5068,26.4,5056,26.4
Municipalities,94778,16283,17.2,14555,89.4,1622,10,107,0.7
,,,,,,,,,
Missouri,1113759,143411,12.9,72755,50.7,28766,20.1,41890,29.2
State,302459,57016,18.9,9773,17.1,14755,25.9,32488,57
"Local, total",811300,86394,10.6,62982,72.9,14011,16.2,9402,10.9
Counties,78983,29132,36.9,13222,45.4,9662,33.2,6248,21.4
Municipalities,213715,57262,26.8,49759,86.9,4349,7.6,3154,5.5
,,,,,,,,,
Montana,203656,23741,11.7,10216,43,6047,25.5,7478,31.5
State,77974,9689,12.4,1356,14,2965,30.6,5369,55.4
"Local, total",125683,14051,11.2,8861,63.1,3082,21.9,2109,15
Counties,24428,8247,33.8,3838,46.5,2317,28.1,2092,25.4
Municipalities,22492,5804,25.8,5022,86.5,765,13.2,17,0.3
,,,,,,,,,
Nebraska,446045,44377,9.9,21851,49.2,8154,18.4,14372,32.4
State,120579,16386,13.6,3440,21,3589,21.9,9357,57.1
"Local, total",325466,27991,8.6,18412,65.8,4564,16.3,5015,17.9
Counties,48514,14019,28.9,4938,35.2,4066,29,5015,35.8
Municipalities,62569,13972,22.3,13474,96.4,499,3.6,0,0
,,,,,,,,,
Nevada,557819,110399,19.8,53351,48.3,22865,20.7,34183,31
State,135776,25907,19.1,4384,16.9,4758,18.4,16765,64.7
"Local, total",422042,84492,20,48966,58,18107,21.4,17418,20.6
Counties,158199,61966,39.2,35284,56.9,13731,22.2,12951,20.9
Municipalities,69548,22526,32.4,13682,60.7,4377,19.4,4467,19.8
,,,,,,,,,
New Hampshire,280123,24963,8.9,10715,42.9,5820,23.3,8428,33.8
State,84226,11621,13.8,2580,22.2,4079,35.1,4962,42.7
"Local, total",195896,13342,6.8,8134,61,1742,13.1,3466,26
Counties,26041,6298,24.2,1403,22.3,1429,22.7,3466,55
Municipalities,82357,7045,8.6,6732,95.6,313,4.4,0,0
,,,,,,,,,
New Jersey,2730092,404066,14.8,165126,40.9,122579,30.3,116361,28.8
State,844503,163013,19.3,30157,18.5,78019,47.9,54837,33.6
"Local, total",1885589,241053,12.8,134969,56,44560,18.5,61524,25.5
Counties,624163,128740,20.6,29828,23.2,37388,29,61524,47.8
Municipalities,440158,112313,25.5,105141,93.6,7172,6.4,0,0
,,,,,,,,,
New Mexico,455676,63297,13.9,26360,41.6,15366,24.3,21572,34.1
State,184145,31937,17.3,4390,13.7,13778,43.1,13769,43.1
"Local, total",271532,31360,11.5,21970,70.1,1588,5.1,7803,24.9
Counties,37989,15420,40.6,7338,47.6,351,2.3,7731,50.1
Municipalities,62048,15940,25.7,14631,91.8,1237,7.8,72,0.5
,,,,,,,,,
New York,6363026,1075840,16.9,566829,52.7,199223,18.5,309788,28.8
State,1360116,352644,25.9,48837,13.8,136943,38.8,166865,47.3
"Local, total",5002910,723196,14.5,517992,71.6,62280,8.6,142923,19.8
Counties,716004,164281,22.9,85824,52.2,24732,15.1,53725,32.7
Municipalities,3704891,558914,15.1,432168,77.3,37548,6.7,89198,16
,,,,,,,,,
North Carolina,2010446,224172,11.2,103694,46.3,36457,16.3,84020,37.5
State,556942,115331,20.7,18318,15.9,32127,27.9,64886,56.3
"Local, total",1453503,108841,7.5,85376,78.4,4330,4,19134,17.6
Counties,1103261,53154,4.8,32056,60.3,3159,5.9,17940,33.8
Municipalities,177400,55686,31.4,53320,95.8,1172,2.1,1194,2.1
,,,,,,,,,
North Dakota,163846,13349,8.1,6028,45.2,3549,26.6,3773,28.3
State,70985,6069,8.6,869,14.3,2598,42.8,2602,42.9
"Local, total",92861,7280,7.8,5159,70.9,951,13.1,1170,16.1
Counties,16085,3479,21.6,1554,44.7,755,21.7,1170,33.6
Municipalities,22212,3800,17.1,3605,94.9,195,5.1,0,0
,,,,,,,,,
