Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0413.csv,,,,,,,,,,,,,,,,,,,,,
"table #:  13 Justice system employment and payrolls of 68 large county governments by activity, March 2004",,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2004, NCJ 215648",,,,,,,,,,,,,,,,,,,,,
data source:  U.S. Bureau of the Census' Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
date of version:  11/15/2006,,,,,,,,,,,,,,,,,,,,,

"Table 13.  Justice system employment and payrolls of 68 large county governments by activity, March 2004",,,,,,,,,,,,,,,,,,,,,

(Payroll amounts in thousands of dollars),,,,,,,,,,,,,,,,,,,,,

,Total justice system employment,,,,,Police Protection employment,,,,,Judicial and Legal employment,,,,,Corrections employment,,,,,
County,Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),Total employees,Full-time employees,Full-time equivalent,March payrolls,Average earnings of full-time employees (dollars),County

"Alameda, CA","3,690","3,534","3,618","$24,123 ","$6,718 ",909,909,909,"$5,322 ","$5,855 ","1,630","1,593","1,623","$12,067 ","$7,459 ","1,151","1,032","1,086","$6,733 ","$6,333 ","Alameda, CA"
"Allegheny, PA","3,011","2,915","2,978","$9,725 ","$3,300 ",559,558,558,"$2,263 ","$4,054 ","1,769","1,732","1,752","$5,380 ","$3,087 ",683,625,668,"$2,082 ","$3,218 ","Allegheny, PA"
"Baltimore, MD","3,538","3,121","3,259","$12,487 ","$3,916 ","2,705","2,345","2,446","$10,098 ","$4,235 ",442,401,424,"$1,327 ","$3,154 ",391,375,389,"$1,062 ","$2,736 ","Baltimore, MD"
"Bergen, NJ",404,404,404,"$2,335 ","$5,779 ",130,130,130,"$1,138 ","$8,753 ",0,0,0,$0 ,$0 ,274,274,274,"$1,197 ","$4,367 ","Bergen, NJ"
"Bexar, TX",0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,"Bexar, TX"
"Broward, FL","6,050","5,853","5,942","$24,666 ","$4,178 ","3,221","3,046","3,125","$14,328 ","$4,643 ","1,025","1,005","1,014","$3,361 ","$3,325 ","1,804","1,802","1,803","$6,977 ","$3,870 ","Broward, FL"
"Clark, NV",0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,"Clark, NV"

"Contra Costa, CA","2,029","1,871","1,910","$10,249 ","$5,382 ",916,776,801,"$5,022 ","$6,301 ",564,546,560,"$3,060 ","$5,520 ",549,549,549,"$2,167 ","$3,948 ","Contra Costa, CA"
"Cook, IL","14,561","14,531","14,542","$56,410 ","$3,881 ",835,805,816,"$3,820 ","$4,729 ","8,334","8,334","8,334","$31,675 ","$3,801 ","5,392","5,392","5,392","$20,916 ","$3,879 ","Cook, IL"
"Cuyahoga, OH","3,350","3,350","3,350","$10,698 ","$3,194 ",509,509,509,"$1,814 ","$3,564 ","1,772","1,772","1,772","$5,708 ","$3,221 ","1,069","1,069","1,069","$3,176 ","$2,971 ","Cuyahoga, OH"
"Dade, FL","4,589","4,125","4,369","$23,311 ","$5,524 ","4,589","4,125","4,369","$23,311 ","$5,524 ",0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,"Dade, FL"
"Dallas, TX","4,331","4,086","4,143","$16,415 ","$3,968 ",850,850,850,"$3,566 ","$4,195 ","1,261","1,144","1,195","$5,032 ","$4,234 ","2,220","2,092","2,098","$7,818 ","$3,730 ","Dallas, TX"
"Dekalb, GA","2,928","2,753","2,821","$10,567 ","$3,778 ","1,463","1,329","1,374","$5,261 ","$3,906 ",879,838,861,"$3,355 ","$3,888 ",586,586,586,"$1,952 ","$3,332 ","Dekalb, GA"
"Delaware, PA",0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,0,0,0,$0 ,$0 ,"Delaware, PA"

"Du Page, IL","1,407","1,340","1,374","$6,379 ","$4,679 ",662,661,661,"$3,503 ","$5,299 ",460,431,445,"$1,673 ","$3,798 ",285,248,268,"$1,203 ","$4,558 ","Du Page, IL"
"Erie, NY","1,619","1,559","1,579","$6,329 ","$4,024 ",346,325,331,"$1,298 ","$3,935 ",351,346,347,"$1,627 ","$4,694 ",922,888,901,"$3,405 ","$3,796 ","Erie, NY"
