Bureau of Justice Statistics,,,,,,,,,,,,,
filename:  cjee0407.csv,,,,,,,,,,,,,
"table #:  7 Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2004",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2004, NCJ 215648",,,,,,,,,,,,,
data source:  U.S. Bureau of the Census' Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
date of version:  11/15/2006,,,,,,,,,,,,,

"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and type of government, March 2004",,,,,,,,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,,,,,,,

,,Sworn,,,,,,Nonsworn,,,,,
,,Number of employees,,Full-time equivalent employment,,,,Number of employees,,Full-time equivalent employment,,,
State and type of government,Total police protection full-time equivalent employment,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls,Total,Full-time only,Number,Percent of total police protection full-time equivalent,,March payrolls

"States-local, total","892,436","688,909","648,622","663,980",74.4,%,"$3,054,554 ","271,058","204,624","228,456",25.6,%,"$742,002 "
State,"102,945","62,577","61,810","61,985",60.2,,"$295,226 ","42,110","40,164","40,960",39.8,,"$145,560 "
"Local, total","789,491","626,332","586,812","601,995",76.3,,"$2,759,328 ","228,948","164,460","187,496",23.7,,"$596,442 "
Counties,"232,585","165,240","159,241","161,361",69.4,,"$673,358 ","79,683","65,169","71,224",30.6,,"$226,402 "
Municipalities,"556,906","461,092","427,571","440,634",79.1,,"$2,085,970 ","149,265","99,291","116,272",20.9,,"$370,040 "

Alabama,"12,706","10,014","9,407","9,675",76.1,,"$31,586 ","3,489","2,770","3,031",23.9,,"$7,472 "
State,"1,231",636,636,636,51.7,,"$2,862 ",595,595,595,48.3,,"$1,726 "
"Local, total","11,475","9,378","8,771","9,039",78.8,,"$28,724 ","2,894","2,175","2,436",21.2,,"$5,746 "
Counties,"2,839","2,241","2,165","2,200",77.5,,"$6,795 ",705,604,639,22.5,,"$1,384 "
Municipalities,"8,636","7,137","6,606","6,839",79.2,,"$21,928 ","2,189","1,571","1,797",20.8,,"$4,362 "

Alaska,"1,659","1,066","1,043","1,075",64.8,,"$6,025 ",656,566,584,35.2,,"$2,177 "
State,476,275,273,273,57.4,,"$1,639 ",247,193,203,42.6,,$674 
"Local, total","1,183",791,770,802,67.8,,"$4,386 ",409,373,381,32.2,,"$1,503 "
Boroughs,79,54,54,54,68.4,,$264 ,25,25,25,31.6,,$98 
Municipalities,"1,104",737,716,748,67.8,,"$4,122 ",384,348,356,32.2,,"$1,404 "

Arizona,"18,442","13,575","13,408","13,521",73.3,,"$60,741 ","4,994","4,753","4,921",26.7,,"$18,010 "
State,"2,014","1,122","1,122","1,122",55.7,,"$4,613 ",892,891,892,44.3,,"$3,399 "
"Local, total","16,428","12,453","12,286","12,399",75.5,,"$56,128 ","4,102","3,862","4,029",24.5,,"$14,611 "
Counties,"4,353","3,765","3,722","3,728",85.6,,"$12,741 ",639,613,625,14.4,,"$1,876 "
Municipalities,"12,075","8,688","8,564","8,671",71.8,,"$43,387 ","3,463","3,249","3,404",28.2,,"$12,735 "

Arkansas,"7,551","6,173","5,578","5,716",75.7,,"$16,597 ","1,984","1,762","1,835",24.3,,"$3,933 "
State,"1,057",512,512,512,48.4,,"$1,887 ",547,543,545,51.6,,"$1,442 "
"Local, total","6,494","5,661","5,066","5,204",80.1,,"$14,710 ","1,437","1,219","1,290",19.9,,"$2,491 "
Counties,"1,798","1,631","1,433","1,463",81.4,,"$3,461 ",381,318,335,18.6,,$588 
Municipalities,"4,696","4,030","3,633","3,741",79.7,,"$11,249 ","1,056",901,955,20.3,,"$1,903 "

California,"99,234","67,118","65,465","65,952",66.5,,"$438,586 ","36,587","30,592","33,282",33.5,,"$142,938 "
State,"13,513","8,462","7,920","7,982",59.1,,"$49,160 ","5,995","5,331","5,531",40.9,,"$20,569 "
"Local, total","85,721","58,656","57,545","57,970",67.6,,"$389,426 ","30,592","25,261","27,751",32.4,,"$122,369 "
Counties,"30,963","20,922","19,997","20,362",65.8,,"$120,422 ","10,956","10,336","10,601",34.2,,"$47,479 "
Municipalities,"54,758","37,734","37,548","37,608",68.7,,"$269,003 ","19,636","14,925","17,150",31.3,,"$74,891 "

Colorado,"13,373","9,676","9,579","9,650",72.2,,"$47,437 ","3,992","3,532","3,723",27.8,,"$12,683 "
State,"1,181",763,756,761,64.4,,"$3,758 ",421,420,420,35.6,,"$1,508 "
"Local, total","12,192","8,913","8,823","8,889",72.9,,"$43,679 ","3,571","3,112","3,303",27.1,,"$11,175 "
Counties,"3,399","2,467","2,431","2,445",71.9,,"$9,975 ","1,020",913,954,28.1,,"$3,196 "
Municipalities,"8,793","6,446","6,392","6,444",73.3,,"$33,704 ","2,551","2,199","2,349",26.7,,"$7,979 "

Connecticut,"10,910","9,089","8,341","8,568",78.5,,"$44,721 ","3,073","1,994","2,342",21.5,,"$8,039 "
