"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee9407.csv",,,,,,,,,,,,,
"table#:  07",,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  8/20/99",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.  Sworn and nonsworn employment for police protection, payrolls and percent distribution of full-time equivalent employment (FTE),",,,,,,,,,,,,,
"by State and type of government, October 1994",,,,,,,,,,,,,
,,,,,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"                                                         Sworn",,,,,,"                                                   Nonsworn",,,,
,,,,,,,,,,,,,
,"Total",,,,,,,,,,,,
,"police",,"Total","Full",,"Percent",,,"Total ","Full",,"Percent",
"State and type","protection",,"sworn","time",,"of total","October",,"nonsworn","time",,"of total","October"
"of government","FTE",,"employees","only","FTE","FTE","payrolls",,"employees","only","FTE","FTE","payrolls"
,,,,,,,,,,,,,
"States-local, total",747878,,579932,552129,560509,75.0,$1892449,,226630,164417,187369,25.1,$419433
"     State",91702,,56990,56819,56981,62.1,200972,,35450,34132,34721,37.9,88685
"     Local, total",661260,,527200,499561,507783,76.8,1709842,,192092,131024,153477,23.2,333115
"        Counties",187249,,142481,137031,138817,74.1,440868,,55170,44012,48432,25.9,102477
"        Municipalities",479095,,388977,366781,373221,77.9,1287339,,137834,87751,105874,22.1,233006
,,,,,,,,,,,,,
"Alabama",10435,,8101,7851,7899,75.7,19617,,2993,2256,2536,24.3,4232
"     State",1101,,627,627,627,56.9,1927,,474,474,474,43.1,951
"     Local, total",9334,,7474,7224,7272,77.9,17690,,2519,1782,2062,22.1,3282
"        Counties",2085,,1650,1590,1608,77.1,4116,,537,426,477,22.9,752
"        Municipalities",7249,,5824,5634,5664,78.1,13574,,1982,1356,1585,21.9,2530
,,,,,,,,,,,,,
"Alaska",1773,,1169,1146,1157,65.3,6592,,710,577,616,34.7,1985
"     State",418,,268,268,268,64.1,1475,,151,148,150,35.9,472
"     Local, total",1355,,901,878,889,65.6,5117,,559,429,466,34.4,1513
"        Boroughs",75,,57,57,57,76.0,331,,24,13,18,24.0,111
"        Municipalities",1280,,844,821,832,65.0,4786,,535,416,448,35.0,1401
,,,,,,,,,,,,,
"Arizona",11446,,7724,7655,7682,67.1,25677,,3909,3635,3764,32.9,9132
"     State",1667,,922,922,922,55.3,3159,,746,742,745,44.7,1892
"     Local, total",9779,,6802,6733,6760,69.1,22518,,3163,2893,3019,30.9,7240
"        Counties",2343,,1438,1420,1430,61.0,4368,,938,887,913,39.0,2106
"        Municipalities",7436,,5364,5313,5330,71.7,18150,,2225,2006,2106,28.3,5135
,,,,,,,,,,,,,
"Arkansas",5940,,4633,4426,4487,75.5,9289,,1587,1390,1453,24.5,2261
"     State",865,,500,500,500,57.8,1499,,365,365,365,42.2,734
"     Local, total",5075,,4133,3926,3987,78.6,7790,,1222,1025,1088,21.4,1527
"        Counties",1374,,1131,1071,1095,79.7,1864,,320,258,279,20.3,332
"        Municipalities",3701,,3002,2855,2892,78.1,5926,,902,767,809,21.9,1194
,,,,,,,,,,,,,
"California",87592,,62462,60721,61138,70.0,283528,,29608,23712,26454,30.3,74236
"     State",10470,,6054,6054,6054,57.8,23481,,4419,4411,4416,42.2,13494
"     Local, total",77122,,56408,54667,55084,71.6,260047,,25189,19301,22038,28.7,60741
"        Counties",26631,,21019,19961,20135,75.6,95973,,6644,6351,6496,24.4,17989
"        Municipalities",50491,,35389,34706,34949,69.5,164074,,18545,12950,15542,30.9,42752
,,,,,,,,,,,,,
"Colorado",9929,,7420,7298,7318,73.7,23539,,2809,2448,2611,26.3,5870
"     State",1017,,547,547,547,53.8,1706,,470,470,470,46.2,1249
"     Local, total",8912,,6873,6751,6771,76.0,21833,,2339,1978,2141,24.0,4621
"        Counties",2405,,1955,1905,1918,79.8,4961,,532,451,487,20.2,933
"        Municipalities",6507,,4918,4846,4853,74.6,16872,,1807,1527,1654,25.4,3688
,,,,,,,,,,,,,
"Connecticut",9369,,7425,7112,7233,77.2,29998,,2956,1650,2136,22.8,5261
"     State",1585,,977,977,977,61.6,3894,,620,585,608,38.4,1736
"     Local, total",7784,,6448,6135,6256,80.4,26105,,2336,1065,1528,19.6,3525
"        Municipalities",7784,,6448,6135,6256,80.4,26105,,2336,1065,1528,19.6,3525
,,,,,,,,,,,,,
"Delaware",1906,,1406,1386,1388,72.8,5050,,629,409,518,27.2,1047
"     State",719,,491,491,491,68.3,1966,,231,212,228,31.7,484
"     Local, total",1187,,915,895,897,75.6,3084,,398,197,290,24.4,562
"        Counties",444,,304,304,304,68.5,1187,,244,52,140,31.5,283
"        Municipalities",743,,611,591,593,79.8,1897,,154,145,150,20.2,280
,,,,,,,,,,,,,
"District of Columbia",5084,,4258,4251,4255,83.7,18365,,912,739,829,16.3,2368
"     Local, total",5084,,4258,4251,4255,83.7,18365,,912,739,829,16.3,2368
"        Municipality",5084,,4258,4251,4255,83.7,18365,,912,739,829,16.3,2368
,,,,,,,,,,,,,
"Florida",48468,,32686,31967,32333,66.7,110167,,18759,14476,16135,33.3,33884
"     State",3768,,2157,2157,2157,57.2,8733,,1646,1579,1611,42.8,3059
"     Local, total",44700,,30529,29810,30176,67.5,101434,,17113,12897,14524,32.5,30824
"        Counties",21077,,13727,13441,13548,64.3,44338,,8905,6759,7529,35.7,15720
"        Municipalities",23623,,16802,16369,16628,70.4,57096,,8208,6138,6995,29.6,15104
,,,,,,,,,,,,,
"Georgia",19228,,15066,14772,14927,77.6,35919,,5096,3876,4301,22.4,8218
"     State",1678,,810,810,810,48.3,2208,,869,867,868,51.7,2247
"     Local, total",17550,,14256,13962,14117,80.4,33711,,4227,3009,3433,19.6,5971
"        Counties",8349,,6730,6524,6614,79.2,16213,,2077,1523,1735,20.8,3291
"        Municipalities",9201,,7526,7438,7503,81.5,17498,,2150,1486,1698,18.5,2680
,,,,,,,,,,,,,
"Hawaii",3386,,2638,2638,2638,77.9,9252,,887,707,748,22.1,1833
"     State","-",,"-","-","-","-","-",,"-","-","-","-","-"
"     Local, total",3386,,2638,2638,2638,77.9,9252,,887,707,748,22.1,1833
"        Counties",1048,,786,786,786,75.0,2664,,307,245,262,25.0,565
"        Municipalities",2338,,1852,1852,1852,79.2,6588,,580,462,486,20.8,1268
,,,,,,,,,,,,,
"Idaho",3151,,2302,2178,2224,70.6,6043,,1118,821,927,29.4,1762
"     State",403,,271,271,271,67.2,1040,,149,116,132,32.8,402
"     Local, total",2748,,2031,1907,1953,71.1,5003,,969,705,795,28.9,1359
"        Counties",1505,,991,925,957,63.6,2139,,682,480,548,36.4,890
"        Municipalities",1243,,1040,982,996,80.1,2864,,287,225,247,19.9,469
,,,,,,,,,,,,,
"Illinois",43112,,34057,31232,31956,74.1,120296,,13234,10037,11156,25.9,28158
"     State",3722,,2054,2054,2054,55.2,8054,,1672,1661,1668,44.8,4625
"     Local, total",39390,,32003,29178,29902,75.9,112242,,11562,8376,9488,24.1,23533
"        Counties",5379,,3729,3508,3590,66.7,9558,,1924,1655,1789,33.3,3656
"        Municipalities",34011,,28274,25670,26312,77.4,102684,,9638,6721,7699,22.6,19877
,,,,,,,,,,,,,
"Indiana",13812,,10260,9993,10052,72.8,25664,,4784,3293,3760,27.2,6181
"     State",1798,,1061,1061,1061,59.0,2816,,740,735,737,41.0,1472
"     Local, total",12014,,9199,8932,8991,74.8,22847,,4044,2558,3023,25.2,4709
"        Counties",3049,,2224,2157,2179,71.5,4777,,1085,795,870,28.5,1250
"        Municipalities",8965,,6975,6775,6812,76.0,18070,,2959,1763,2153,24.0,3459
,,,,,,,,,,,,,
"Iowa",6152,,4850,4580,4625,75.2,13313,,1869,1315,1527,24.8,3070
"     State",866,,580,580,580,67.0,2380,,287,285,286,33.0,764
"     Local, total",5286,,4270,4000,4045,76.5,10933,,1582,1030,1241,23.5,2306
"        Counties",1614,,1146,1100,1113,69.0,2839,,548,430,501,31.0,891
"        Municipalities",3672,,3124,2900,2932,79.8,8094,,1034,600,740,20.2,1414
,,,,,,,,,,,,,
"Kansas",7255,,5462,5194,5260,72.5,14222,,2308,1806,1995,27.5,3695
"     State",986,,657,657,657,66.6,1970,,347,317,329,33.4,652
"     Local, total",6269,,4805,4537,4603,73.4,12251,,1961,1489,1666,26.6,3043
"        Counties",2110,,1488,1407,1444,68.4,3257,,749,585,666,31.6,1020
"        Municipalities",4159,,3317,3130,3159,76.0,8995,,1212,904,1000,24.0,2024
,,,,,,,,,,,,,
"Kentucky",7765,,5895,5692,5780,74.4,13381,,2343,1788,1985,25.6,3522
"     State",1683,,921,901,917,54.5,2493,,770,754,766,45.5,1612
"     Local, total",6082,,4974,4791,4863,80.0,10888,,1573,1034,1219,20.0,1910
"        Counties",2027,,1721,1571,1629,80.4,3708,,496,342,398,19.6,604
"        Municipalities",4055,,3253,3220,3234,79.8,7180,,1077,692,821,20.2,1305
,,,,,,,,,,,,,
"Louisiana",12556,,10062,9623,9708,77.3,20761,,3506,2538,2848,22.7,5005
"     State",1080,,678,678,678,62.8,1747,,407,398,402,37.2,751
"     Local, total",11476,,9384,8945,9030,78.7,19015,,3099,2140,2446,21.3,4254
"        Parishes",4002,,2900,2776,2802,70.0,5117,,1393,1121,1200,30.0,2328
"        Municipalities",7474,,6484,6169,6228,83.3,13897,,1706,1019,1246,16.7,1927
,,,,,,,,,,,,,
"Maine",2869,,2432,1977,2111,73.6,5898,,1018,643,758,26.4,1475
"     State",601,,366,366,366,60.9,1189,,236,234,235,39.1,526
"     Local, total",2268,,2066,1611,1745,76.9,4709,,782,409,523,23.1,948
"        Counties",377,,412,283,318,84.4,606,,66,54,59,15.6,115
"        Municipalities",1891,,1654,1328,1427,75.5,4103,,716,355,464,24.5,833
,,,,,,,,,,,,,
"Maryland",15411,,12622,12423,12517,81.2,40928,,3482,2356,2894,18.8,6014
"     State",2325,,1585,1579,1581,68.0,4705,,749,742,744,32.0,1463
"     Local, total",13086,,11037,10844,10936,83.6,36223,,2733,1614,2150,16.4,4551
"        Counties",7091,,5882,5711,5800,81.8,20733,,1667,1028,1291,18.2,3060
