"Bureau of Justice Statistics",,,,,,,,,,,," ",,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9415.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table#:  15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  6/25/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 49 large city governments by activity and by character and object, fiscal 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"                                                           Total justice system",,,,,,,,"                                                       Police Protection",,,,,,,,"                                                 Judicial and Legal",,,,,,,,"                                                                          Corrections",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"                            Direct expenditure",,,,,,,,"                        Direct expenditure",,,,,,,,"                     Direct expenditure",,,,,,,,"                                     Direct expenditure",,,,,,,,
,"Fiscal year",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,"               Capital Outlay",,,"Inter-",,
,"ends in",,,,,"Direct","Capital",,"governmental",,,,,"Direct","Capital",,"governmental",,,,,"Direct","Capital",,"governmental",,,,,"Direct",,,"Construction",,"governmental",,
"City","month",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current",,"Total","only",,"expenditure",,"City"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Albuquerque, NM",6,,83405,,83405,81260,2145,,"-",,62707,,62707,60562,2145,,"-",,3190,,3190,3190,"-",,"-",,17508,,17508,17508,,"-","-",,"-",,"Albuquerque, NM"
"Atlanta, GA",12,,127922,,127922,124779,3143,,"-",,99515,,99515,97057,2458,,"-",,11857,,11857,11420,437,,"-",,16550,,16550,16302,,248,"-",,"-",,"Atlanta, GA"
"Austin, TX",9,,69896,,69896,69371,525,,"-",,62514,,62514,62035,479,,"-",,7382,,7382,7336,46,,"-",,"-",,"-","-",,"-","-",,"-",,"Austin, TX"
"Baltimore, MD",6,,196623,,196623,193979,2644,,"-",,167707,,167707,165600,2107,,"-",,28914,,28914,28377,537,,"-",,2,,2,2,,"-","-",,"-",,"Baltimore, MD"
"Baton Rouge, LA",6,,87444,,87444,86029,1415,,"-",,44223,,44223,44223,"-",,"-",,25196,,25196,24582,614,,"-",,18025,,18025,17224,,801,174,,"-",,"Baton Rouge, LA"
"Boston, MA",6,,212184,,212184,202886,9298,,"-",,147089,,147089,138090,8999,,"-",,12419,,12419,12401,18,,"-",,52676,,52676,52395,,281,"-",,"-",,"Boston, MA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buffalo, NY",12,,57147,,57147,57147,"-",,"-",,55545,,55545,55545,"-",,"-",,1602,,1602,1602,"-",,"-",,"-",,"-","-",,"-","-",,"-",,"Buffalo, NY"
"Charlotte, NC",6,,63882,,63882,58415,5467,,"-",,63005,,63005,57538,5467,,"-",,877,,877,877,"-",,"-",,"-",,"-","-",,"-","-",,"-",,"Charlotte, NC"
"Chicago, IL",12,,749198,,749198,744799,4399,,"-",,730575,,730575,726189,4386,,"-",,18623,,18623,18610,13,,"-",,"-",,"-","-",,"-","-",,"-",,"Chicago, IL"
"Cincinnati, OH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cincinnati, OH"
"Cleveland, OH",12,,163392,,162741,156730,6011,,651,,135243,,135243,130052,5191,,"-",,22589,,22589,21975,614,,"-",,5560,,4909,4703,,206,"-",,651,,"Cleveland, OH"
"Columbus, OH",12,,152827,,143367,134053,9314,,9460,,125311,,125311,116055,9256,,"-",,17830,,16639,16581,58,,1191,,9686,,1417,1417,,"-","-",,8269,,"Columbus, OH"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dallas, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas, TX"
"Denver, CO",12,,176999,,176999,173993,3006,,"-",,102102,,102102,99149,2953,,"-",,41265,,41265,41222,43,,"-",,33632,,33632,33622,,10,10,,"-",,"Denver, CO"
"Detroit, MI",6,,330393,,313324,298875,14449,,17069,,286828,,286828,272537,14291,,"-",,42116,,26496,26338,158,,15620,,1449,,"-","-",,"-","-",,1449,,"Detroit, MI"
"El Paso, TX",8,,57962,,57962,54335,3627,,"-",,53150,,53150,49538,3612,,"-",,4812,,4812,4797,15,,"-",,"-",,"-","-",,"-","-",,"-",,"El Paso, TX"
"Fort Worth, TX",9,,65112,,65112,64240,872,,"-",,60278,,60278,59420,858,,"-",,4834,,4834,4820,14,,"-",,"-",,"-","-",,"-","-",,"-",,"Fort Worth, TX"
"Honolulu, HI",6,,139862,,139862,135862,4000,,"-",,118743,,118743,115032,3711,,"-",,21119,,21119,20830,289,,"-",,"-",,"-","-",,"-","-",,"-",,"Honolulu, HI"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Houston, TX",12,,359885,,359885,337673,22212,,"-",,320521,,320521,298819,21702,,"-",,25291,,25291,24781,510,,"-",,14073,,14073,14073,,"-","-",,"-",,"Houston, TX"
"Indianapolis, IN",12,,156127,,153776,146366,7410,,2351,,93399,,93399,86831,6568,,"-",,32797,,32797,32205,592,,"-",,29931,,27580,27330,,250,108,,2351,,"Indianapolis, IN"
"Jacksonville, FL",9,,146096,,146096,143095,3001,,"-",,90496,,90496,89762,734,,"-",,18992,,18992,18825,167,,"-",,36608,,36608,34508,,2100,2031,,"-",,"Jacksonville, FL"
"Kansas City, MO",4,,105638,,105638,105638,"-",,"-",,96437,,96437,96437,"-",,"-",,6614,,6614,6614,"-",,"-",,2587,,2587,2587,,"-","-",,"-",,"Kansas City, MO"
"Long Beach, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Long Beach, CA"
"Los Angeles, CA",6,,742182,,739235,708460,30775,,2947,,692473,,692473,661825,30648,,"-",,46762,,46762,46635,127,,"-",,2947,,"-","-",,"-","-",,2947,,"Los Angeles, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Memphis, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Memphis, TN"
"Miami, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami, FL"
"Milwaukee, WI",12,,141761,,141695,138454,3241,,66,,133293,,133227,130074,3153,,66,,8468,,8468,8380,88,,"-",,"-",,"-","-",,"-","-",,"-",,"Milwaukee, WI"
"Minneapolis, MN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Minneapolis, MN"
"Nashville, TN",6,,141462,,141462,134278,7184,,"-",,81720,,81720,78471,3249,,"-",,32241,,32241,28782,3459,,"-",,27501,,27501,27025,,476,"-",,"-",,"Nashville, TN"
"Newark, NJ",12,,68824,,68824,67101,1723,,"-",,63504,,63504,61781,1723,,"-",,5320,,5320,5320,"-",,"-",,"-",,"-","-",,"-","-",,"-",,"Newark, NJ"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Orleans, LA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Orleans, LA"
"New York, NY",12,,3584448,,3541724,3355393,186331,,42724,,2055203,,2055203,1994597,60606,,"-",,413794,,413730,411723,2007,,64,,1115451,,1072791,949073,,123718,114189,,42660,,"New York, NY"
"Oakland, CA",6,,116394,,116394,115558,836,,"-",,106070,,106070,105234,836,,"-",,10324,,10324,10324,"-",,"-",,"-",,"-","-",,"-","-",,"-",,"Oakland, CA"
"Oklahoma City, OK",6,,73359,,73359,71192,2167,,"-",,65491,,65491,63414,2077,,"-",,7868,,7868,7778,90,,"-",,"-",,"-","-",,"-","-",,"-",,"Oklahoma City, OK"
"Omaha, NE",12,,39697,,37633,37478,155,,2064,,35642,,35642,35487,155,,"-",,1991,,1991,1991,"-",,"-",,2064,,"-","-",,"-","-",,2064,,"Omaha, NE"
"Philadelphia, PA",12,,714406,,714406,668519,45887,,"-",,333694,,333694,328903,4791,,"-",,187352,,187352,183911,3441,,"-",,193360,,193360,155705,,37655,34215,,"-",,"Philadelphia, PA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Phoenix, AZ",6,,203142,,198528,187663,10865,,4614,,168029,,168029,160463,7566,,"-",,30499,,30499,27200,3299,,"-",,4614,,"-","-",,"-","-",,4614,,"Phoenix, AZ"
"Pittsburgh, PA",12,,66229,,66229,66098,131,,"-",,63286,,63286,63188,98,,"-",,2943,,2943,2910,33,,"-",,"-",,"-","-",,"-","-",,"-",,"Pittsburgh, PA"
"Portland, OR",6,,84904,,84904,84470,434,,"-",,82093,,82093,81663,430,,"-",,2811,,2811,2807,4,,"-",,"-",,"-","-",,"-","-",,"-",,"Portland, OR"
"St.Louis, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St.Louis, MO"
"San Antonio, TX",9,,123045,,122409,121368,1041,,636,,113400,,113400,112382,1018,,"-",,9009,,9009,8986,23,,"-",,636,,"-","-",,"-","-",,636,,"San Antonio, TX"
"San Diego, CA",6,,191586,,191586,176972,14614,,"-",,173522,,173522,159535,13987,,"-",,13578,,13578,12951,627,,"-",,4486,,4486,4486,,"-","-",,"-",,"San Diego, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"San Francisco, CA",6,,369613,,369466,350774,18692,,147,,193585,,193585,188575,5010,,"-",,102743,,102693,101951,742,,50,,73285,,73188,60248,,12940,12627,,97,,"San Francisco, CA"
"San Jose, CA",6,,123905,,120287,119291,996,,3618,,118964,,115346,114357,989,,3618,,4941,,4941,4934,7,,"-",,"-",,"-","-",,"-","-",,"-",,"San Jose, CA"
"Seattle, WA",12,,148613,,136786,135148,1638,,11827,,112019,,112019,110981,1038,,"-",,28349,,23118,22518,600,,5231,,8245,,1649,1649,,"-","-",,6596,,"Seattle, WA"
"Toledo, OH",12,,68260,,61393,57864,3529,,6867,,52452,,51471,48058,3413,,981,,7960,,7960,7844,116,,"-",,7848,,1962,1962,,"-","-",,5886,,"Toledo, OH"
"Tucson, AZ",6,,65862,,65862,64671,1191,,"-",,53807,,53807,52789,1018,,"-",,11899,,11899,11726,173,,"-",,156,,156,156,,"-","-",,"-",,"Tucson, AZ"
"Tulsa, OK",6,,60008,,60008,52759,7249,,"-",,56344,,56344,49203,7141,,"-",,3664,,3664,3556,108,,"-",,"-",,"-","-",,"-","-",,"-",,"Tulsa, OK"
"Washington, DC",9,,741074,,741074,709276,31798,,"-",,281368,,281368,270946,10422,,"-",,151850,,151850,146397,5453,,"-",,307856,,307856,291933,,15923,12320,,"-",,"Washington, DC"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Notes:  Fiscal years end in months between July 1993 and June 1994, except for Washington DC, whose fiscal year ended on September 30, 1994.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jurisdictions without data did not report for 1994, but data is available for prior years.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
