"Bureau of Justice Statistics",,,,,,,,,,,,,,,
"filename:  cjee9403.csv",,,,,,,,,,,,,,,
"table#:  03",,,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,
"date of version:  5/3/99",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 3.   Percent distribution of justice system direct expenditure by State and type of government, fiscal 1994",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,"                Total justice system",,,"         Police protection",,,"       Judicial and legal",,,"                 Corrections",
,,,,,,,,,,,,,,,
,,,,,,,,,"Percent",,,"Percent",,,"Percent"
,"Population",,,,,"Percent of",,,"of total",,,"of total",,,"of total"
"State and type",1994,,"Total direct",,,"total direct",,,"justice",,,"justice",,,"justice"
"of government","(thousands)",,"expenditure/a",,"Amount","expenditure/b",,"Amount","system",,"Amount","system",,"Amount","system"
,,,,,,,,,,,,,,,
"States-local, total",260341,,$1260643871,,$88844564,7.0,,$38686536,43.5,,$17880706,20.1,,$32277322,36.3
"     State","-",,551038917,,33495311,6.1,,5324906,15.9,,6904352,20.6,,21266053,63.5
"     Local, total","-",,710365559,,55349253,7.8,,33361630,60.3,,10976354,19.8,,11011269,19.9
"        Counties","-",,160559263,,25856108,16.1,,8886573,34.4,,8235484,31.9,,8734051,33.8
"        Municipalities","-",,257995647,,29493145,11.4,,24475057,83.0,,2740870,9.3,,2277218,7.7
,,,,,,,,,,,,,,,
"Alabama",4219,,17218282,,950656,5.5,,443241,46.6,,206553,21.7,,300862,31.6
"     State","-",,8466068,,425140,5.0,,75131,17.7,,137006,32.2,,213003,50.1
"     Local, total","-",,8752214,,525516,6.0,,368110,70.0,,69547,13.2,,87859,16.7
"        Counties","-",,1074803,,227221,21.1,,98230,43.2,,48598,21.4,,80393,35.4
"        Municipalities","-",,2967447,,298295,10.1,,269880,90.5,,20949,7.0,,7466,2.5
,,,,,,,,,,,,,,,
"Alaska",606,,6932967,,405243,5.8,,144343,35.6,,122478,30.2,,138422,34.2
"     State","-",,4504792,,300856,6.7,,48505,16.1,,114202,38.0,,138149,45.9
"     Local, total","-",,2428175,,104387,4.3,,95838,91.8,,8276,7.9,,273,0.3
"        Boroughs","-",,787803,,13332,1.7,,8865,66.5,,4467,33.5,,"-","-"
"        Municipalities","-",,1595819,,91055,5.7,,86973,95.5,,3809,4.2,,273,0.3
,,,,,,,,,,,,,,,
"Arizona",4075,,17825045,,1500179,8.4,,631064,42.1,,347897,23.2,,521218,34.7
"     State","-",,6944581,,515701,7.4,,95867,18.6,,74378,14.4,,345456,67.0
"     Local, total","-",,10880464,,984478,9.0,,535197,54.4,,273519,27.8,,175762,17.9
"        Counties","-",,2011669,,499372,24.8,,114870,23.0,,208966,41.8,,175536,35.2
"        Municipalities","-",,3233991,,485106,15.0,,420327,86.6,,64553,13.3,,226,"-"
,,,,,,,,,,,,,,,
"Arkansas",2453,,8260984,,448633,5.4,,203447,45.3,,78035,17.4,,167151,37.3
"     State","-",,4530455,,205059,4.5,,43215,21.1,,32226,15.7,,129618,63.2
"     Local, total","-",,3730529,,243574,6.5,,160232,65.8,,45809,18.8,,37533,15.4
"        Counties","-",,659281,,115566,17.5,,44241,38.3,,35244,30.5,,36081,31.2
"        Municipalities","-",,1149673,,128008,11.1,,115991,90.6,,10565,8.3,,1452,1.1
,,,,,,,,,,,,,,,
"California",31431,,171747821,,14949957,8.7,,6358355,42.5,,3249272,21.7,,5342330,35.7
"     State","-",,61175095,,4403619,7.2,,778391,17.7,,312814,7.1,,3312414,75.2
"     Local, total","-",,111330442,,10546338,9.5,,5579964,52.9,,2936458,27.8,,2029916,19.2
"        Counties","-",,33495770,,6204628,18.5,,1630838,26.3,,2621548,42.3,,1952242,31.5
"        Municipalities","-",,31415747,,4341710,13.8,,3949126,91.0,,314910,7.3,,77674,1.8
,,,,,,,,,,,,,,,
"Colorado",3656,,17712083,,1161479,6.6,,542589,46.7,,231408,19.9,,387482,33.4
"     State","-",,6349128,,446948,7.0,,50218,11.2,,121236,27.1,,275494,61.6
"     Local, total","-",,11362955,,714531,6.3,,492371,68.9,,110172,15.4,,111988,15.7
"        Counties","-",,1523157,,241407,15.8,,117564,48.7,,46890,19.4,,76953,31.9
"        Municipalities","-",,5069779,,473124,9.3,,374807,79.2,,63282,13.4,,35035,7.4
,,,,,,,,,,,,,,,
"Connecticut",3275,,18926035,,1206787,6.4,,504174,41.8,,237320,19.7,,465293,38.6
"     State","-",,10707106,,773064,7.2,,99807,12.9,,207964,26.9,,465293,60.2
"     Local, total","-",,8218929,,433723,5.3,,404367,93.2,,29356,6.8,,"-","-"
"        Municipalities","-",,7422094,,433723,5.8,,404367,93.2,,29356,6.8,,"-","-"
,,,,,,,,,,,,,,,
"Delaware",706,,3509797,,243946,7.0,,102517,42.0,,57085,23.4,,84344,34.6
"     State","-",,2197449,,169700,7.7,,35620,21.0,,49736,29.3,,84344,49.7
"     Local, total","-",,1312348,,74246,5.7,,66897,90.1,,7349,9.9,,"-","-"
"        Counties","-",,240645,,33768,14.0,,27599,81.7,,6169,18.3,,"-","-"
"        Municipalities","-",,294629,,40478,13.7,,39298,97.1,,1180,2.9,,"-","-"
,,,,,,,,,,,,,,,
"District of Columbia",570,,6052256,,741074,12.2,,281368,38.0,,151850,20.5,,307856,41.5
"     State","-",,6052256,,741074,12.2,,281368,38.0,,151850,20.5,,307856,41.5
"        Municipality","-",,5115207,,741074,14.5,,281368,38.0,,151850,20.5,,307856,41.5
,,,,,,,,,,,,,,,
"Florida",13953,,59023653,,5725587,9.7,,2612749,45.6,,1085281,19.0,,2027557,35.4
"     State","-",,21226852,,1940216,9.1,,218409,11.3,,475345,24.5,,1246462,64.2
