"Bureau of Justice Statistics",,,,,,,,,,,,,," "
"filename:  cjee9417.csv",,,,,,,,,,,,,,
"table#:  17",,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,
"date of version:  6/25/99",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 17.  Sworn and nonsworn employment for police protection, payrolls and percent ",,,,,,,,,,,,,,
"distribution of full-time equivalent employment (FTE) of 49 large city governments, October 1994",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,
"","                                                                                     Sworn",,,,,,,,"                                                                 Nonsworn",,,,,
"",,,,,,,,,,,,,,
"","                            Number of sworn",,,,,,"Average",,"                        Number of non-sworn",,,,,
"",,,,,"Percent of ","October","earnings of",,,,,,"Percent of ","October"
"","Total ","Total ",,,"total police","payrolls","full-time",,"Total","Total",,,"total police","payrolls"
"","sworn","full-time","Total",,"protection"," (thousands","employees",,"nonsworn","full-time","Total",,"protection"," (thousands"
"City","employees","only","FTE",,"FTE","of dollars)"," (dollars)",,"employees","only","FTE",,"FTE","of dollars)"
,,,,,,,,,,,,,,
"Albuquerque, NM",786,786,786,,68,2164,2753,,432,308,368,,32,603
"Atlanta, GA",1710,1710,1710,,81,4605,2693,,491,375,407,,19,613
"Austin, TX",917,917,917,,69,3568,3891,,420,409,417,,31,895
"Baltimore, MD",3658,3658,3658,,91,11010,3010,,489,120,370,,9,515
"Baton Rouge, LA",930,921,923,,87,2844,3083,,226,114,135,,13,480
"Boston, MA",2252,2252,2252,,75,7260,3224,,951,763,766,,25,1875
,,,,,,,,,,,,,,
"Buffalo, NY",956,956,956,,80,2790,2918,,357,161,234,,20,401
"Charlotte, NC",1217,1217,1217,,83,3361,2762,,314,221,244,,17,522
"Chicago, IL",13164,13164,13164,,80,56789,4314,,3291,3291,3291,,20,10859
"Cincinnati, OH",,,,,,,,,,,,,,
"Cleveland, OH",1754,1754,1754,,79,6115,3486,,808,429,476,,21,1145
"Columbus, OH",1528,1528,1528,,81,7777,5089,,361,361,361,,19,977
,,,,,,,,,,,,,,
"Dallas, TX",,,,,,,,,,,,,,
"Denver, CO",1378,1378,1378,,88,5252,3811,,182,182,182,,12,452
"Detroit, MI",3877,3877,3877,,88,12961,3343,,520,520,520,,12,1383
"El Paso, TX",974,974,974,,81,3116,3200,,238,226,232,,19,408
"Fort Worth, TX",1057,1057,1057,,74,3229,3055,,439,307,364,,26,617
"Honolulu, HI",1852,1852,1852,,79,6588,3557,,580,462,486,,21,1268
,,,,,,,,,,,,,,
"Houston, TX",4918,4918,4918,,71,14324,2913,,2045,2021,2033,,29,3917
"Indianapolis, IN",1543,1518,1531,,76,5192,3407,,552,476,493,,24,873
"Jacksonville, FL",1321,1321,1321,,71,5304,4015,,712,327,529,,29,1024
"Kansas City, MO",1225,1225,1225,,68,4428,3615,,569,569,569,,32,1245
"Long Beach, CA",,,,,,,,,,,,,,
"Los Angeles, CA",7783,7783,7783,,75,38210,4909,,2580,2578,2579,,25,7825
,,,,,,,,,,,,,,
"Memphis, TN",,,,,,,,,,,,,,
"Miami, FL",,,,,,,,,,,,,,
"Milwaukee, WI",1974,1974,1974,,82,5664,2870,,582,370,438,,18,767
"Minneapolis, MN",,,,,,,,,,,,,,
"Nashville, TN",1067,1067,1067,,68,2975,2788,,614,397,500,,32,1024
"Newark, NJ",1045,1045,1045,,84,5241,5016,,274,139,207,,17,633
,,,,,,,,,,,,,,
"New Orleans, LA",,,,,,,,,,,,,,
"New York, NY",36540,34337,34697,,92,135760,3913,,3091,2905,2935,,8,11485
"Oakland, CA",766,764,765,,69,3630,4746,,364,252,344,,31,968
"Oklahoma City, OK",1012,1012,1012,,80,3577,3534,,338,247,261,,21,735
"Omaha, NE",656,656,656,,78,2643,4029,,186,177,183,,22,438
"Philadelphia, PA",6188,6188,6188,,82,20896,3377,,1872,917,1358,,18,4401
,,,,,,,,,,,,,,
"Phoenix, AZ",2186,2186,2186,,77,7345,3360,,682,653,671,,24,1880
"Pittsburgh, PA",1231,1231,1231,,87,4506,3660,,245,29,190,,13,275
"Portland, OR",986,986,986,,72,4253,4314,,398,369,382,,28,1129
"St.Louis, MO",,,,,,,,,,,,,,
"San Antonio, TX",1728,1728,1728,,76,5978,3459,,726,450,537,,24,858
"San Diego, CA",1978,1978,1978,,76,7545,3814,,714,595,641,,25,1668
,,,,,,,,,,,,,,
"San Francisco, CA",1772,1772,1772,,81,8070,4554,,421,421,421,,19,1376
"San Jose, CA",1200,1200,1200,,74,6257,5214,,554,375,424,,26,1504
"Seattle, WA",1242,1226,1242,,69,5435,4401,,649,501,548,,31,1615
"Toledo, OH",712,712,712,,92,2544,3573,,66,66,66,,9,140
"Tucson, AZ",770,770,770,,76,2435,3163,,247,239,244,,24,536
"Tulsa, OK",750,750,750,,87,2522,3363,,114,114,114,,13,217
"Washington, DC",4258,4251,4255,,84,18365,4317,,912,739,829,,16,2368
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Note:  Payroll data shown here may not sum to equal police protection October payroll data in table 16 due to rounding.",,,,,,,,,,,,,,
