"Bureau of Justice Statistics",,,,,,,,,,,,,,
"filename:  cjee9414.csv",,,,,,,,,,,,,,
"table#:  14",,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,
"date of version:  8/10/99",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 14.   Sworn and nonsworn police protection, payrolls and percent distribution of full-time equivalent employment (FTE)",,,,,,,,,,,,,,
"of 68 large county governments, October 1994",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"                                                                           Sworn",,,,,,,,"                                                              Nonsworn",,,,,
,,,,,,,,,,,,,,
,"                         Number of sworn",,,,,,"Average",,"                   Number of non-sworn",,,,,
,,,,,"Percent of ","October","earnings of",,,,,,"Percent of ","October"
,"Total ","Total ",,,"total police","payrolls","full-time",,"Total","Total",,,"total police","payrolls"
,"sworn","full-time","Total",,"protection"," (thousands","employees",,"nonsworn","full-time","Total",,"protection"," (thousands"
"County","employees","only","FTE",,"FTE","of dollars)"," (dollars)",,"employees","only","FTE",,"FTE","of dollars)"
,,,,,,,,,,,,,,
"Alameda, CA",700,700,700,,59.9,3336,4765,,483,466,469,,40.1,1388
"Allegheny, PA",323,323,323,,72.6,980,3033,,122,120,122,,27.4,263
"Baltimore, MD",1521,1521,1521,,86.7,5018,3299,,384,154,233,,13.3,490
"Bergen, NJ",,,,,,,,,,,,,,
"Bexar, TX",330,330,330,,75.5,722,2186,,109,106,107,,24.5,218
"Broward, FL",968,968,968,,95.7,2949,3046,,94,25,44,,4.3,86
"Contra Costa, CA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Cook, IL",501,501,501,,44.4,1527,3048,,628,628,628,,55.6,1787
"Cuyahoga, OH",138,138,138,,27.8,385,2792,,358,358,358,,72.2,779
"Dade, FL",2844,2843,2844,,65.1,13179,4635,,1755,1290,1525,,34.9,3713
"Dallas, TX",301,301,301,,27.1,719,2388,,866,763,810,,72.9,1637
"Delaware, PA",,,,,,,,,,,,,,
"Du Page, IL",133,133,133,,66.2,514,3868,,70,67,68,,33.8,147
"Erie, NY",206,192,195,,63.1,556,2853,,118,108,114,,36.9,294
,,,,,,,,,,,,,,
"Essex, MA",,,,,,,,,,,,,,
"Essex, NJ",520,520,520,,55.9,2007,3859,,411,411,411,,44.1,742
"Fairfax, VA",982,982,982,,74.8,4202,4279,,371,277,330,,25.2,899
"Franklin, OH",228,228,228,,53.9,802,3518,,197,190,195,,46.1,475
"Fresno, CA",477,477,477,,91.2,1676,3513,,46,46,46,,8.8,150
"Fulton, GA",,,,,,,,,,,,,,
"Hamilton, OH",455,455,455,,74.7,1167,2565,,160,148,154,,25.3,452
,,,,,,,,,,,,,,
"Harris, TX",,,,,,,,,,,,,,
"Hennepin, MN",304,296,297,,91.7,1130,3809,,40,21,27,,8.3,95
"Hillsborough, FL",879,879,879,,59,2886,3284,,784,554,610,,41,1171
"Hudson, NJ",,,,,,,,,,,,,,
"Jackson, MO",,,,,,,,,,,,,,
"Jefferson, AL",359,359,359,,96.2,1173,3268,,16,13,14,,3.8,43
"Jefferson, KY",598,589,594,,74.5,1789,3027,,249,174,203,,25.5,360
,,,,,,,,,,,,,,
"King, WA",606,606,606,,70.1,2650,4373,,259,257,258,,29.9,808
"Lake, IN",187,187,187,,77.6,458,2449,,75,50,54,,22.4,91
"Los Angeles, CA",8597,7971,7979,,97.9,44433,5569,,177,160,167,,2.1,759
"Macomb, WI",104,104,104,,78.8,417,4012,,28,26,28,,21.2,67
"Maricopa, AZ",,,,,,,,,,,,,,
"Middlesex, MA","-","-","-",,"-","-","-",,"-","-","-",,"-","-"
"Middlesex, NJ",126,126,126,,72,524,4159,,55,47,49,,28,119
,,,,,,,,,,,,,,
"Milwaukee, WI",365,365,365,,91.5,1269,3478,,34,34,34,,8.5,109
"Monmouth, NJ",36,36,36,,40,106,2931,,54,54,54,,60,112
"Monroe, NY",409,339,390,,87.6,1306,3692,,60,49,55,,12.4,182
"Montgomery, MD",1255,1102,1180,,84.2,4935,4323,,224,220,222,,15.8,716
"Montgomery, OH",329,329,329,,87,1022,3107,,49,49,49,,13,153
"Montgomery, PA",,,,,,,,,,,,,,
"Multnomah, OR",186,173,179,,71.6,625,3536,,74,67,71,,28.4,171
,,,,,,,,,,,,,,
"Nassau, NY",2971,2971,2971,,79.5,13976,4704,,1159,621,765,,20.5,2540
"Norfolk, MA","-","-","-",,"-","-","-",,"-","-","-",,"-","-"
"Oakland, MI",257,232,251,,64.4,937,3851,,148,113,139,,35.6,354
"Oklahoma, OK",85,85,85,,81.7,168,1978,,22,14,19,,18.3,26
"Orange, CA",1350,1350,1350,,55,7428,5502,,1106,1103,1105,,45,3035
"Palm Beach, FL",843,843,843,,51.8,3562,4225,,847,747,785,,48.2,2002
"Pima, AZ",407,407,407,,72.9,1333,3275,,153,148,151,,27.1,366
,,,,,,,,,,,,,,
"Pinellas, FL",653,653,653,,65.7,2032,3111,,405,333,341,,34.3,766
"Prince Georges, MD",1269,1269,1269,,75.6,4715,3716,,468,315,410,,24.4,854
"Riverside, CA",718,717,717,,62.9,3743,5217,,443,414,422,,37.1,1163
"Sacramento, CA",,,,,,,,,,,,,,
"St. Louis, MO",559,559,559,,70.1,1703,3046,,239,237,238,,29.9,725
"Salt Lake, UT",330,330,330,,56.6,1082,3280,,332,182,253,,43.4,524
"San Bernadino, CA",962,903,911,,59.7,3976,4376,,618,607,614,,40.3,1595
,,,,,,,,,,,,,,
"San Diego, CA",1271,1261,1268,,51.3,5396,4259,,1210,1182,1204,,48.7,2863
"San Mateo, CA",248,245,247,,67.5,1377,5602,,119,111,119,,32.5,349
"Santa Clara, CA",228,228,228,,51.5,1129,4951,,252,191,215,,48.5,846
"Shelby, TN",,,,,,,,,,,,,,
"Suffolk, NY",3343,3343,3343,,96.9,15735,4707,,360,"-",108,,3.1,228
"Summit, OH",105,105,105,,52.2,316,3007,,102,86,96,,47.8,194
,,,,,,,,,,,,,,
