"Bureau of Justice Statistics",,,,,,,,,
"filename:  cjee9419.csv",,,,,,,,,
"table#:  19",,,,,,,,,
"NCJ #:  175706",,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,
"date of version: 6/25/99",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Table 19. Supplemental data for 68 large county governments, 1994",,,,,,,,,
,,,,,,,,,
,,,"                                   Expenditures, fiscal 1994",,,,,"   Full-time equivalent employment",
,,,"                                     (thousands of dollars)",,,,,"                October, 1994",
,,,,,,,,,
,,,"                           All functions",,,,,,
,"Population",,"Total (direct and","Direct expenditure",,"Total general",,,"General functions"
"County"," 1990/a",,"intergovernmental)","only",,"expenditure/b",,"All functions","only/c"
,,,,,,,,,
"Alameda, CA",1279182,,1422661,1271026,,1356453,,10339,10339
"Allegheny, PA",1336449,,1091282,1042350,,1056343,,8039,8039
"Baltimore, MD",692134,,1356343,1314033,,1291800,,22387,22387
"Bergen, NJ",825380,,521859,496418,,521859,,7501,7501
"Bexar, TX",1185394,,562084,536482,,561507,,7882,7882
"Broward, FL",1255488,,1005061,976009,,914197,,9576,8419
"Contra Costa, CA",803732,,1032136,1031195,,971868,,,
,,,,,,,,,
"Cook, IL",5105067,,1866730,1835881,,1749775,,27220,27220
"Cuyahoga, OH",1412140,,1130307,1118039,,1130307,,16007,16007
"Dade, FL",1937094,,4039939,4028697,,3687183,,35141,31183
"Dallas, TX",1852810,,765572,765317,,763072,,11233,11233
"Delaware, PA",547651,,250089,241304,,243689,,,
"Du Page, IL",781666,,249812,244846,,248434,,2807,2795
"Erie, NY",968532,,1180233,916600,,1158594,,9862,9569
,,,,,,,,,
"Essex, MA",670080,,51719,51719,,40237,,,
"Essex, NJ",778206,,676014,631926,,676014,,7978,7978
"Fairfax, VA",818584,,2312574,2274382,,2069309,,34855,34467
"Franklin, OH",961437,,519213,503252,,518562,,6234,6234
"Fresno, CA",667490,,918630,912051,,885489,,8561,8561
"Fulton, GA",648951,,788611,408114,,741230,,5893,5859
