"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9411.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table#:  11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  6/25/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 11. Justice system employment and payrolls of State governments by activity, October 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                                     Total justice system",,,,,,,"                                                              Police protection",,,,,,,"                                                                     Judicial and Legal",,,,,,,"                                                                               Corrections",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Average",,,,,,,"Average",,,,,,,"Average",,,,,,,"Average",,
,"                                                 Employment",,,,"October","earnings of",,"                                     Employment",,,,"October","earnings of",,"                                               Employment",,,,"October","earnings of",,"                                                 Employment",,,,"October","earnings of",,
,,,,,"payrolls","full-time",,,,,,"payrolls","full-time",,,,,,"payrolls","full-time",,,,,,"payrolls","full-time",,
,"Total","Full-time","Full-time",,"(thousands","employees",,"Total","Full-time","Full-time",,"(thousands","employees",,"Total","Full-time","Full-time",,"(thousands","employees",,"Total","Full-time","Full-time",,"(thousands","employees",,"State"
"State","employees","employees","equivalent",,"of dollars)","(dollars)",,"employees","employees","equivalent",,"of dollars)","(dollars)",,"employees","employees","equivalent",,"of dollars)","(dollars)",,"employees","employees","equivalent",,"of dollars)","(dollars)",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
