"Bureau of Justice Statistics",,,,,,,,,
"filename:  cjee9402.csv",,,,,,,,,
"table#:  02",,,,,,,,,
"NCJ #:  175706",,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,
"date of version:  5/3/99",,,,,,,,,
,,,,,,,,,
"Table 2. Percent distribution of employment and payrolls for the justice system by type of government, October 1994",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"(Payroll amount in thousands of dollars)",,,,,,,"                             Percent distribution",,
,,,,,,,,,
,,,"Federal","State","Local",,"Federal","State","Local"
"Activity","All governments",,"Government","governments","governments",,"Government","governments","governments"
,,,,,,,,,
"Total justice system:",,,,,,,,,
"   Total employees",1901773,,161058,599452,1141263,,8.5,31.5,60.0
"   Full time employees","-",,"-",579654,1012110,,"-",33.2,57.9
"   Full-time eqivalent employment","-",,"-",590029,1059464,,"-",35.8,64.2
"   October payrolls",5399260,,656454,1632246,3110560,,12.2,30.2,57.6
,,,,,,,,,
"Police protection:",,,,,,,,,
"   Total employees",890384,,84048,87270,719066,,9.4,9.8,80.8
"   Full time employees","-",,"-",85961,630362,,"-",10.8,79.0
"   Full-time equivalent employment","-",,"-",86618,661054,,"-",11.6,88.4
"   October payrolls",2674154,,362775,268925,2042455,,13.6,10.1,76.4
,,,,,,,,,
"Judicial and legal:",,,,,,,,,
"   Total employees",390731,,50872,123088,216771,,13,31.5,55.5
"   Full time employees","-",,"-",115678,189615,,"-",32.7,53.7
"   Full-time equivalent employment","-",,"-",119860,199465,,"-",37.5,62.5
"   October payrolls",1144726,,205303,396719,542703,,17.9,34.7,47.4
,,,,,,,,,
"Corrections:",,,,,,,,,
"   Total employees",620658,,26138,389094,205426,,4.2,62.7,33.1
"   Full time employees","-",,"-",378015,192133,,"-",63.4,32.2
"   Full-time equivalent employment","-",,"-",383551,198945,,"-",65.8,34.2
"   October payrolls",1580380,,88376,966602,525402,,5.6,61.2,33.2
,,,,,,,,,
,,,,,,,,,
"Note:  Local government data are estimates subject to sampling variability.",,,,,,,,,
"The Federal Budget source provides only total employment for the Federal Government;",,,,,,,,,
"that figure is included in the denominator used to compute the percent distribution of full time",,,,,,,,,
"employees and full time equivalent employment for State and local governments.",,,,,,,,,
