"Bureau of Justice Statistics",,,,,,,,,,,,,,
"filename:  cjee9408.csv",,,,,,,,,,,,,,
"table#:  08",,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,
"date of version:  5/3/99",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal 1994) and full-time equivalent justice employment per 10,000 population",,,,,,,,,,,,,,
"(October 1994) of State and local governments by activity and State",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,"                            Full-time equivalent justice employment per",,,,,,
,,,"                     Per capita justice expenditure, fiscal 1994",,,,,"                                      10,000 population, October 1994",,,,,,
,,,,,,,,,,,,,,
,"Population",,"Total",,,,,"Total",,"           Police protection",,,,
,1994,,"justice","Police","Judicial",,,"justice",,,,,"Judicial",
"State","(thousands)",,"system","Protection","and legal","Corrections",,"system",,"Total","Sworn only",,"and legal","Corrections"
,,,,,,,,,,,,,,
"Total",260341,,$341.26,$148.6,$68.68,$123.98,,63.4,,28.7,21.5,,12.3,22.4
,,,,,,,,,,,,,,
"Alabama",4219,,225.33,105.06,48.96,71.31,,50.5,,24.7,18.7,,9.8,15.9
"Alaska",606,,668.72,238.19,202.11,228.42,,71.5,,29.3,19.1,,20.3,21.9
"Arizona",4075,,368.14,154.86,85.37,127.91,,72.3,,28.1,18.9,,16.5,27.7
"Arkansas",2453,,182.89,82.94,31.81,68.14,,48.9,,24.2,18.3,,7.7,17
"California",31431,,475.64,202.3,103.38,169.97,,60.3,,27.8,19.5,,11.9,20.6
,,,,,,,,,,,,,,
"Colorado",3656,,317.69,148.41,63.3,105.99,,58.1,,27.2,20,,12.6,18.3
"Connecticut",3275,,368.48,153.95,72.46,142.07,,63.2,,28.6,22.1,,11,23.5
"Delaware",706,,345.53,145.21,80.86,119.47,,68.6,,27,19.7,,20.1,21.4
"District of Columbia",570,,1300.13,493.63,266.4,540.1,,202.3,,89.2,74.6,,32.6,80.4
"Florida",13953,,410.35,187.25,77.78,145.31,,80.3,,34.7,23.2,,15.6,30.1
,,,,,,,,,,,,,,
"Georgia",7055,,294.32,119.15,43.81,131.37,,72.4,,27.3,21.2,,10.2,34.9
"Hawaii",1179,,369.90,153.82,123.45,92.63,,71.4,,28.7,22.4,,23.8,18.9
"Idaho",1133,,249.03,117.8,52.64,78.59,,57.6,,27.8,19.6,,12.5,17.3
"Illinois",11752,,320.93,170.79,57.38,92.77,,66.9,,36.7,27.2,,12.7,17.6
"Indiana",5752,,204.07,89.39,37.93,76.75,,50.8,,24,17.5,,10,16.9
,,,,,,,,,,,,,,
"Iowa",2829,,219.06,104.91,57.85,56.31,,42.3,,21.7,16.3,,10.1,10.5
"Kansas",2554,,254.78,119.13,54.29,81.37,,61.7,,28.4,20.6,,12.2,21.1
"Kentucky",3827,,197.82,82.74,42.83,72.25,,50.8,,20.3,15.1,,12,18.5
"Louisiana",4315,,286.08,145.18,50.52,90.38,,65.2,,29.1,22.5,,13.8,22.3
"Maine",1240,,195.78,87.81,36.29,71.68,,44.3,,23.1,17,,6.2,14.9
,,,,,,,,,,,,,,
"Maryland",5006,,380.41,150.22,70.18,160.01,,67.7,,30.8,25,,12.4,24.5
