"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9409.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table#:  09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  5/3/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of State governments by activity and by character and object, fiscal 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                                            Total justice system",,,,,,,,"                                                    Police protection",,,,,,,,"                                                Judicial and Legal",,,,,,,,"                                                                        Corrections",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"                             Direct expenditure",,,,,,,,"                      Direct expenditure",,,,,,,,"                      Direct expenditure",,,,,,,,"                                        Direct expenditure",,,,,,,,
,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,"                  Capital outlay",,,"Inter-",,
,,,,,,,"govern-",,,,,,,,"govern-",,,,,,,,"govern-",,,,,,,,,,"govern-",,
,,,,"Direct","Capital",,"mental",,,,,"Direct","Capital",,"mental",,,,,"Direct","Capital",,"mental",,,,,"Direct",,,"Construction",,"mental",,
"State","Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current",,"Total","only",,"expenditure",,"State"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total",$37161391,,$33495311,$30701283,$2794028,,$3666080,,$6000330,,$5324906,$4920284,$404622,,$675424,,$8026326,,$6904352,$6685363,$218989,,$1121974,,$23134735,,$21266053,$19095636,,$2170417,$1833456,,$1868682,,"Total"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alabama",440536,,425140,406508,18632,,15396,,86839,,75131,70063,5068,,11708,,137006,,137006,132267,4739,,"-",,216691,,213003,204178,,8825,4952,,3688,,"Alabama"
"Alaska",311322,,300856,282455,18401,,10466,,54946,,48505,47675,830,,6441,,114202,,114202,101685,12517,,"-",,142174,,138149,133095,,5054,3636,,4025,,"Alaska"
"Arizona",563615,,515701,498482,17219,,47914,,98449,,95867,89598,6269,,2582,,81169,,74378,70684,3694,,6791,,383997,,345456,338200,,7256,2110,,38541,,"Arizona"
"Arkansas",211902,,205059,194425,10634,,6843,,44492,,43215,38677,4538,,1277,,35111,,32226,31746,480,,2885,,132299,,129618,124002,,5616,2265,,2681,,"Arkansas"
"California",5223583,,4403619,3922229,481390,,819964,,868550,,778391,724970,53421,,90159,,855663,,312814,308315,4499,,542849,,3499370,,3312414,2888944,,423470,377781,,186956,,"California"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colorado",460883,,446948,405181,41767,,13935,,50283,,50218,42261,7957,,65,,121236,,121236,117527,3709,,"-",,289364,,275494,245393,,30101,8556,,13870,,"Colorado"
"Connecticut",773111,,773064,683594,89470,,47,,99854,,99807,87133,12674,,47,,207964,,207964,196804,11160,,"-",,465293,,465293,399657,,65636,55911,,"-",,"Connecticut"
"Delaware",175542,,169700,166208,3492,,5842,,37631,,35620,33965,1655,,2011,,53567,,49736,48937,799,,3831,,84344,,84344,83306,,1038,501,,"-",,"Delaware"
"Florida",1941994,,1940216,1817796,122420,,1778,,219897,,218409,206199,12210,,1488,,475490,,475345,465580,9765,,145,,1246607,,1246462,1146017,,100445,76206,,145,,"Florida"
"Georgia",845930,,819796,764873,54923,,26134,,117140,,115128,107678,7450,,2012,,58331,,56172,55643,529,,2159,,670459,,648496,601552,,46944,33908,,21963,,"Georgia"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hawaii",236364,,228375,214590,13785,,7989,,11127,,5922,5783,139,,5205,,116029,,113245,108707,4538,,2784,,109208,,109208,100100,,9108,7311,,"-",,"Hawaii"
"Idaho",134178,,132338,109395,22943,,1840,,35189,,34150,24259,9891,,1039,,29166,,29166,28627,539,,"-",,69823,,69022,56509,,12513,9947,,801,,"Idaho"
"Illinois",1188187,,1113435,1066228,47207,,74752,,245168,,213495,203261,10234,,31673,,203235,,196074,193196,2878,,7161,,739784,,703866,669771,,34095,27490,,35918,,"Illinois"
"Indiana",499359,,473146,445732,27414,,26213,,115189,,113181,105052,8129,,2008,,54507,,54507,53377,1130,,"-",,329663,,305458,287303,,18155,10811,,24205,,"Indiana"
"Iowa",334766,,296264,292355,3909,,38502,,51218,,51218,50227,991,,"-",,120358,,120073,118453,1620,,285,,163190,,124973,123675,,1298,14,,38217,,"Iowa"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kansas",308546,,295005,280820,14185,,13541,,40692,,40692,33863,6829,,"-",,86742,,86620,86014,606,,122,,181112,,167693,160943,,6750,4748,,13419,,"Kansas"
"Kentucky",466378,,423053,388718,34335,,43325,,104819,,89833,85438,4395,,14986,,154732,,141590,138357,3233,,13142,,206827,,191630,164923,,26707,20379,,15197,,"Kentucky"
"Louisiana",540846,,460909,455261,5648,,79937,,121458,,96903,94422,2481,,24555,,92690,,92690,91001,1689,,"-",,326698,,271316,269838,,1478,130,,55382,,"Louisiana"
"Maine",119894,,119894,118477,1417,,"-",,27112,,27112,26575,537,,"-",,37089,,37089,36818,271,,"-",,55693,,55693,55084,,609,210,,"-",,"Maine"
"Maryland",1112527,,1042664,939279,103385,,69863,,203783,,147348,138267,9081,,56435,,219421,,219335,209369,9966,,86,,689323,,675981,591643,,84338,75901,,13342,,"Maryland"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts",1203651,,950277,882756,67521,,253374,,198704,,177644,167549,10095,,21060,,372075,,347544,314456,33088,,24531,,632872,,425089,400751,,24338,18059,,207783,,"Massachusetts"
"Michigan",1452703,,1376428,1352938,23490,,76275,,211747,,201287,196041,5246,,10460,,211735,,160232,156255,3977,,51503,,1029221,,1014909,1000642,,14267,3521,,14312,,"Michigan"
"Minnesota",476637,,384046,361521,22525,,92591,,110064,,68216,59733,8483,,41848,,132464,,117817,114961,2856,,14647,,234109,,198013,186827,,11186,8564,,36096,,"Minnesota"
