"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9413.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table#:  13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version:  6/25/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 13.  Justice system employment and payrolls of 68 large county governments by activity, October 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                      Total justice system",,,,,,,"                                          Police Protection",,,,,,,"                                          Judicial and Legal",,,,,,,"                                             Corrections",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                                    Employment",,,,,"Average",,"                               Employment",,,,,"Average",,"                                  Employment",,,,,"Average",,"                                  Employment",,,,,"Average",,
,,,,,"October","earnings of",,,,,,"October","earnings of",,,,,,"October","earnings of",,,,,,"October","earnings of",,
,,,,,"payrolls","full-time",,,,,,"payrolls","full-time",,,,,,"payrolls","full-time",,,,,,"payrolls","full-time",,
,"Total","Full-time","Full-time",," (thousands","employees",,"Total","Full-time","Full-time",," (thousands","employees",,"Total","Full-time","Full-time",," (thousands","employees",,"Total","Full-time","Full-time",," (thousands","employees",,
"County","employees","employees","equivalent",,"of dollars)","(dollars)",,"employees","employees","equivalent",,"of dollars)","(dollars)",,"employees","employees","equivalent",,"of dollars)","(dollars)",,"employees","employees","equivalent",,"of dollars)","(dollars)",,"County"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA",3113,2900,3022,,$11924,$3967,,1183,1166,1169,,$4724,$4045,,1295,1218,1263,,$5178,$4099,,635,516,590,,$2022,$3479,,"Alameda, CA"
"Allegheny, PA",2585,2497,2564,,6893,2736,,445,443,445,,1243,2799,,1286,1232,1267,,2872,2306,,854,822,852,,2778,3348,,"Allegheny, PA"
"Baltimore, MD",2559,2306,2402,,7413,3144,,1905,1675,1754,,5508,3217,,288,275,283,,863,3045,,366,356,365,,1042,2875,,"Baltimore, MD"
"Bergen, NJ",1486,1460,1481,,5175,3502,,547,539,546,,2622,4825,,759,747,757,,2109,2787,,180,174,178,,444,2475,,"Bergen, NJ"
"Bexar, TX",3032,3000,3014,,6094,2024,,439,436,437,,940,2152,,785,761,772,,1696,2204,,1808,1803,1805,,3458,1917,,"Bexar, TX"
"Broward, FL",3136,3036,3079,,7927,2597,,1062,993,1012,,3035,3034,,930,899,923,,2029,2234,,1144,1144,1144,,2864,2503,,"Broward, FL"
"Contra Costa, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Contra Costa, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
