"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee9412.csv",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"table#:  12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NCJ #:  175706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source:  1994 Criminal Justice Expenditure and Employment Extracts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"authors:  Lea S. Gifford and Sue Lindgren",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"date of version: 6/25/99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 12.   Justice system expenditures of 68 large county governments by activity and by character and object, fiscal 1994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,"                                                            Total justice system",,,,,,,,"                                                     Police Protection",,,,,,,,"                                               Judicial and Legal",,,,,,,,"                                                                               Corrections",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"                          Direct expenditure",,,,,,,,"                        Direct expenditure",,,,,,,,"                   Direct expenditure",,,,,,,,"                                       Direct expenditure",,,,,,,,
,"Fiscal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"year",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,,"Inter-",,,,,,,"                   Capital outlay",,,"Inter-",,
,"ends in",,,,,"Direct","Capital",,"governmental",,,,,"Direct","Capital",,"governmental",,,,,"Direct","Capital",,"governmental",,,,,"Direct",,,,,"governmental",,
"County","month",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current","outlay",,"expenditure",,"Total",,"Total","current",,"Total","Construction only",,"expenditure",,"County"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA",6,,$243811,,$243811,$240800,$3011,,"-",,$27177,,$27177,$27070,$107,,"-",,$120498,,$120498,$119545,$953,,"-",,$96136,,$96136,$94185,,$1951,$1769,,"-",,"Alameda, CA"
"Allegheny, PA",12,,122367,,122367,121821,546,,"-",,20383,,20383,20310,73,,"-",,56908,,56908,56564,344,,"-",,45076,,45076,44947,,129,"-",,"-",,"Allegheny, PA"
"Baltimore, MD",6,,92208,,92208,91610,598,,"-",,69346,,69346,68954,392,,"-",,11624,,11624,11539,85,,"-",,11238,,11238,11117,,121,"-",,"-",,"Baltimore, MD"
"Bergen, NJ",12,,69350,,69350,67497,1853,,"-",,10970,,10970,10056,914,,"-",,33508,,33508,32636,872,,"-",,24872,,24872,24805,,67,"-",,"-",,"Bergen, NJ"
"Bexar, TX",12,,118120,,118120,96495,21625,,"-",,21147,,21147,14247,6900,,"-",,34504,,34504,34351,153,,"-",,62469,,62469,47897,,14572,13517,,"-",,"Bexar, TX"
"Broward, FL",9,,245512,,243963,240541,3422,,$1549,,114726,,113220,111303,1917,,$1506,,47822,,47781,46660,1121,,$41,,82964,,82962,82578,,384,95,,$2,,"Broward, FL"
"Contra Costa, CA",6,,150994,,150994,149980,1014,,"-",,34892,,34892,34606,286,,"-",,62887,,62887,62306,581,,"-",,53215,,53215,53068,,147,"-",,"-",,"Contra Costa, CA"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cook, IL",11,,620650,,620650,533233,87417,,"-",,39148,,39148,39148,"-",,"-",,290996,,290996,288110,2886,,"-",,290506,,290506,205975,,84531,84531,,"-",,"Cook, IL"
"Cuyahoga, OH",12,,189667,,181334,147495,33839,,8333,,14283,,14283,13128,1155,,"-",,98375,,96783,85224,11559,,1592,,77009,,70268,49143,,21125,21087,,6741,,"Cuyahoga, OH"
"Dade, FL",9,,580098,,579074,548195,30879,,1024,,289963,,289963,286481,3482,,"-",,130401,,129377,117858,11519,,1024,,159734,,159734,143856,,15878,15540,,"-",,"Dade, FL"
"Dallas, TX",12,,202395,,202395,180000,22395,,"-",,19398,,19398,19234,164,,"-",,86319,,86319,65423,20896,,"-",,96678,,96678,95343,,1335,1036,,"-",,"Dallas, TX"
"Delaware, PA",12,,43882,,43590,43590,"-",,292,,5046,,5046,5046,"-",,"-",,20239,,20239,20239,"-",,"-",,18597,,18305,18305,,"-","-",,292,,"Delaware, PA"
"Du Page, IL",11,,57743,,57743,39823,17920,,"-",,12258,,12258,11870,388,,"-",,15952,,15952,15372,580,,"-",,29533,,29533,12581,,16952,16920,,"-",,"Du Page, IL"
"Erie, NY",12,,81686,,80020,77895,2125,,1666,,25326,,25326,23339,1987,,"-",,16408,,16408,16366,42,,"-",,39952,,38286,38190,,96,"-",,1666,,"Erie, NY"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Essex, MA",6,,25972,,25972,25725,247,,"-",,"-",,"-","-","-",,"-",,1528,,1528,1528,"-",,"-",,24444,,24444,24197,,247,"-",,"-",,"Essex, MA"
"Essex, NJ",12,,121072,,121072,118283,2789,,"-",,14606,,14606,14573,33,,"-",,65709,,65709,64432,1277,,"-",,40757,,40757,39278,,1479,1479,,"-",,"Essex, NJ"
"Fairfax, VA",6,,113435,,112350,112350,"-",,1085,,76513,,76513,76513,"-",,"-",,11887,,11887,11887,"-",,"-",,25035,,23950,23950,,"-","-",,1085,,"Fairfax, VA"
"Franklin, OH",12,,90650,,90650,89026,1624,,"-",,14149,,14149,14149,"-",,"-",,47792,,47792,47572,220,,"-",,28709,,28709,27305,,1404,1065,,"-",,"Franklin, OH"
