"Bureau of Justice Statistics																					",,,,,,,,,,,,,,,,,,,,,
"Filename: jeee12fut09.csv																					",,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of state governments, by activity and character and object, fiscal 2012																					",,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,,,,,,,,,,,,,,,,
"Data source: Justice Expenditure and Employment Extracts Program (JEEE)																					",,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,
"Date of version: 7/7/2021															",,,,,,,,,,,,,,,,,,,,,
"																					",,,,,,,,,,,,,,,,,,,,,
"Table 9. Justice system expenditure of state governments, by activity and character and object, fiscal 2012																					",,,,,,,,,,,,,,,,,,,,,
"(Thousands of dollars)																					",,,,,,,,,,,,,,,,,,,,,
"																					",,,,,,,,,,,,,,,,,,,,,
State,Total justice system total expenditure,Total justice system direct expenditure total,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure,Police protection direct expenditure total,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure,Judicial and legal direct expenditure total ,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Correctional total expenditure,Corrections direct expenditure total,Corrections direct current expenditure,Corrections total capital outlay,Corrections construction only capital outlay,Corrections intergovernmental expenditure
U.S. total,"85,299,235","79,374,380","75,744,329","3,630,051","5,924,855","13,926,543","12,376,894","11,665,684","711,210","1,549,649","22,902,504","21,246,918","20,176,794","1,070,124","1,655,586","48,470,188","45,750,568","43,901,851","1,848,717","1,442,342","2,719,620"
Alabama,"866,374","829,157","804,950","24,207","37,217","119,458","115,031","103,233","11,798","4,427","202,385","199,271","197,484","1,787","3,114","544,531","514,855","504,233","10,622","1,229","29,676"
Alaska,"695,955","669,817","646,925","22,892","26,138","146,284","120,605","118,993","1,612","25,679","237,025","236,566","230,879","5,687",459,"312,646","312,646","297,053","15,593","14,944",0
Arizona,"1,387,700","1,294,495","1,242,915","51,580","93,205","240,861","229,066","208,274","20,792","11,795","218,908","177,721","174,080","3,641","41,187","927,931","887,708","860,561","27,147","7,792","40,223"
Arkansas,"604,652","598,852","598,852",0,"5,800","112,264","111,890","111,890",0,374,"117,040","114,618","114,618",0,"2,422","375,348","372,344","372,344",0,0,"3,004"
