Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee12fut15.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2012",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326											",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 15. Justice system expenditure of 66 large city governments, by activity and character and object, fiscal 2012",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
City,Fiscal year ends in month of,Total justice system total expenditure ,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure ,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure ,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections total capital outlay ,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Albuquerque, NM",6,"166,847","166,847","165,510","1,337",-,"162,415","162,415","161,078","1,337",-,"4,432","4,432","4,432",-,-,-,-,-,-,-,-
"Anaheim, CA",6,"114,039","114,039","113,792",247,-,"108,479","108,479","108,287",192,-,"5,560","5,560","5,505",55,-,-,-,-,-,-,-
"Arlington, TX",9,"92,331","92,331","92,304",27,-,"84,658","84,658","84,631",27,-,"7,673","7,673","7,673",-,-,-,-,-,-,-,-
"Atlanta, GA",6,"211,329","211,329","209,885","1,444",-,"171,937","171,937","170,493","1,444",-,"12,144","12,144","12,144",-,-,"27,248","27,248","27,248",-,-,-
"Aurora, CO",12,"94,085","94,085","93,930",155,-,"86,225","86,225","86,158",67,-,"7,860","7,860","7,772",88,-,-,-,-,-,-,-
"Austin, TX",9,"296,319","296,319","278,184","18,135",-,"269,199","269,199","251,071","18,128",-,"27,120","27,120","27,113",7,-,-,-,-,-,-,-
"Bakersfield, CA",6,"69,866","69,866","69,317",549,-,"68,489","68,489","67,940",549,-,"1,377","1,377","1,377",-,-,-,-,-,-,-,-
"Baltimore, MD",6,"420,647","420,647","414,148","6,499",-,"371,545","371,545","365,046","6,499",-,"49,102","49,102","49,102",-,-,-,-,-,-,-,-
"Baton Rouge, LA",12,"257,521","244,385","225,437","18,948","13,136","125,797","125,797","121,657","4,140",-,"91,985","78,849","64,724","14,125","13,136","39,739","39,739","39,056",683,4,-
"Boston, MA",6,"321,327","321,327","316,854","4,473",-,"315,766","315,766","311,312","4,454",-,"5,561","5,561","5,542",19,-,-,-,-,-,-,-
"Buffalo, NY",6,"83,298","83,298","79,754","3,544",-,"79,354","79,354","75,810","3,544",-,"3,944","3,944","3,944",-,-,-,-,-,-,-,-
"Charlotte, NC",6,"251,239","250,934","235,121","15,813",305,"249,055","248,750","232,941","15,809",305,"2,184","2,184","2,180",4,-,-,-,-,-,-,-
"Chicago, IL",12,"1,365,164","1,365,164","1,338,792","26,372",-,"1,336,451","1,336,451","1,310,079","26,372",-,"28,713","28,713","28,713",-,-,-,-,-,-,-,-
"Cleveland, OH",6,"233,796","233,575","233,561",14,221,"172,695","172,695","172,681",14,-,"46,828","46,828","46,828",-,-,"14,273","14,052","14,052",-,-,221
"Cincinnati, OH",12,"118,708","118,708","116,701","2,007",-,"114,029","114,029","112,112","1,917",-,"4,679","4,679","4,589",90,-,-,-,-,-,-,-
"Colorado Springs, CO",12,"94,542","94,542","93,297","1,245",-,"88,661","88,661","87,416","1,245",-,"5,881","5,881","5,881",-,-,-,-,-,-,-,-
"Columbus, OH",12,"294,257","293,166","283,604","9,562","1,091","255,672","255,672","246,611","9,061",-,"35,008","35,008","34,507",501,-,"3,577","2,486","2,486",-,-,"1,091"
"Corpus Christi, TX",9,"80,657","80,657","78,313","2,344",-,"73,552","73,552","71,208","2,344",-,"5,934","5,934","5,934",-,-,"1,171","1,171","1,171",-,-,-
"Dallas, TX",9,"387,806","379,690","371,680","8,010","8,116","355,359","355,359","348,789","6,570",-,"23,130","23,130","21,691","1,439",-,"9,317","1,201","1,200",1,1,"8,116"
"Denver, CO",12,"423,279","423,279","423,279",-,-,"225,208","225,208","225,208",-,-,"60,039","60,039","60,039",-,-,"138,032","138,032","138,032",-,-,-
"Detroit, MI",6,"416,916","416,916","400,687","16,229",-,"371,551","371,551","355,428","16,123",-,"45,365","45,365","45,259",106,-,-,-,-,-,-,-
"El Paso, TX",8,"125,417","125,417","125,417",-,-,"116,718","116,718","116,718",-,-,"8,699","8,699","8,699",-,-,-,-,-,-,-,-
"Fort Worth, TX",9,"254,950","254,950","246,744","8,206",-,"234,711","234,711","226,505","8,206",-,"20,239","20,239","20,239",-,-,-,-,-,-,-,-
"Fresno, CA",6,"147,487","147,487","142,264","5,223",-,"147,487","147,487","142,264","5,223",-,-,-,-,-,-,-,-,-,-,-,-
"Honolulu, HI",6,"265,973","265,973","255,362","10,611",-,"242,433","242,433","231,822","10,611",-,"23,540","23,540","23,540",-,-,-,-,-,-,-,-
"Houston, TX",6,"657,163","657,163","647,861","9,302",-,"594,622","594,622","585,398","9,224",-,"40,230","40,230","40,194",36,-,"22,311","22,311","22,269",42,-,-
"Indianapolis, IN",12,"368,226","364,107","342,768","21,339","4,119","209,084","208,579","199,564","9,015",505,"66,858","63,567","63,326",241,"3,291","92,284","91,961","79,878","12,083",30,323
"Jacksonville, FL",9,"388,271","387,435","382,857","4,578",836,"299,372","299,212","295,052","4,160",160,"27,127","27,095","26,677",418,32,"61,772","61,128","61,128",-,-,644
"Kansas City, MO",4,"217,090","211,713","205,947","5,766","5,377","198,013","198,013","192,747","5,266",-,"13,700","13,700","13,200",500,-,"5,377",-,-,-,-,"5,377"
"Las Vegas, NV",6,"198,860","80,177","80,177",-,"118,683","127,957","9,274","9,274",-,"118,683","26,240","26,240","26,240",-,-,"44,663","44,663","44,663",-,-,-
"Long Beach, CA",9,"211,745","211,745","207,939","3,806",-,"201,429","201,429","197,623","3,806",-,"10,316","10,316","10,316",-,-,-,-,-,-,-,-
"Los Angeles, CA",6,"1,780,759","1,780,759","1,745,727","35,032",-,"1,699,729","1,699,729","1,664,697","35,032",-,"81,030","81,030","81,030",-,-,-,-,-,-,-,-
"Louisville - Jefferson, KY",6,"205,928","205,928","205,444",484,-,"149,014","149,014","148,635",379,-,"7,214","7,214","7,214",-,-,"49,700","49,700","49,595",105,-,-
"Memphis, TN",6,"246,545","246,545","241,908","4,637",-,"224,986","224,986","220,369","4,617",-,"21,559","21,559","21,539",20,-,-,-,-,-,-,-
"Mesa, AZ",6,"169,228","169,228","161,283","7,945",-,"157,487","157,487","149,789","7,698",-,"11,741","11,741","11,494",247,-,-,-,-,-,-,-
"Miami, FL",9,"141,372","141,372","140,636",736,-,"137,044","137,044","136,308",736,-,"4,328","4,328","4,328",-,-,-,-,-,-,-,-
"Milwaukee, WI",12,"276,591","276,591","273,134","3,457",-,"256,575","256,575","253,118","3,457",-,"14,470","14,470","14,470",-,-,"5,546","5,546","5,546",-,-,-
"Minneapolis, MN",12,"153,618","153,618","153,618",-,-,"146,078","146,078","146,078",-,-,"7,540","7,540","7,540",-,-,-,-,-,-,-,-
"Nashville, TN",6,"310,702","310,702","310,702",-,-,"193,910","193,910","193,910",-,-,"53,575","53,575","53,575",-,-,"63,217","63,217","63,217",-,-,-
"New Orleans, LA",12,"322,037","322,037","243,205","78,832",-,"143,572","143,572","136,222","7,350",-,"46,718","46,718","43,312","3,406",-,"131,747","131,747","63,671","68,076","67,526",-
"New York, NY",6,"7,358,616","7,259,627","6,783,484","476,143","98,989","5,065,889","5,065,889","4,727,262","338,627",-,"692,620","692,620","605,669","86,951",-,"1,600,107","1,501,118","1,450,553","50,565","41,419","98,989"
"Newark, NJ",12,"140,861","140,861","140,855",6,-,"132,018","132,018","132,012",6,-,"8,843","8,843","8,843",-,-,-,-,-,-,-,-
"Oakland, CA",6,"201,146","201,146","199,208","1,938",-,"195,195","195,195","193,257","1,938",-,"5,951","5,951","5,951",-,-,-,-,-,-,-,-
"Oklahoma City, OK",6,"170,725","170,725","170,450",275,-,"154,444","154,444","154,427",17,-,"16,281","16,281","16,023",258,-,-,-,-,-,-,-
"Omaha, NE",12,"124,660","115,705","113,797","1,908","8,955","116,236","112,053","110,185","1,868","4,183","3,652","3,652","3,612",40,-,"4,772",-,-,-,-,"4,772"
"Philadelphia, PA",6,"1,199,714","1,199,714","1,187,908","11,806",-,"610,112","610,112","602,460","7,652",-,"313,386","313,386","312,329","1,057",-,"276,216","276,216","273,119","3,097","1,271",-
"Phoenix, AZ",6,"531,564","518,729","500,788","17,941","12,835","471,353","471,353","453,841","17,512",-,"47,376","47,376","46,947",429,-,"12,835",-,-,-,-,"12,835"
"Pittsburgh, PA",12,"80,082","80,082","80,082",-,-,"77,243","77,243","77,243",-,-,"2,839","2,839","2,839",-,-,-,-,-,-,-,-
"Portland, OR",6,"182,108","182,108","179,624","2,484",-,"172,980","172,980","170,496","2,484",-,"9,128","9,128","9,128",-,-,-,-,-,-,-,-
"Raleigh, NC",6,"103,130","103,130","99,379","3,751",-,"100,905","100,905","97,154","3,751",-,"2,225","2,225","2,225",-,-,-,-,-,-,-,-
