"Bureau of Justice Statistics									",,,,,,,,,
"Filename: jeee12fut06.csv									",,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2012									",,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,,,,
"Data source: Justice Expenditure and Employment Extracts Program (JEEE)									",,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician									",,,,,,,,,
"Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765									",,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,
"									",,,,,,,,,
"Table 6. Percent distribution of justice system payrolls, by state and type of government, March 2012									",,,,,,,,,
"(Payroll amounts in thousands of dollars)									",,,,,,,,,
"									",,,,,,,,,
State and type of government,Total March payrolls/a,Total justice system March payrolls,Total justice system as a percent of total March payrolls/b,Police protection March payrolls,Police protection as a percent of total justice system March payrolls/b,Judicial and legal March payrolls,Judicial and legal as a percent of total justice system March payrolls/b,Corrections March payrolls,Corrections as a percent of total justice system March payrolls/b
"U.S. - States-local, total","70,578,951","9,949,687",14.1,"4,932,684",49.6,"2,033,382",20.4,"2,983,621",30
U.S. - State,"20,168,888","3,364,674",16.7,"561,105",16.7,"915,346",27.2,"1,888,223",56.1
"U.S. - Local, total","50,410,062","6,585,014",13.1,"4,371,579",66.4,"1,118,037",17,"1,095,398",16.6
U.S. - Counties,"10,836,398","3,001,687",27.7,"1,230,693",41,"853,960",28.4,"917,034",30.6
U.S. - Municipalities,"12,378,173","3,294,486",26.6,"2,876,531",87.3,"250,378",7.6,"167,577",5.1
Alabama - Total,"995,334","98,966",9.9,"52,555",53.1,"20,005",20.2,"26,406",26.7
Alabama - State,"360,587","36,581",10.1,"5,567",15.2,"14,450",39.5,"16,564",45.3
"Alabama - Local, total","634,747","62,384",9.8,"46,988",75.3,"5,555",8.9,"9,841",15.8
Alabama - Counties,"60,543","22,644",37.4,"11,340",50.1,"2,612",11.5,"8,692",38.4
Alabama - Municipalities,"140,001","39,742",28.4,"35,652",89.7,"2,944",7.4,"1,146",2.9
Alaska - Total,"280,901","32,389",11.5,"12,417",38.3,"9,616",29.7,"10,356",32
Alaska - State,"143,393","23,110",16.1,"4,180",18.1,"8,936",38.7,"9,994",43.2
"Alaska - Local, total","137,507","9,279",6.7,"8,237",88.8,680,7.3,362,3.9
Alaska - Boroughs,"48,778",905,1.9,587,64.9,243,26.9,75,8.3
Alaska - Municipalities,"85,015","8,373",9.8,"7,648",91.3,438,5.2,287,3.4
Arizona - Total,"1,157,608","206,543",17.8,"102,615",49.7,"46,612",22.6,"57,316",27.8
Arizona - State,"322,664","56,803",17.6,"9,417",16.6,"9,732",17.1,"37,654",66.3
"Arizona - Local, total","834,944","149,739",17.9,"93,198",62.2,"36,879",24.6,"19,662",13.1
Arizona - Counties,"120,923","69,898",57.8,"22,303",31.9,"28,157",40.3,"19,438",27.8
Arizona - Municipalities,"219,801","79,824",36.3,"70,884",88.8,"8,718",10.9,222,0.3
Arkansas - Total,"574,169","61,970",10.8,"28,120",45.4,"9,790",15.8,"24,060",38.8
Arkansas - State,"245,156","28,074",11.5,"4,643",16.5,"5,286",18.8,"18,145",64.6
"Arkansas - Local, total","329,013","33,896",10.3,"23,477",69.3,"4,504",13.3,"5,915",17.5
Arkansas - Counties,"32,679","13,927",42.6,"5,588",40.1,"2,595",18.6,"5,744",41.2
Arkansas - Municipalities,"66,060","19,971",30.2,"17,889",89.6,"1,910",9.6,172,0.9
California - Total,"9,970,434","1,597,928",16,"743,545",46.5,"309,008",19.3,"545,375",34.1
California - State,"2,429,587","489,096",20.1,"78,578",16.1,"39,749",8.1,"370,769",75.8
"California - Local, total","7,540,847","1,108,833",14.7,"664,967",60,"269,260",24.3,"174,606",15.7
California - Counties,"1,959,540","648,534",33.1,"240,582",37.1,"241,973",37.3,"165,979",25.6
California - Municipalities,"1,560,932","459,652",29.4,"423,770",92.2,"27,270",5.9,"8,612",1.9
