"Bureau of Justice Statistics						",,,,,,
"Filename: jeee12fut19.csv						",,,,,,
"Table 19. Supplemental data for 106 large county governments						",,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,
"Data source: Justice Expenditure and Employment Extracts Program (JEEE)						",,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician						",,,,,,
"Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765						",,,,,,
Date of version: 7/7/2021,,,,,,
"						",,,,,,
"Table 19. Supplemental data for 106 large county governments						",,,,,,
"						",,,,,,
County,Population 2012/a,"Expenditures, fiscal 2012 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2012 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2012 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2012, all functions","Full-time equivalent employment, March 2012, general functions only/c"
"Alameda, CA","1,554,138","3,261,163","3,228,050","2,820,652","11,682","11,682"
"Allegheny, PA","1,230,881","1,691,169","1,601,268","1,578,878","7,299","7,299"
"Anne Arundel, MD","550,311","2,215,901","2,180,684","2,100,083","16,870","16,756"
"Arapahoe, CO","596,343","339,874","339,874","331,215","2,234","2,234"
"Baltimore, MD","818,023","3,361,822","3,288,191","3,028,747","26,505","26,505"
"Bergen, NJ","916,408","1,128,657","1,086,876","1,128,657","4,732","4,732"
"Bernalillo, NM","673,697","349,426","342,915","347,643","2,532","2,532"
"Bexar, TX","1,789,091","1,692,032","1,676,095","1,691,860","10,506","10,506"
"Brevard, FL","546,978","514,254","506,470","472,447","3,870","3,704"
"Bristol, MA","551,151","60,960","60,921","21,716",152,152
"Broward, FL","1,814,489","2,216,525","2,216,489","2,013,924","11,280","10,121"
"Bucks, PA","625,361","489,188","483,575","464,092","2,665","2,665"
"Camden, NJ","511,769","726,450","694,963","726,450","4,395","4,395"
"Clark, NV","1,989,693","5,124,374","5,022,941","4,603,381","17,767","16,177"
"Cobb, GA","706,399","998,759","920,556","757,947","4,582","4,394"
"Collin, TX","836,154","307,346","307,346","307,346","1,809","1,809"
"Contra Costa, CA","1,077,731","2,772,702","2,643,826","2,447,792","7,621","7,621"
"Cook, IL","5,240,505","3,625,757","3,615,874","3,105,893","22,518","22,518"
"Cuyahoga, OH","1,266,080","2,113,625","2,080,657","2,113,625","13,760","13,760"
"Dade, FL","2,602,184","8,994,285","8,799,143","8,175,829","37,680","33,466"
"Dallas, TX","2,455,921","2,463,810","2,463,810","2,424,409","16,791","16,791"
"DeKalb, GA","710,515","989,950","989,950","767,602","6,490","5,886"
"Delaware, PA","560,756","659,139","652,114","638,794","2,891","2,891"
"Denton, TX","707,971","244,805","241,634","244,805","1,840","1,840"
"Douglas, NE","530,768","332,592","332,592","332,592","2,886","2,886"
"Du Page, IL","928,823","369,759","359,802","367,189","2,447","2,447"
"El Paso, CO","645,879","266,030","265,746","244,509","2,704","2,704"
"El Paso, TX","832,915","727,937","727,937","725,247","5,114","5,114"
"Erie, NY","919,877","2,129,003","1,705,143","2,039,365","7,707","7,526"
"Essex, NJ","785,137","939,347","860,934","939,236","4,794","4,794"
"Fairfax, VA","1,120,475","5,698,401","5,510,074","4,787,332","42,587","42,188"
"Fort Bend, TX","624,926","305,145","305,145","305,145","2,245","2,232"
"Franklin, OH","1,199,071","1,014,379","999,875","1,012,292","6,216","6,216"
"Fresno, CA","945,349","1,672,283","1,632,273","1,468,132","7,367","7,367"
"Fulton, GA","973,236","1,093,284","819,613","904,005","5,722","5,693"
"Gwinnet, GA","837,018","1,125,683","1,098,664","910,096","4,934","4,461"
"Hamilton, OH","802,367","1,078,435","966,612","1,078,435","4,754","4,754"
"Harris, TX","4,264,193","4,104,063","4,104,011","4,103,965","24,572","24,556"
"Hennepin, MN","1,184,224","2,095,392","1,956,254","1,954,863","7,395","7,395"
"Hidalgo, TX","808,835","321,775","319,694","321,775","2,790","2,790"
"Hillsborough, FL","1,281,712","1,944,648","1,813,857","1,731,527","9,497","9,107"
"Hudson, NJ","652,416","889,394","567,576","889,394","4,359","4,359"
"Jackson, MO","677,375","259,282","259,282","252,320","1,842","1,842"
"Jefferson, AL","657,967","550,750","550,750","466,018","3,318","3,318"
"Jefferson, CO","546,764","410,181","388,257","410,181","2,935","2,935"
"Johnson, KS","559,451","561,725","500,608","547,586","3,438","3,427"
"Kane, IL","520,885","207,233","207,233","207,233","1,521","1,521"
"Kent, MI","615,823","592,695","592,695","545,691","1,931","1,931"
"Kern, CA","853,963","2,072,616","1,983,830","1,839,966","9,555","9,555"
"King, WA","2,011,323","3,434,478","3,382,789","2,364,756","13,108","9,007"
"Lake, IL","702,213","443,527","443,527","434,897","2,844","2,790"
"Lake, IN","493,387","198,669","198,653","198,669","2,470","2,470"
"Lancaster, PA","526,869","392,729","392,550","379,219","1,828","1,828"
"Lee, FL","644,243","1,021,916","1,017,276","916,766","4,561","4,171"
"Los Angeles, CA","9,938,436","21,633,241","21,166,257","19,049,836","101,801","101,705"
"Macomb, MI","849,727","722,872","713,268","667,807","2,918","2,918"
"Maricopa, AZ","3,948,225","1,768,640","1,590,377","1,768,221","12,578","12,578"
"Mecklenburg, NC","967,083","2,279,143","2,211,904","2,175,715","25,753","25,753"
"Middlesex, NJ","819,347","724,641","718,153","724,641","3,586","3,585"
"Milwaukee, WI","954,606","1,577,588","1,577,588","1,212,552","6,664","5,636"
"Monmouth, NJ","627,663","683,383","654,110","683,317","4,778","4,778"
"Monroe, NY","747,350","1,652,894","1,287,570","1,536,885","5,955","5,738"
"Montgomery, MD","1,005,852","6,334,362","6,121,665","5,418,275","34,535","33,535"
"Montgomery, OH","534,284","620,227","589,256","589,076","4,176","4,004"
"Montgomery, PA","808,700","589,789","564,044","559,274","3,442","3,442"
"Multnomah, OR","760,235","912,105","878,880","912,105","4,610","4,610"
"Nassau, NY","1,349,723","3,883,806","3,518,578","3,838,108","14,093","14,093"
"New Castle, DE","544,861","352,965","352,965","322,149","1,553","1,553"
"Norfolk, MA","682,891","33,790","33,790","33,790",118,118
"Oakland, MI","1,223,616","1,079,582","1,061,809","1,000,789","3,861","3,861"
"Ocean, NJ","579,860","522,870","520,100","522,767","3,380","3,240"
"Oklahoma, OK","743,828","97,802","97,802","97,802","2,162","2,162"
