Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename: jeee12fut12.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2012",,,,,,,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326											",,,,,,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
"Date of version: 7/7/2021															",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 12. Justice system expenditure of 106 large county governments, by activity and character and object, fiscal 2012",,,,,,,,,,,,,,,,,,,,,,
(Thousands of dollars),,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
County,Fiscal year ends in month of,Total justice system total expenditure,Total justice system total direct expenditure,Total justice system direct current expenditure,Total justice system capital outlay,Total justice system intergovernmental expenditure,Police protection total expenditure,Police protection total direct expenditure,Police protection direct current expenditure,Police protection capital outlay,Police protection intergovernmental expenditure,Judicial and legal total expenditure,Judicial and legal total direct expenditure,Judicial and legal direct current expenditure,Judicial and legal capital outlay,Judicial and legal intergovernmental expenditure,Corrections total expenditure,Corrections total direct expenditure,Corrections direct current expenditure,Corrections capital outlay total,Corrections construction capital outlay only,Corrections intergovernmental expenditure
"Alameda, CA",6,"498,006","467,613","456,574","11,039","30,393","103,773","103,773","103,032",741,-,"180,797","150,404","143,444","6,960","30,393","213,436","213,436","210,098","3,338",-,-
"Allegheny, PA",12,"228,123","228,123","227,776",347,-,"51,541","51,541","51,507",34,-,"87,785","87,785","87,623",162,-,"88,797","88,797","88,646",151,-,-
"Anne Arundel, MD",6,"162,184","162,184","161,768",416,-,"98,957","98,957","98,645",312,-,"23,417","23,417","23,402",15,-,"39,810","39,810","39,721",89,-,-
"Arapahoe, CO",12,"85,976","85,976","74,061","11,915",-,"43,293","43,293","31,378","11,915",-,"12,223","12,223","12,223",-,-,"30,460","30,460","30,460",-,-,-
"Baltimore, MD",6,"262,429","262,429","262,358",71,-,"206,490","206,490","206,449",41,-,"20,653","20,653","20,643",10,-,"35,286","35,286","35,266",20,-,-
"Bergen, NJ",12,"120,016","120,016","93,307","26,709",-,"34,642","34,642","20,929","13,713",-,"32,774","32,774","31,126","1,648",-,"52,600","52,600","41,252","11,348","10,933",-
"Bernalillo, NM",6,"127,626","126,721","124,195","2,526",905,"46,191","46,191","43,902","2,289",-,"2,490","2,490","2,490",-,-,"78,945","78,040","77,803",237,-,905
"Bexar, TX",9,"252,933","252,933","246,045","6,888",-,"61,727","61,727","59,830","1,897",-,"91,666","91,666","88,409","3,257",-,"99,540","99,540","97,806","1,734","1,664",-
"Brevard, FL",9,"127,064","127,064","121,938","5,126",-,"62,143","62,143","58,427","3,716",-,"23,928","23,928","23,561",367,-,"40,993","40,993","39,950","1,043",-,-
"Bristol, MA",6,566,566,566,-,-,-,-,-,-,-,566,566,566,-,-,-,-,-,-,-,-
"Broward, FL",9,"656,881","656,881","647,649","9,232",-,"386,237","386,237","379,112","7,125",-,"56,581","56,581","55,481","1,100",-,"214,063","214,063","213,056","1,007",584,-
"Bucks, PA",12,"161,042","161,042","144,558","16,484",-,"21,331","21,331","18,450","2,881",-,"69,773","69,773","56,548","13,225",-,"69,938","69,938","69,560",378,-,-
"Camden, NJ",12,"92,032","92,032","92,000",32,-,"17,983","17,983","17,951",32,-,"22,296","22,296","22,296",-,-,"51,753","51,753","51,753",-,-,-
"Clark, NV",6,"1,054,135","1,054,135","1,030,540","23,595",-,"593,565","593,565","583,113","10,452",-,"206,229","206,229","198,669","7,560",-,"254,341","254,341","248,758","5,583",-,-
"Cobb, GA",9,"223,179","223,179","218,603","4,576",-,"127,140","127,140","124,371","2,769",-,"50,353","50,353","50,282",71,-,"45,686","45,686","43,950","1,736",7,-
"Collin, TX",9,"108,545","108,545","93,427","15,118",-,"18,254","18,254","18,250",4,-,"49,866","49,866","34,773","15,093",-,"40,425","40,425","40,404",21,-,-
"Contra Costa, CA",6,"314,694","299,583","298,679",904,"15,111","107,578","107,578","107,178",400,-,"93,216","78,105","77,653",452,"15,111","113,900","113,900","113,848",52,-,-
"Cook, IL",11,"1,223,819","1,223,819","1,215,819","8,000",-,"112,244","112,244","112,244",-,-,"675,655","675,655","667,655","8,000",-,"435,920","435,920","435,920",-,-,-
"Cuyahoga, OH",12,"320,875","320,467","316,425","4,042",408,"48,457","48,457","46,952","1,505",-,"189,754","189,754","187,217","2,537",-,"82,664","82,256","82,256",-,-,408
"Dade, FL",9,"991,294","991,291","965,832","25,459",3,"527,078","527,078","519,902","7,176",-,"157,030","157,027","144,228","12,799",3,"307,186","307,186","301,702","5,484",976,-
"Dallas, TX",9,"255,109","255,109","255,109",-,-,"30,867","30,867","30,867",-,-,"107,406","107,406","107,406",-,-,"116,836","116,836","116,836",-,-,-
"DeKalb, GA",12,"312,395","312,395","308,722","3,673",-,"110,017","110,017","106,596","3,421",-,"149,986","149,986","149,754",232,-,"52,392","52,392","52,372",20,-,-
"Delaware, PA",12,"112,405","112,405","112,356",49,-,"14,053","14,053","14,053",-,-,"47,472","47,472","47,472",-,-,"50,880","50,880","50,831",49,-,-
