Bureau of Justice Statistics,,,,,,
Filename: jeee12fut20.csv,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,
Date of version: 7/7/2021,,,,,,
,,,,,,
Table 20. Supplemental data for 66 large city governments,,,,,,
,,,,,,
City,Population 2012/a,"Expenditures, fiscal 2012 (thousands of dollars), all functions, total (direct and intergovernmental)","Expenditures, fiscal 2012 (thousands of dollars), all functions, direct expenditure only","Expenditures, fiscal 2012 (thousands of dollars), all functions, total general expenditure/b","Full-time equivalent employment, March 2012, all functions","Full-time equivalent employment, March 2012, general functions only/c"
"Albuquerque, NM","555,106","1,016,998","1,015,193","825,548","6,321","5,592"
"Anaheim, CA","342,526","1,125,702","1,125,702","658,528","2,214","1,870"
"Arlington, TX","375,906","528,761","528,761","480,011","2,552","2,367"
"Atlanta, GA","448,799","2,216,153","2,195,957","1,548,111","7,485","7,174"
"Aurora, CO","339,080","546,231","530,296","384,328","2,579","2,299"
"Austin, TX","854,841","3,194,297","3,194,297","1,511,495","12,580","10,460"
"Bakersfield, CA","357,858","408,810","400,500","379,082","1,424","1,397"
"Baltimore, MD","622,973","4,131,275","4,062,561","3,659,497","25,752","24,969"
"Baton Rouge, LA","228,834","1,305,590","1,292,257","1,203,574","7,578","7,438"
"Boston, MA","643,003","3,696,699","3,386,931","3,015,689","19,230","19,023"
"Buffalo, NY","260,176","1,544,147","1,542,562","1,532,082","8,627","8,524"
"Charlotte, NC","773,336","1,587,471","1,578,982","1,257,322","7,175","6,090"
"Chicago, IL","2,719,735","9,368,169","9,368,169","7,439,104","33,124","31,298"
"Cleveland, OH","391,500","1,310,454","1,307,590","891,367","7,389","5,985"
"Cincinnati, OH","296,758","1,109,239","1,107,374","783,896","5,283","4,598"
"Colorado Springs, CO","432,611","1,661,146","1,661,146","968,394","6,812","5,252"
"Columbus, OH","812,711","1,574,261","1,573,170","1,317,533","8,035","7,453"
"Corpus Christi, TX","312,415","536,776","527,514","381,071","2,743","2,476"
"Dallas, TX","1,242,344","3,306,454","3,294,935","2,542,831","14,235","12,970"
"Denver, CO","635,277","2,991,504","2,991,504","2,586,783","12,265","11,153"
"Detroit, MI","700,159","3,359,956","3,350,281","2,248,250","12,423","9,695"
