Bureau of Justice Statistics,,,,,,,
Filename: jeee12fut02.csv,,,,,,,
"Table 2. Percent distribution of employment and payrolls for the justice system, by level of government, March 2012",,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,
Date of version: 7/7/2021,,,,,,,
,,,,,,,
"Table 2. Percent distribution of employment and payrolls for the justice system, by level of government, March 2012",,,,,,,
(Payroll amounts in thousands of dollars),,,,,,,
,,,,,,,
Function - Measure ,All governments,Federal government,State governments,Local governments,Percent federal government,Percent state governments,Percent local governments
Total justice system - Total employees,"2,411,138","293,065","732,039","1,386,034",12,30.4,57.5
Total justice system - Full-time employees,-,-,"711,306","1,246,319",-,36.3,63.7
Total justice system - Full-time equivalent employment,-,-,"722,031","1,302,086",-,35.7,64.3
Total justice system - March payrolls,"11,854,294","1,904,606","3,364,674","6,585,014",16,28.4,55.5
Police protection - Total employees,"1,163,330","192,354","102,715","868,261",17,8.8,74.6
Police protection - Full-time employees,-,-,"99,924","774,983",-,11.4,88.6
Police protection - Full-time equivalent employment,-,-,"101,086","811,222",-,11.1,88.9
Police protection - March payrolls,"6,149,401","1,216,717","561,105","4,371,579",20,9.1,71.1
Judicial and legal - Total employees,"495,102","62,756","176,949","255,397",13,35.7,51.6
Judicial and legal - Full-time employees,-,-,"167,998","223,041",-,43,57
Judicial and legal - Full-time equivalent employment,-,-,"172,456","235,471",-,42.3,57.7
Judicial and legal - March payrolls,"2,496,932","463,549","915,346","1,118,037",19,36.7,44.8
Corrections - Total employees,"752,706","37,955","452,375","262,376",5,60.1,34.9
Corrections - Full-time employees,-,-,"443,384","248,295",-,64.1,35.9
Corrections - Full-time equivalent employment,-,-,"448,489","255,393",-,63.7,36.3
Corrections - March payrolls,"3,207,961","224,340","1,888,223","1,095,398",7,58.9,34.1
Note: March payroll data may not sum to total because of rounding. The federal budget source provides only total employment for the federal government. That figure is included in the denominator used to compute the percent distribution of full-time employees and full-time equivalent employment for state and local governments.,,,,,,,
