"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0112.wk1",,,,,,,,,,,,,,,,,,,,,,,
"table 12.  Justice system expenditures of 68 large county governments by activity, character, and object, fiscal 2001",,,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Table 12.   Justice system expenditures of 68 large county governments by activity, character, and object, fiscal 2001",,,,,,,,,,,,,,,,,,,,,,,
"(thousands of dollars)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,"                      Total justice system",,,,,"                         Police Protection",,,,,"                    Judicial and Legal",,,,,"                                                   Corrections",,,,,
,,,"                      Direct expenditure",,,"                    ",,"                         Direct expenditure",,,,,"                     Direct expenditure",,,,,"                                             Direct expenditure",,,,,
,,,,,,,,,,,,,,,,,,,,"              Capital outlay",,,
"County","Fiscal year ends in month","Total","Total direct","Direct current","Capital outlay","Intergovernmental expenditure total","Total","Total direct","Direct current","Capital outlay","Intergovernmental expenditure total","Total","Total direct","Direct current","Capital outlay","Intergovernmental expenditure total","Total","Total direct","Direct current","Total","Construction only","Intergovernmental expenditure total","County"
,,,,,,,,,,,,,,,,,,,,,,,
"Alameda, CA","06",$396077.00,$396077.00,$394565.00,$1512.00,$0.00,$61178.00,$61178.00,$59936.00,$1242.00,$0.00,$167563.00,$167563.00,$167372.00,$191.00,$0.00,$167336.00,$167336.00,$167257.00,$79.00,$0.00,$0.00,"Alameda, CA"
"Allegheny, PA","12",$164842.00,$164842.00,$163581.00,$1261.00,$0.00,$33410.00,$33410.00,$33249.00,$161.00,$0.00,$69620.00,$69620.00,$68885.00,$735.00,$0.00,$61812.00,$61812.00,$61447.00,$365.00,$0.00,$0.00,"Allegheny, PA"
"Baltimore, MD","06",$154642.00,$154642.00,$151280.00,$3362.00,$0.00,$121333.00,$121333.00,$118170.00,$3163.00,$0.00,$15285.00,$15285.00,$15131.00,$154.00,$0.00,$18024.00,$18024.00,$17979.00,$45.00,$0.00,$0.00,"Baltimore, MD"
"Bergen, NJ","06",$75866.00,$75866.00,$69767.00,$6099.00,$0.00,$17989.00,$17989.00,$14901.00,$3088.00,$0.00,$28738.00,$28738.00,$27536.00,$1202.00,$0.00,$29139.00,$29139.00,$27330.00,$1809.00,$1809.00,$0.00,"Bergen, NJ"
"Bexar, TX","09",$135745.00,$135745.00,$131747.00,$3998.00,$0.00,$24506.00,$24506.00,$24295.00,$211.00,$0.00,$45428.00,$45428.00,$45293.00,$135.00,$0.00,$65811.00,$65811.00,$62159.00,$3652.00,$0.00,$0.00,"Bexar, TX"
"Broward, FL","09",$407895.00,$404911.00,$380480.00,$24431.00,$2984.00,$201766.00,$201766.00,$186622.00,$15144.00,$0.00,$62511.00,$62511.00,$60809.00,$1702.00,$0.00,$143618.00,$140634.00,$133049.00,$7585.00,$6293.00,$2984.00,"Broward, FL"
"Clark, NV","06",$218022.00,$218022.00,$215207.00,$2815.00,$0.00,$61292.00,$61292.00,$60403.00,$889.00,$0.00,$77727.00,$77727.00,$76331.00,$1396.00,$0.00,$79003.00,$79003.00,$78473.00,$530.00,$482.00,$0.00,"Clark, NV"
,,,,,,,,,,,,,,,,,,,,,,,
"Contra Costa, CA","11",$878921.00,$878921.00,$852282.00,$26639.00,$0.00,$86558.00,$86558.00,$86558.00,$0.00,$0.00,$452935.00,$452935.00,$434788.00,$18147.00,$0.00,$339428.00,$339428.00,$330936.00,$8492.00,$8492.00,$0.00,"Contra Costa, CA"
"Cook, IL","12",$290847.00,$286416.00,$278940.00,$7476.00,$4431.00,$23777.00,$23777.00,$23483.00,$294.00,$0.00,$181154.00,$179204.00,$172226.00,$6978.00,$1950.00,$85916.00,$83435.00,$83231.00,$204.00,$84.00,$2481.00,"Cook, IL"
"Cuyahoga, OH","09",$732110.00,$732110.00,$716158.00,$15952.00,$0.00,$388315.00,$388315.00,$384412.00,$3903.00,$0.00,$159852.00,$159852.00,$148837.00,$11015.00,$0.00,$183943.00,$183943.00,$182909.00,$1034.00,$723.00,$0.00,"Cuyahoga, OH"
"Dade, FL","09",$269986.00,$269986.00,$262901.00,$7085.00,$0.00,$34437.00,$34437.00,$32617.00,$1820.00,$0.00,$85592.00,$85592.00,$85035.00,$557.00,$0.00,$149957.00,$149957.00,$145249.00,$4708.00,$4010.00,$0.00,"Dade, FL"
"Dallas, TX","12",$150453.00,$150453.00,$144483.00,$5970.00,$0.00,$76831.00,$76831.00,$71406.00,$5425.00,$0.00,$37187.00,$37187.00,$36849.00,$338.00,$0.00,$36435.00,$36435.00,$36228.00,$207.00,$47.00,$0.00,"Dallas, TX"
"Dekalb, GA","12",$62881.00,$62881.00,$62881.00,$0.00,$0.00,$2907.00,$2907.00,$2907.00,$0.00,$0.00,$37074.00,$37074.00,$37074.00,$0.00,$0.00,$22900.00,$22900.00,$22900.00,$0.00,$0.00,$0.00,"Dekalb, GA"
"Delaware, PA","11",$67629.00,$67629.00,$65723.00,$1906.00,$0.00,$18466.00,$18466.00,$17254.00,$1212.00,$0.00,$20668.00,$20668.00,$20668.00,$0.00,$0.00,$28495.00,$28495.00,$27801.00,$694.00,$0.00,$0.00,"Delaware, PA"
,,,,,,,,,,,,,,,,,,,,,,,
"Du Page, IL","12",$112518.00,$111025.00,$108914.00,$2111.00,$1493.00,$33089.00,$33089.00,$31145.00,$1944.00,$0.00,$19465.00,$19465.00,$19357.00,$108.00,$0.00,$59964.00,$58471.00,$58412.00,$59.00,$0.00,$1493.00,"Du Page, IL"
"Erie, NY","06",$140452.00,$140452.00,$138370.00,$2082.00,$0.00,$18025.00,$18025.00,$18025.00,$0.00,$0.00,$59662.00,$59662.00,$57629.00,$2033.00,$0.00,$62765.00,$62765.00,$62716.00,$49.00,$49.00,$0.00,"Erie, NY"
"Essex, NJ","06",$192948.00,$192702.00,$192702.00,$0.00,$246.00,$131021.00,$131021.00,$131021.00,$0.00,$0.00,$32742.00,$32742.00,$32742.00,$0.00,$0.00,$29185.00,$28939.00,$28939.00,$0.00,$0.00,$246.00,"Essex, NJ"
"Fairfax, VA","12",$150772.00,$150141.00,$140468.00,$9673.00,$631.00,$23166.00,$23166.00,$21263.00,$1903.00,$0.00,$70104.00,$70104.00,$63258.00,$6846.00,$0.00,$57502.00,$56871.00,$55947.00,$924.00,$0.00,$631.00,"Fairfax, VA"
"Franklin, OH","06",$192239.00,$192239.00,$190833.00,$1406.00,$0.00,$54940.00,$54940.00,$54499.00,$441.00,$0.00,$72403.00,$72403.00,$71453.00,$950.00,$0.00,$64896.00,$64896.00,$64881.00,$15.00,$0.00,$0.00,"Franklin, OH"
"Fresno, CA","12",$187163.00,$187163.00,$179226.00,$7937.00,$0.00,$50292.00,$50292.00,$46696.00,$3596.00,$0.00,$83354.00,$83354.00,$79014.00,$4340.00,$0.00,$53517.00,$53517.00,$53516.00,$1.00,$0.00,$0.00,"Fresno, CA"
"Fulton, GA","12",$168200.00,$168200.00,$164185.00,$4015.00,$0.00,$65911.00,$65911.00,$64537.00,$1374.00,$0.00,$91795.00,$91795.00,$89251.00,$2544.00,$0.00,$10494.00,$10494.00,$10397.00,$97.00,$0.00,$0.00,"Fulton, GA"
,,,,,,,,,,,,,,,,,,,,,,,
"Hamilton, OH","02",$511120.00,$511120.00,$502432.00,$8688.00,$0.00,$155111.00,$155111.00,$152205.00,$2906.00,$0.00,$166984.00,$166984.00,$164025.00,$2959.00,$0.00,$189025.00,$189025.00,$186202.00,$2823.00,$0.00,$0.00,"Hamilton, OH"
"Harris, TX","12",$267588.00,$267588.00,$217529.00,$50059.00,$0.00,$65490.00,$65490.00,$54046.00,$11444.00,$0.00,$87654.00,$87654.00,$84588.00,$3066.00,$0.00,$114444.00,$114444.00,$78895.00,$35549.00,$34209.00,$0.00,"Harris, TX"
"Hennepin, MN","09",$206929.00,$206326.00,$188464.00,$17862.00,$603.00,$103905.00,$103302.00,$95054.00,$8248.00,$603.00,$36307.00,$36307.00,$28979.00,$7328.00,$0.00,$66717.00,$66717.00,$64431.00,$2286.00,$285.00,$0.00,"Hennepin, MN"
"Hillsborough, FL","06",$74279.00,$74279.00,$63367.00,$10912.00,$0.00,$11153.00,$11153.00,$11153.00,$0.00,$0.00,$16507.00,$16507.00,$16507.00,$0.00,$0.00,$46619.00,$46619.00,$35707.00,$10912.00,$10912.00,$0.00,"Hillsborough, FL"
