"Bureau of Justice Statistics",,,,,,,,,,,,,
"filename:  cjee0107.wk1",,,,,,,,,,,,,
"table 7.  Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and level of government, March 2001",,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2001, NCJ 202792",,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent distribution of full-time equivalent employment by State and level of government, March 2001",,,,,,,,,,,,,
"(thousands of dollars)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,"                                                        Sworn",,,,,,"                                     Nonsworn",,,,,
,,"                     Number of employees",,,,,,"                 ","Number of employees",,,,
"State and level of government","Total police protection full-time equivalent employment","Total","Full-time only","Full-time equivalent","Percent of total police protection full-time equivalent",,"March payrolls","Total","Full-time only","Full-time equivalent","Percent of total police protection full-time equivalent",,"March payrolls"
,,,,,,,,,,,,,
"States-local, total",884667,686327,646745,338586,38.3,"%",$2770543.80,267555,197445,223159,25.2,"%",$652266.97
"State",103141,63072,62725,62856,60.9,,$273751.56,41585,39251,40285,39.1,,$132825.63
"Local, total",781526,623255,584020,275730,35.3,,$2496792.24,225970,158194,182874,23.4,,$519441.33
"Counties",224120,163228,155766,158488,70.7,,$589820.24,74413,60280,65632,29.3,,$186964.33
"Municipalities",557406,460027,428254,117242,21.0,,$1906972.00,151557,97914,117242,21.0,,$332477.01
,,,,,,,,,,,,,
"Alabama",12861,9908,9637,4643,36.1,"%",$29970.04,3425,2805,3043,23.7,,$6618.71
"State",1333,719,719,719,53.9,,$2700.23,632,606,614,46.1,,$1498.40
"Local, total",11528,9189,8918,3924,34.0,,$27269.80,2793,2199,2429,21.1,,$5120.31
"Counties",2447,2091,1955,1971,80.5,,$5527.70,521,457,476,19.5,,$962.80
"Municipalities",9081,7098,6963,1953,21.5,,$21742.10,2272,1742,1953,21.5,,$4157.51
,,,,,,,,,,,,,
"Alaska",1640,1132,1012,631,38.5,"%",$5662.53,1040,524,626,38.2,,$2064.20
"State",451,247,247,247,54.8,,$1458.81,270,193,204,45.2,,$648.75
"Local, total",1189,885,765,384,32.3,,$4203.72,770,331,422,35.5,,$1415.45
"Boroughs",60,11,11,11,18.3,,$97.31,49,49,49,81.7,,$163.69
"Municipalities",1129,874,754,373,33.0,,$4106.41,721,282,373,33.0,,$1251.76
,,,,,,,,,,,,,
"Arizona",16606,12567,12488,7568,45.6,"%",$48577.49,4153,3977,4106,24.7,,$13397.22
"State",1874,1033,1032,1032,55.1,,$4199.80,844,839,842,44.9,,$2660.97
"Local, total",14732,11534,11456,6536,44.4,,$44377.69,3309,3138,3264,22.2,,$10736.25
"Counties",4136,3738,3692,3704,89.6,,$11779.60,427,418,432,10.4,,$1238.45
"Municipalities",10596,7796,7764,2832,26.7,,$32598.09,2882,2720,2832,26.7,,$9497.81
,,,,,,,,,,,,,
"Arkansas",7900,6224,5707,2908,36.8,"%",$15345.58,2221,1877,1962,24.8,,$3933.22
"State",1178,568,568,568,48.2,,$1718.48,610,606,610,51.8,,$1545.64
"Local, total",6722,5656,5139,2340,34.8,,$13627.10,1611,1271,1352,20.1,,$2387.58
"Counties",1754,1658,1348,1371,78.2,,$2942.00,439,349,383,21.8,,$541.88
"Municipalities",4968,3998,3791,969,19.5,,$10685.10,1172,922,969,19.5,,$1845.70
,,,,,,,,,,,,,
"California",100079,68310,66424,44908,44.9,"%",$390911.38,36965,30152,33115,33.1,,$124848.84
"State",12958,7665,7449,7484,57.8,,$43019.08,6027,5181,5474,42.2,,$19720.93
"Local, total",87121,60645,58975,37424,43.0,,$347892.30,30938,24971,27641,31.7,,$105127.91
"Counties",31061,21363,20042,20422,65.7,,$109328.57,10887,10423,10639,34.3,,$42960.75
"Municipalities",56060,39282,38933,17002,30.3,,$238563.73,20051,14548,17002,30.3,,$62167.16
,,,,,,,,,,,,,
"Colorado",12401,9245,8805,5187,41.8,"%",$41851.74,3669,3304,3449,27.8,,$10273.09
"State",1176,765,764,764,65.0,,$3756.95,423,403,412,35.0,,$1563.01
"Local, total",11225,8480,8041,4423,39.4,,$38094.79,3246,2901,3037,27.1,,$8710.07
"Counties",3336,2485,2348,2361,70.8,,$9635.61,1115,928,975,29.2,,$2524.42
"Municipalities",7889,5995,5693,2062,26.1,,$28459.18,2131,1973,2062,26.1,,$6185.65
,,,,,,,,,,,,,
"Connecticut",10703,8556,8093,3110,29.1,"%",$40603.80,3091,1911,2432,22.7,,$7101.11
"State",1812,1245,1245,1245,68.7,,$5844.36,581,538,567,31.3,,$2047.40
"Local, total",8891,7311,6848,1865,21.0,,$34759.44,2510,1373,1865,21.0,,$5053.71
"Municipalities",8891,7311,6848,1865,21.0,,$34759.44,2510,1373,1865,21.0,,$5053.71
,,,,,,,,,,,,,
"Delaware",2431,1717,1665,1100,45.2,"%",$6963.12,840,562,735,30.2,,$1822.71
"State",897,591,591,591,65.9,,$2788.23,330,280,306,34.1,,$853.23
"Local, total",1534,1126,1074,509,33.2,,$4174.89,510,282,429,28.0,,$969.48
"Counties",554,317,317,317,57.2,,$1340.29,288,109,237,42.8,,$520.03
"Municipalities",980,809,757,192,19.6,,$2834.60,222,173,192,19.6,,$449.45
,,,,,,,,,,,,,
"District of Columbia",4349,3536,3535,813,18.7,"%",$17190.15,894,731,813,18.7,,$2844.98
"Local, total",4349,3536,3535,813,18.7,,$17190.15,894,731,813,18.7,,$2844.98
"Municipality",4349,3536,3535,813,18.7,,$17190.15,894,731,813,18.7,,$2844.98
,,,,,,,,,,,,,
"Florida",57580,37155,36662,26433,45.9,"%",$152117.16,23942,19052,20746,36.0,,$54969.16
"State",4230,2200,2200,2200,52.0,,$7889.61,2041,2019,2030,48.0,,$5498.59
"Local, total",53350,34955,34462,24233,45.4,,$144227.55,21901,17033,18716,35.1,,$49470.58
"Counties",28537,17114,16986,17027,59.7,,$67054.35,13430,10629,11510,40.3,,$30599.17
"Municipalities",24813,17841,17476,7206,29.0,,$77173.20,8471,6404,7206,29.0,,$18871.40
,,,,,,,,,,,,,
"Georgia",25420,20326,19572,11620,45.7,"%",$56428.72,6262,5048,5491,21.6,,$12050.36
"State",2302,1185,1185,1185,51.5,,$3862.56,1125,1107,1117,48.5,,$3077.88
"Local, total",23118,19141,18387,10435,45.1,,$52566.16,5137,3941,4374,18.9,,$8972.48
"Counties",11005,8663,8373,8533,77.5,,$23357.54,2898,2223,2472,22.5,,$5261.87
"Municipalities",12113,10478,10014,1902,15.7,,$29208.63,2239,1718,1902,15.7,,$3710.61
,,,,,,,,,,,,,
"Hawaii",3631,2805,2805,1364,37.6,"%",$12034.08,970,785,826,22.7,,$2364.19
"State",0,0,0,0,0.0,,$0.00,0,0,0,0.0,,$0.00
"Local, total",3631,2805,2805,1364,37.6,,$12034.08,970,785,826,22.7,,$2364.19
"Counties",1114,826,826,826,74.1,,$3790.87,339,270,288,25.9,,$798.42
"Municipalities",2517,1979,1979,538,21.4,,$8243.20,631,515,538,21.4,,$1565.76
,,,,,,,,,,,,,
"Idaho",3834,2849,2679,1819,47.4,"%",$8938.39,1241,1021,1078,28.1,,$2543.45
"State",488,273,273,273,55.9,,$1083.12,219,213,215,44.1,,$642.83
"Local, total",3346,2576,2406,1546,46.2,,$7855.26,1022,808,863,25.8,,$1900.62
"Counties",1743,1268,1162,1213,69.6,,$3389.34,608,513,530,30.4,,$1118.88
"Municipalities",1603,1308,1244,333,20.8,,$4465.92,414,295,333,20.8,,$781.74
,,,,,,,,,,,,,
"Illinois",44230,35853,33511,12397,28.0,"%",$144752.51,12744,8069,9672,21.9,,$30366.99
"State",4292,2315,2315,2315,53.9,,$10547.11,1978,1975,1977,46.1,,$7486.66
"Local, total",39938,33538,31196,10082,25.2,,$134205.41,10766,6094,7695,19.3,,$22880.34
"Counties",5607,4121,3914,3997,71.3,,$15477.37,1857,1389,1610,28.7,,$4333.10
"Municipalities",34331,29417,27282,6085,17.7,,$118728.04,8909,4705,6085,17.7,,$18547.23
,,,,,,,,,,,,,
"Indiana",16687,12510,11908,6886,41.3,"%",$41320.71,5537,3660,4647,27.8,,$10073.41
"State",2052,1281,1281,1281,62.4,,$5439.19,771,770,771,37.6,,$2059.50
"Local, total",14635,11229,10627,5605,38.3,,$35881.52,4766,2890,3876,26.5,,$8013.91
"Counties",3841,2907,2713,2785,72.5,,$7880.97,1281,996,1056,27.5,,$2370.52
"Municipalities",10794,8322,7914,2820,26.1,,$28000.55,3485,1894,2820,26.1,,$5643.40
,,,,,,,,,,,,,
"Iowa",7224,5521,5135,2825,39.1,"%",$18044.42,2351,1809,1995,27.6,,$4884.92
"State",1038,652,652,652,62.8,,$2605.65,431,368,386,37.2,,$1120.12
"Local, total",6186,4869,4483,2173,35.1,,$15438.77,1920,1441,1609,26.0,,$3764.80
"Counties",2170,1444,1341,1367,63.0,,$4476.37,924,731,803,37.0,,$1820.95
"Municipalities",4016,3425,3142,806,20.1,,$10962.40,996,710,806,20.1,,$1943.85
,,,,,,,,,,,,,
"Kansas",8820,6725,6330,3486,39.5,"%",$21420.41,2732,2172,2374,26.9,,$5573.04
"State",1060,586,586,586,55.3,,$2113.39,479,469,474,44.7,,$1179.26
"Local, total",7760,6139,5744,2900,37.4,,$19307.02,2253,1703,1900,24.5,,$4393.78
"Counties",2500,1857,1698,1750,70.0,,$5271.36,857,672,750,30.0,,$1551.21
"Municipalities",5260,4282,4046,1150,21.9,,$14035.65,1396,1031,1150,21.9,,$2842.57
,,,,,,,,,,,,,
"Kentucky",10233,7795,7220,4701,45.9,"%",$23146.39,3169,2391,2717,26.6,,$6835.56
"State",2221,1033,1031,1033,46.5,,$3804.92,1194,1165,1188,53.5,,$3555.05
"Local, total",8012,6762,6189,3668,45.8,,$19341.46,1975,1226,1529,19.1,,$3280.51
"Counties",3339,2978,2554,2739,82.0,,$7510.20,862,453,600,18.0,,$1308.47
"Municipalities",4673,3784,3635,929,19.9,,$11831.27,1113,773,929,19.9,,$1972.04
,,,,,,,,,,,,,
"Louisiana",16253,12909,11969,7332,45.1,"%",$33957.00,4701,3470,3901,24.0,,$8363.86
"State",1463,1020,1020,1020,69.7,,$3683.62,446,441,443,30.3,,$1115.14
