"Bureau of Justice Statistics",,,,,,,,,,
"filename:  cjee9703.csv",,,,,,,,,,
"table 3:  Percent distribution of expenditure for the justice system by State and level of government, fiscal 1997",,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,
"date of version:  11/29/2000",,,,,,,,,,
,,,,,,,,,,
"Table 3.   Percent distribution of expenditure for the justice system by State and level of government, fiscal 1997",,,,,,,,,,
,,,,,,,,,,
"(Dollar amounts in thousands)",,,,,,,,,,
,,,,,,,,,,
,,,"           Total justice system",,"           Police protection",,"           Judicial and legal",,"               Corrections",
,,,,,,,,,,
,,,,,,"Percent",,"Percent",,"Percent"
,"Population",,,"Percent of",,"of total",,"of total",,"of total"
"State and level",1997,"Total direct",,"total direct",,"justice",,"justice",,"justice"
"of government","(thousands)","expenditure/a","Amount","expenditure/b","Amount","system","Amount","system","Amount","system"
,,,,,,,,,,
"States-local, total",267781,1460894502,109269452,7.5,47643530,43.6,21645774,19.8,39980148,36.6
"State","-",629049306,42353331,6.7,6669520,15.7,8566938,20.2,27116873,64.0
"Local, total","-",831845196,66916121,8.0,40974010,61.2,13078836,19.5,12863275,19.2
"Counties","-",189373044,31576448,16.7,11328607,35.9,9928998,31.4,10318843,32.7
"Municipalities","-",294307586,35339673,12.0,29645403,83.9,3149838,8.9,2544432,7.2
,,,,,,,,,,
"Alabama",4320,20173595,1089836,5.4,541374,49.7,225112,20.7,323350,29.7
"State","-",9652376,454685,4.7,79940,17.6,146083,32.1,228662,50.3
"Local, total","-",10521219,635151,6.0,461434,72.6,79029,12.4,94688,14.9
"Counties","-",1185657,250767,21.2,114801,45.8,50616,20.2,85350,34.0
"Municipalities","-",3455677,384384,11.1,346633,90.2,28413,7.4,9338,2.4
,,,,,,,,,,
"Alaska",609,7418497,447528,6.0,151192,33.8,146513,32.7,149823,33.5
"State","-",4707384,335501,7.1,49854,14.9,136193,40.6,149454,44.5
"Local, total","-",2711113,112027,4.1,101338,90.5,10320,9.2,369,0.3
"Boroughs","-",968831,21927,2.3,18276,83.3,3651,16.7,0,0.0
"Municipalities","-",1660027,90100,5.4,83062,92.2,6669,7.4,369,0.4
,,,,,,,,,,
"Arizona",4552,21156437,2023736,9.6,869854,43.0,452076,22.3,701806,34.7
"State","-",7890299,731339,9.3,123777,16.9,102861,14.1,504701,69.0
"Local, total","-",13266138,1292397,9.7,746077,57.7,349215,27.0,197105,15.3
"Counties","-",2653833,618769,23.3,159377,25.8,262888,42.5,196504,31.8
"Municipalities","-",4210402,673628,16.0,586700,87.1,86327,12.8,601,0.1
,,,,,,,,,,
"Arkansas",2524,10521017,649888,6.2,292379,45.0,116814,18.0,240695,37.0
"State","-",5717254,315171,5.5,59135,18.8,63232,20.1,192804,61.2
"Local, total","-",4803763,334717,7.0,233244,69.7,53582,16.0,47891,14.3
