"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,
"filename:  cjee9708.csv",,,,,,,,,,,,,,,,,,
"table 8:  Per capita justice expenditure (fiscal 1997) and full-time equivalent justice employment per",,,,,,,,,,,,,,,,,,
"10,000 population (March 1997) of State and local governments by activity and State",,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,
"date of version:  11/29/2000",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 8.   Per capita justice expenditure (fiscal 1997) and full-time equivalent justice employment per",,,,,,,,,,,,,,,,,,
"10,000 population (March 1997) of State and local governments by activity and State",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"                             Per capita justice expenditure,",,,,,,,,"                                         Full-time equivalent justice employment",,,,,,,,
,,"                                   (dollars) fiscal 1997",,,,,,,,"                                           per 10,000 population, March 1997",,,,,,,,
,,,,,,,,,,,,,,,,,,
,"Population","Total",,,,,,,,"Total",,"                    Police protection",,,,,,
,1997,"justice",,"Police",,"Judicial",,,,"justice",,,,,,"Judicial",,
"State","(thousands)","system",,"Protection",,"and legal",,"Corrections",,"system",,"Total",,"Sworn only",,"and legal",,"Corrections"
,,,,,,,,,,,,,,,,,,
"Total",267781,408.06,109269452.00,177.92,47643530.00,80.83,21645774.00,149.30,39980148.00,66.87,17907840.00,29.83,7988050.00,22.51,6027180.00,12.83,3435310.00,24.22
,,,,,,,,,,,,,,,,,,
"Alabama",4320,252.28,1089836.00,125.32,541374.00,52.11,225112.00,74.85,323350.00,53.13,229540.00,27.44,118520.00,21.48,92810.00,10.05,43410.00,15.65
"Alaska",609,734.86,447528.00,248.26,151192.00,240.58,146513.00,246.01,149823.00,68.77,41880.00,26.34,16040.00,16.29,9920.00,20.94,12750.00,21.49
"Arizona",4552,444.58,2023736.00,191.09,869854.00,99.31,452076.00,154.18,701806.00,76.14,346600.00,32.30,147020.00,23.83,108490.00,17.34,78910.00,26.51
"Arkansas",2524,257.48,649888.00,115.84,292379.00,46.28,116814.00,95.36,240695.00,53.83,135860.00,26.18,66090.00,19.72,49780.00,7.94,20050.00,19.70
"California",32218,554.73,17872447.00,239.39,7712594.00,122.62,3950419.00,192.73,6209434.00,63.60,2048940.00,28.76,926440.00,20.01,644700.00,12.26,395140.00,22.58
,,,,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,
