"Bureau of Justice Statistics",,,,,,,,,
"filename:  cjee9706.csv",,,,,,,,,
"table 6:  Percent distribution of justice system payrolls by State",,,,,,,,,
"and level of government, March 1997",,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,
"date of version:  12/19/2000",,,,,,,,,
,,,,,,,,,
"Table 6.   Percent distribution of justice system payrolls by State",,,,,,,,,
"and level of government, March 1997",,,,,,,,,
,,,,,,,,,
"(Payroll amounts in thousands of dollars)",,,,,,,,,
,,,,,,,,,
,,"          Total justice system",,"             Police protection",,"           Judicial and Legal",,"                  Corrections",
,,,,,,,,,
,"Total",,"Percent of",,"Percent of",,"Percent of",,"Percent of"
"State and level","March","March","total March","March","total March","March","total March","March","total March"
"of government","payrolls/a","payrolls","payrolls/b","payrolls","payrolls/b","payrolls","payrolls/b","payrolls","payrolls/b"
,,,,,,,,,
"States-local, total",39428728,5491149,13.9,2646237,48.2,1071236,19.5,1773676,32.3
"State",11427067,1956789,17.1,306667,15.7,466917,23.9,1183205,60.5
"Local, total",28001662,3534360,12.6,2339569,66.2,604320,17.1,590471,16.7
"Counties",5811160,1525982,26.3,596573,39.1,460952,30.2,468458,30.7
"Municipalities",8067954,2008378,24.9,1742996,86.8,143368,7.1,122013,6.1
,,,,,,,,,
"Alabama",564271,56213,10.0,29070,51.7,11589,20.6,15554,27.7
"State",198863,22444,11.3,4054,18.1,8191,36.5,10199,45.4
"Local, total",365408,33769,9.2,25015,74.1,3398,10.1,5355,15.9
"Counties",37954,12256,32.3,5685,46.4,1911,15.6,4659,38.0
"Municipalities",79487,21513,27.1,19330,89.9,1487,6.9,696,3.2
,,,,,,,,,
"Alaska",163984,17819,10.9,7363,41.3,5183,29.1,5273,29.6
"State",80796,11898,14.7,1986,16.7,4772,40.1,5140,43.2
"Local, total",83188,5921,7.1,5377,90.8,411,6.9,133,2.2
"Boroughs",30980,569,1.8,430,75.6,97,17.1,42,7.3
"Municipalities",50810,5352,10.5,4947,92.4,314,5.9,91,1.7
,,,,,,,,,
"Arizona",580988,96494,16.6,47088,48.8,21983,22.8,27423,28.4
"State",157288,28241,18.0,5554,19.7,4236,15.0,18451,65.3
"Local, total",423700,68253,16.1,41534,60.9,17748,26.0,8971,13.1
"Counties",63123,31556,50.0,9402,29.8,13196,41.8,8958,28.4
"Municipalities",108591,36697,33.8,32133,87.6,4551,12.4,13,0.0
,,,,,,,,,
"Arkansas",288603,27897,9.7,14601,52.3,4826,17.3,8469,30.4
"State",114425,10463,9.1,2456,23.5,1718,16.4,6289,60.1
"Local, total",174178,17433,10.0,12145,69.7,3109,17.8,2180,12.5
"Counties",21324,7009,32.9,2820,40.2,2158,30.8,2031,29.0
"Municipalities",36693,10425,28.4,9325,89.5,951,9.1,149,1.4
,,,,,,,,,
"California",5263693,835184,15.9,408859,49.0,161033,19.3,265293,31.8
"State",1232997,230252,18.7,48489,21.1,13268,5.8,168495,73.2
"Local, total",4030696,604932,15.0,360370,59.6,147765,24.4,96798,16.0
"Counties",1006481,346200,34.4,122468,35.4,132004,38.1,91727,26.5
"Municipalities",866925,258733,29.8,237902,91.9,15761,6.1,5071,2.0
,,,,,,,,,
"Colorado",601724,75758,12.6,37111,49.0,17028,22.5,21618,28.5
"State",200695,26809,13.4,3325,12.4,10212,38.1,13272,49.5
"Local, total",401029,48948,12.2,33785,69.0,6817,13.9,8346,17.1
"Counties",51769,16186,31.3,7322,45.2,3077,19.0,5788,35.8
"Municipalities",122370,32762,26.8,26464,80.8,3740,11.4,2559,7.8
,,,,,,,,,
"Connecticut",564180,77303,13.7,39586,51.2,12051,15.6,25666,33.2
"State",203465,43322,21.3,6360,14.7,11296,26.1,25666,59.2
"Local, total",360715,33980,9.4,33225,97.8,755,2.2,0,0.0
"Municipalities",337997,33980,10.1,33225,97.8,755,2.2,0,0.0
,,,,,,,,,
"Delaware",110764,16355,14.8,7144,43.7,3976,24.3,5235,32.0
"State",59287,11864,20.0,3023,25.5,3607,30.4,5235,44.1
"Local, total",51476,4491,8.7,4121,91.8,370,8.2,0,0.0
"Counties",6054,1729,28.6,1544,89.3,185,10.7,0,0.0
"Municipalities",6724,2762,41.1,2577,93.3,185,6.7,0,0.0
,,,,,,,,,
"District of Columbia",180685,38443,21.3,18023,46.9,6284,16.3,14135,36.8
"Local, total",180685,38443,21.3,18023,46.9,6284,16.3,14135,36.8
"Municipality",136241,38443,28.2,18023,46.9,6284,16.3,14135,36.8
,,,,,,,,,
"Florida",1855324,372576,20.1,157456,42.3,71262,19.1,143859,38.6
"State",496647,160948,32.4,10920,6.8,44207,27.5,105822,65.7
"Local, total",1358677,211629,15.6,146536,69.2,27055,12.8,38037,18.0
"Counties",355554,130080,36.6,69090,53.1,25103,19.3,35887,27.6
"Municipalities",258690,81549,31.5,77446,95.0,1952,2.4,2150,2.6
,,,,,,,,,
"Georgia",1002193,126426,12.6,53082,42.0,21696,17.2,51648,40.9
"State",276656,48817,17.6,6132,12.6,5048,10.3,37637,77.1
"Local, total",725537,77609,10.7,46950,60.5,16648,21.5,14011,18.1
"Counties",112801,47359,42.0,22118,46.7,13881,29.3,11361,24.0
"Municipalities",93978,30249,32.2,24833,82.1,2767,9.1,2650,8.8
,,,,,,,,,
"Hawaii",182755,27108,14.8,13473,49.7,8376,30.9,5259,19.4
"State",137283,11652,8.5,0,0.0,6394,54.9,5259,45.1
"Local, total",45472,15456,34.0,13473,87.2,1982,12.8,0,0.0
"Counties",14798,5010,33.9,4232,84.5,778,15.5,0,0.0
"Municipalities",30362,10445,34.4,9241,88.5,1204,11.5,0,0.0
,,,,,,,,,
"Idaho",152003,16416,10.8,7599,46.3,3554,21.6,5264,32.1
"State",51545,6701,13.0,1263,18.8,1731,25.8,3707,55.3
"Local, total",100458,9715,9.7,6336,65.2,1823,18.8,1556,16.0
"Counties",18534,5532,29.8,2428,43.9,1548,28.0,1556,28.1
"Municipalities",14583,4183,28.7,3908,93.4,275,6.6,0,0.0
,,,,,,,,,
"Illinois",1791137,289555,16.2,172471,59.6,48988,16.9,68095,23.5
"State",421328,72988,17.3,15306,21.0,14228,19.5,43454,59.5
"Local, total",1369809,216567,15.8,157165,72.6,34760,16.1,24641,11.4
"Counties",157415,71359,45.3,14702,20.6,32103,45.0,24554,34.4
"Municipalities",353098,145208,41.1,142463,98.1,2658,1.8,87,0.1
,,,,,,,,,
"Indiana",746681,73409,9.8,38554,52.5,13261,18.1,21594,29.4
"State",221168,24199,10.9,6195,25.6,3862,16.0,14141,58.4
"Local, total",525513,49210,9.4,32359,65.8,9399,19.1,7453,15.1
"Counties",85646,21144,24.7,7977,37.7,6580,31.1,6587,31.2
"Municipalities",106608,28066,26.3,24382,86.9,2819,10.0,866,3.1
,,,,,,,,,
