"Bureau of Justice Statistics",,,,,,,,,,,
"filename:  cjee9707.csv",,,,,,,,,,,
"table 7:  Police protection sworn and nonsworn employment and payrolls and percent",,,,,,,,,,,
"distribution of full-time equivalent employment by State and level of government, March 1997",,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,
"date of version:  11/29/2000",,,,,,,,,,,
,,,,,,,,,,,
"Table 7.   Police protection sworn and nonsworn employment and payrolls and percent",,,,,,,,,,,
"distribution of full-time equivalent employment by State and level of government, March 1997",,,,,,,,,,,
,,,,,,,,,,,
,,"                                                              Sworn",,,,,"                                                            Nonsworn",,,,
,,,,,,,,,,,
,"Total police",,,,"Percent of",,,,,"Percent of",
,"protection","                        Number of employees",,,"total police","March","                        Number of employees",,,"total police","March"
,"full-time",,,,"protection","payrolls",,,,"protection","payrolls"
"State and level","equivalent",,"Full-time","Full-time ","full-time","(thousands",,"Full-time","Full-time ","full-time","(thousands"
"of government","employment","Total","only","equivalent","equivalent","of dollars)","Total","only","equivalent","equivalent","of dollars)"
,,,,,,,,,,,
"States-local, total",798805,623208,593130,602718,75.5,2160866,233375,174003,196087,24.5,485370
"State",92246,56411,55864,56023,60.7,202512,37534,35248,36223,39.3,104155
"Local, total",706559,566797,537266,546695,77.4,1958354,195841,138755,159864,22.6,381215
"Counties",193059,146024,140388,142330,73.7,476950,56998,46643,50729,26.3,119623
"Municipalities",513500,420773,396878,404365,78.7,1481404,138843,92112,109135,21.3,261592
,,,,,,,,,,,
"Alabama",11852,9440,9181,9281,78.3,24173,3050,2336,2571,21.7,4896
"State",1247,789,789,789,63.3,2883,487,450,458,36.7,1171
"Local, total",10605,8651,8392,8492,80.1,21291,2563,1886,2113,19.9,3725
"Counties",2239,1924,1847,1875,83.7,5048,381,357,364,16.3,637
"Municipalities",8366,6727,6545,6617,79.1,16243,2182,1529,1749,20.9,3088
,,,,,,,,,,,
"Alaska",1604,1025,969,992,61.8,5124,643,596,612,38.2,2239
"State",427,261,261,261,61.1,1487,166,165,166,38.9,499
"Local, total",1177,764,708,731,62.1,3637,477,431,446,37.9,1740
"Boroughs",86,50,50,50,58.1,268,36,36,36,41.9,162
"Municipalities",1091,714,658,681,62.4,3369,441,395,410,37.6,1578
,,,,,,,,,,,
"Arizona",14702,10876,10828,10849,73.8,36605,4005,3677,3853,26.2,10484
"State",1708,956,956,956,56.0,3466,762,749,752,44.0,2088
"Local, total",12994,9920,9872,9893,76.1,33139,3243,2928,3101,23.9,8396
"Counties",3773,3242,3215,3223,85.4,8069,567,534,550,14.6,1332
"Municipalities",9221,6678,6657,6670,72.3,25069,2676,2394,2551,27.7,7063
,,,,,,,,,,,
"Arkansas",6609,5172,4885,4978,75.3,11925,1796,1551,1631,24.7,2677
"State",932,525,525,525,56.3,1577,407,407,407,43.7,879
"Local, total",5677,4647,4360,4453,78.4,10347,1389,1144,1224,21.6,1798
"Counties",1501,1195,1106,1136,75.7,2316,412,341,365,24.3,504
"Municipalities",4176,3452,3254,3317,79.4,8031,977,803,859,20.6,1294
,,,,,,,,,,,
"California",92644,66254,63845,64470,69.6,317010,31411,25612,28174,30.4,91849
"State",12337,7258,6847,6919,56.1,27821,5980,5165,5418,43.9,20669
"Local, total",80307,58996,56998,57551,71.7,289190,25431,20447,22756,28.3,71180
"Counties",27556,21031,19881,20121,73.0,99209,7628,7185,7435,27.0,23259
"Municipalities",52751,37965,37117,37430,71.0,189980,17803,13262,15321,29.0,47921
,,,,,,,,,,,
"Colorado",11423,8357,8266,8290,72.6,29417,3393,2973,3133,27.4,7694
"State",1126,748,748,748,66.4,2339,389,375,378,33.6,986
"Local, total",10297,7609,7518,7542,73.2,27078,3004,2598,2755,26.8,6707
"Counties",2610,1946,1906,1915,73.4,5743,768,646,695,26.6,1579
"Municipalities",7687,5663,5612,5627,73.2,21336,2236,1952,2060,26.8,5128
,,,,,,,,,,,
"Connecticut",9762,7893,7576,7692,78.8,33916,2664,1711,2070,21.2,5670
"State",1690,1056,1056,1056,62.5,4463,641,602,634,37.5,1898
"Local, total",8072,6837,6520,6636,82.2,29453,2023,1109,1436,17.8,3772
"Municipalities",8072,6837,6520,6636,82.2,29453,2023,1109,1436,17.8,3772
,,,,,,,,,,,
"Delaware",2113,1507,1486,1496,70.8,5778,714,423,617,29.2,1366
"State",840,564,564,564,67.1,2331,284,258,276,32.9,691
"Local, total",1273,943,922,932,73.2,3447,430,165,341,26.8,675
"Counties",451,299,299,299,66.3,1251,232,40,152,33.7,293
"Municipalities",822,644,623,633,77.0,2195,198,125,189,23.0,382
,,,,,,,,,,,
"District of Columbia",4344,3658,3655,3657,84.2,15921,767,634,687,15.8,2102
"Local, total",4344,3658,3655,3657,84.2,15921,767,634,687,15.8,2102
"Municipality",4344,3658,3655,3657,84.2,15921,767,634,687,15.8,2102
,,,,,,,,,,,
"Florida",50411,34973,34215,34423,68.3,121769,18545,14362,15988,31.7,35687
"State",3973,2251,2251,2251,56.7,7799,1760,1682,1722,43.3,3121
"Local, total",46438,32722,31964,32172,69.3,113970,16785,12680,14266,30.7,32566
"Counties",22628,14906,14807,14852,65.6,51520,8949,7045,7776,34.4,17570
"Municipalities",23810,17816,17157,17320,72.7,62450,7836,5635,6490,27.3,14996
,,,,,,,,,,,
"Georgia",21840,17172,16562,16799,76.9,42838,5819,4552,5041,23.1,10245
"State",2210,1123,1123,1123,50.8,3441,1101,1059,1087,49.2,2692
"Local, total",19630,16049,15439,15676,79.9,39397,4718,3493,3954,20.1,7553
"Counties",8996,6785,6586,6679,74.2,17493,2680,2073,2317,25.8,4624
"Municipalities",10634,9264,8853,8997,84.6,21904,2038,1420,1637,15.4,2928
,,,,,,,,,,,
"Hawaii",3414,2615,2615,2615,76.6,11333,968,755,799,23.4,2140
"State",0,0,0,0,0.0,0,0,0,0,0.0,0
"Local, total",3414,2615,2615,2615,76.6,11333,968,755,799,23.4,2140
"Counties",1085,809,809,809,74.6,3567,326,260,276,25.4,665
"Municipalities",2329,1806,1806,1806,77.5,7765,642,495,523,22.5,1476
,,,,,,,,,,,
"Idaho",2940,2160,2058,2082,70.8,5829,1002,786,858,29.2,1771
"State",421,243,243,243,57.7,791,193,165,178,42.3,472
"Local, total",2519,1917,1815,1839,73.0,5037,809,621,680,27.0,1299
"Counties",1169,802,753,763,65.3,1730,482,370,406,34.7,698
"Municipalities",1350,1115,1062,1076,79.7,3308,327,251,274,20.3,601
,,,,,,,,,,,
"Illinois",43424,33927,31975,32551,75.0,140792,12927,9893,10873,25.0,31680
"State",4089,2202,2202,2202,53.9,9334,1887,1886,1887,46.1,5972
"Local, total",39335,31725,29773,30349,77.2,131458,11040,8007,8986,22.8,25707
"Counties",4960,3786,3627,3695,74.5,11622,1427,1154,1265,25.5,3080
"Municipalities",34375,27939,26146,26654,77.5,119836,9613,6853,7721,22.5,22627
,,,,,,,,,,,
"Indiana",14516,11023,10527,10670,73.5,31651,4609,3491,3846,26.5,6903
"State",1996,1235,1235,1235,61.9,4633,762,758,761,38.1,1562
"Local, total",12520,9788,9292,9435,75.4,27018,3847,2733,3085,24.6,5341
"Counties",3448,2527,2458,2485,72.1,6313,1129,857,963,27.9,1664
"Municipalities",9072,7261,6834,6950,76.6,20705,2718,1876,2122,23.4,3677
,,,,,,,,,,,
"Iowa",6520,5166,4787,4866,74.6,14437,1969,1469,1654,25.4,3579
"State",963,634,634,634,65.8,2104,332,328,329,34.2,927
