"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,
"filename:  cjee9705.csv",,,,,,,,,,,,,,,,,,
"table 5:  Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,
"by State and level of government, March 1997",,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,
"date of version:  12/19/2000",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,
"by State and level of government, March 1997",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"                                 Total justice system",,,,"                                 Police protection",,,,"                                   Judicial and legal",,,,"                                      Corrections",,,,
,,,,,,,,,,,,,,,,,,
,,,,,"Percent of",,,,"Percent of",,,,"Percent of",,,,"Percent of",
,,"                    Number of employees",,,"total","                    Number of employees",,,"total justice","                    Number of employees",,,"total justice","                    Number of employees",,,"total justice",
,"Total full-time",,,,"full-time",,,,"full-time",,,,"full-time",,,,"full-time",
"State and level","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent","State and level"
"of government","employment/a","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","of government"
,,,,,,,,,,,,,,,,,,
"States-local, total",14219157,1901453,1728209,1790784,12.6,856583,767133,798805,44.6,366436,327648,343531,19.2,678434,633428,648448,36.2,"States-local, total"
"State",3990979,690807,648933,662881,16.6,93945,91112,92246,13.9,138674,129887,134980,20.4,458188,427934,435655,65.7,"State"
"Local, total",10228178,1210646,1079276,1127903,11.0,762638,676021,706559,62.6,227762,197761,208551,18.5,220246,205494,212793,18.9,"Local, total"
"Counties",2230339,556669,510770,530297,23.8,203022,187031,193059,36.4,170757,154587,161335,30.4,182890,169152,175903,33.2,"Counties"
